Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
106920,2025-08-31 12:25:00,0.003879,0.029528,0.021059,nan,nan,nan,6.3361,6155,0,1.00000omega,-0.002791 + -0.25310theta + 0.16588omega + -0.01800theta^2 + -0.00354theta omega + -0.14826omega^2 + -0.00775theta^3 + -0.00558theta^2 omega + -0.00587theta omega^2 + 0.02341omega^3,0.094564*omega**3 - 0.00079*omega**2*theta - 0.053853*omega**2 - 2.5e-5*omega*theta**2 - 8.0e-6*omega*theta + 0.005547*omega - 1.0e-6*theta**3 - 5.0e-6*theta**2 - 0.000273*theta + 0.000184
106921,2025-08-31 12:30:00,0.004914,0.027983,0.020090,0.065616,3.737263,2.643052,9.6003,8619,0,1.00000omega,-0.051791 + -0.05071theta + -0.08949omega + -0.02490theta^2 + 0.08838theta omega + -0.02379omega^2 + -0.08700theta^3 + -0.10274theta^2 omega + -0.10819theta omega^2 + -0.17173omega^3,-0.589524*omega**3 - 0.01238*omega**2*theta - 0.039999*omega**2 - 0.000392*omega*theta**2 - 0.001026*omega*theta - 0.003021*omega - 1.1e-5*theta**3 - 9.5e-5*theta**2 - 0.000326*theta - 0.000568
106922,2025-08-31 12:35:00,0.003508,0.027530,0.019624,0.124194,19.123230,13.522451,4.9132,7667,1,1.00000omega,-0.262731 + -0.07275theta + 0.07555omega + 0.01668theta^2 + 0.00938theta omega + -0.01945omega^2 + 0.00267theta^3 + -0.00734theta^2 omega + -0.00718theta omega^2 + 0.00366omega^3,0.016469*omega**3 - 0.001077*omega**2*theta - 0.019444*omega**2 - 3.7e-5*omega*theta**2 - 0.000691*omega*theta - 0.000632*omega + 2.2e-5*theta**2 + 0.000241*theta - 0.000168
106923,2025-08-31 12:40:00,0.004444,0.030916,0.022086,0.042577,1.113402,0.787870,20.7525,7066,0,1.00000omega,0.038971 + -0.05183theta + -0.07743omega + 0.02377theta^2 + 0.00134theta omega + -0.02107omega^2 + -0.00526theta^3 + -0.00122theta^2 omega + 0.00390theta omega^2 + -0.03215omega^3,-0.235979*omega**3 + 0.000954*omega**2*theta - 0.016925*omega**2 - 1.0e-5*omega*theta**2 + 0.000158*omega*theta - 0.003194*omega - 1.0e-6*theta**3 + 4.2e-5*theta**2 - 0.000435*theta + 0.001539
106924,2025-08-31 12:45:00,0.005707,0.027419,0.019803,0.125141,5.713436,4.040978,24.9172,8588,0,1.00000omega,-0.100821 + -0.00826theta + 0.02350omega + -0.01173theta^2 + -0.00691theta omega + 0.02395omega^2 + -0.00595theta^3 + 0.00102theta^2 omega + 0.02764theta omega^2 + 0.00048omega^3,0.002676*omega**3 + 0.005137*omega**2*theta + 0.072801*omega**2 + 6.0e-6*omega*theta**2 + 5.4e-5*omega*theta + 0.00051*omega - 1.0e-6*theta**3 - 5.0e-5*theta**2 - 0.000691*theta - 0.003412
106925,2025-08-31 12:50:00,0.003219,0.056365,0.039921,nan,nan,nan,-496111288320.0000,5617,0,1.00000omega,-0.368421 + -0.31110theta + 0.05490omega + 0.20365theta^2 + 0.02509theta omega + 0.22936omega^2 + -0.23304theta^3 + -0.02493theta^2 omega + -0.37042theta omega^2 + 0.06923omega^3,0.593855*omega**3 - 0.105915*omega**2*theta - 0.164078*omega**2 - 0.000238*omega*theta**2 - 0.000839*omega*theta + 0.001299*omega - 7.4e-5*theta**3 - 0.00048*theta**2 - 0.001318*theta - 0.002283
106926,2025-08-31 12:55:00,0.003887,0.076801,0.054376,0.077012,2.140415,1.514481,-35391295488.0000,5471,0,1.00000omega,0.183821 + -0.42187theta + -0.45634omega + -0.24901theta^2 + 0.24678theta omega + -0.02219omega^2 + -0.47768theta^3 + 0.08849theta^2 omega + -0.42556theta omega^2 + -0.06849omega^3,-0.757346*omega**3 - 0.156858*omega**2*theta - 0.510183*omega**2 + 0.001087*omega*theta**2 + 0.01188*omega*theta + 0.011505*omega - 0.000196*theta**3 - 0.002026*theta**2 - 0.007418*theta - 0.009044
106927,2025-08-31 13:00:00,0.004232,0.041959,0.029820,0.166504,9.153661,6.473686,10.4974,8831,1,1.00000omega,0.273901 + 0.00149theta + 0.12452omega + -0.04488theta^2 + -0.03421theta omega + 0.07046omega^2 + -0.02375theta^3 + 0.00523theta^2 omega + -0.02977theta omega^2 + 0.01499omega^3,0.066321*omega**3 - 0.00439*omega**2*theta + 0.058562*omega**2 + 2.6e-5*omega*theta**2 - 0.000807*omega*theta + 0.008617*omega - 4.0e-6*theta**3 + 6.5e-5*theta**2 - 0.000325*theta + 0.001232
106928,2025-08-31 13:05:00,0.003692,0.096250,0.068109,0.148375,8.279302,5.855290,-5062292480.0000,6145,0,1.00000omega,-0.315411 + -0.02589theta + 0.07250omega + -0.03684theta^2 + 0.01427theta omega + 0.00959omega^2 + -0.02762theta^3 + -0.00096theta^2 omega + 0.00467theta omega^2 + -0.02883omega^3,-0.182984*omega**3 + 0.000988*omega**2*theta - 0.00293*omega**2 - 7.0e-6*omega*theta**2 + 0.000319*omega*theta + 0.000417*omega - 6.0e-6*theta**3 + 0.000126*theta**2 - 0.000824*theta + 0.001075
106929,2025-08-31 13:10:00,0.004504,0.032551,0.023236,0.112550,7.881100,5.573348,17.1124,6902,0,1.00000omega,0.217311 + 0.00187theta + -0.00051omega + -0.00094theta^2 + -0.01102theta omega + -0.00262omega^2 + -0.00280theta^3 + -0.00848theta^2 omega + 0.00796theta omega^2 + 0.02180omega^3,0.141312*omega**3 + 0.00172*omega**2*theta + 0.011302*omega**2 - 6.1e-5*omega*theta**2 - 0.00106*omega*theta - 0.004496*omega - 0.e-6*theta**3 - 1.5e-5*theta**2 - 0.000112*theta + 0.00025
