Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
37620,2025-01-02 04:55:00,0.006049,0.039578,0.028311,0.048799,1.975509,1.397322,9.3329,9633,0,1.00000omega,0.087661 + -0.12225theta + -0.01245omega + 0.02002theta^2 + 0.00030theta omega + -0.00023omega^2 + 0.00051theta^3 + -0.00327theta^2 omega + 0.00409theta omega^2 + -0.02389omega^3,-0.059019*omega**3 + 0.000337*omega**2*theta + 0.006877*omega**2 - 9.0e-6*omega*theta**2 - 0.000367*omega*theta - 0.00417*omega + 9.0e-6*theta**2 + 0.000187*theta + 0.000661
37621,2025-01-02 05:00:00,0.004925,0.041832,0.029784,0.068047,2.968268,2.099434,4.5716,7299,0,1.00000omega,-0.100981 + -0.03459theta + -0.03782omega + -0.01507theta^2 + 0.00297theta omega + -0.01333omega^2 + 0.00044theta^3 + -0.00388theta^2 omega + -0.00095theta omega^2 + -0.00496omega^3,-0.011338*omega**3 - 7.2e-5*omega**2*theta - 0.002509*omega**2 - 1.0e-5*omega*theta**2 + 0.000346*omega*theta - 0.004281*omega - 6.0e-6*theta**2 + 0.00014*theta - 0.001152
37622,2025-01-02 05:05:00,0.008685,0.043944,0.031674,0.108129,6.492351,4.591422,18.8206,9999,0,1.00000omega,-0.046221 + -0.09010theta + -0.01620omega + 0.20379theta^2 + 0.12809theta omega + -0.12500omega^2 + -0.05139theta^3 + -0.02830theta^2 omega + 0.01990theta omega^2 + 0.04119omega^3,0.081429*omega**3 + 0.001311*omega**2*theta - 0.013566*omega**2 - 6.2e-5*omega*theta**2 - 0.00066*omega*theta + 0.002539*omega - 4.0e-6*theta**3 - 0.000101*theta**2 - 0.00071*theta - 0.000621
37623,2025-01-02 05:10:00,0.002812,0.023960,0.017058,nan,nan,nan,2.2065,4431,0,1.00000omega,-0.294671 + -0.57748theta + 0.01323omega + -0.08914theta^2 + -0.01247theta omega + -0.06145omega^2 + -0.46333theta^3 + 0.23198theta^2 omega + -0.17227theta omega^2 + 0.01143omega^3,0.047526*omega**3 - 0.023877*omega**2*theta - 0.036517*omega**2 + 0.001072*omega*theta**2 + 0.00107*omega*theta + 0.000702*omega - 7.1e-5*theta**3 - 0.000159*theta**2 - 0.000754*theta - 0.001271
37624,2025-01-02 05:15:00,0.006647,0.038195,0.027414,0.073072,1.867209,1.321327,13.6577,9999,0,1.00000omega,0.033421 + -0.05194theta + -0.00921omega + 0.05944theta^2 + -0.01048theta omega + -0.01410omega^2 + -0.00053theta^3 + -0.00010theta^2 omega + -0.00690theta omega^2 + -0.00551omega^3,-0.013897*omega**3 - 0.00058*omega**2*theta - 0.002254*omega**2 - 0.0001*omega*theta + 1.0e-5*omega + 2.0e-5*theta**2 - 0.00018*theta + 0.000503
37625,2025-01-02 05:20:00,0.005237,0.046155,0.032846,0.169281,8.811379,6.231736,7.6860,7251,0,1.00000omega,0.118361 + -0.57223theta + 0.00550omega + -0.26057theta^2 + 0.11910theta omega + 0.00970omega^2 + -0.01473theta^3 + -0.00520theta^2 omega + 0.04348theta omega^2 + -0.02946omega^3,-0.076873*omega**3 + 0.003782*omega**2*theta - 0.037793*omega**2 - 1.5e-5*omega*theta**2 + 0.001495*omega*theta - 0.014145*omega - 1.0e-6*theta**3 - 3.9e-5*theta**2 + 0.000706*theta - 0.000818
37626,2025-01-02 05:25:00,0.004184,0.031373,0.022381,0.091552,6.388564,4.517860,9.9788,8555,1,1.00000omega,-0.016501 + -0.05343theta + 0.01822omega + 0.05269theta^2 + -0.01358theta omega + -0.09418omega^2 + -0.00883theta^3 + -0.01904theta^2 omega + 0.02511theta omega^2 + 0.00359omega^3,0.016242*omega**3 + 0.003787*omega**2*theta - 0.041922*omega**2 - 9.6e-5*omega*theta**2 + 9.5e-5*omega*theta + 0.000665*omega - 1.0e-6*theta**3 + 2.9e-5*theta**2 - 0.000132*theta + 8.6e-5
37627,2025-01-02 05:30:00,0.003511,0.027256,0.019432,0.056002,1.952377,1.381107,10.5944,9687,0,1.00000omega,0.043941 + -0.04162theta + -0.04278omega + -0.03030theta^2 + 0.02450theta omega + 0.09459omega^2 + -0.00695theta^3 + -0.00038theta^2 omega + -0.00759theta omega^2 + -0.02985omega^3,-0.208448*omega**3 - 0.001767*omega**2*theta + 0.035162*omega**2 - 3.0e-6*omega*theta**2 + 0.000359*omega*theta + 0.000806*omega - 2.0e-6*theta**3 - 4.8e-5*theta**2 - 0.000428*theta - 0.001119
37628,2025-01-02 05:35:00,0.002720,0.019411,0.013860,0.117891,3.242970,2.294641,3.9511,4842,0,1.00000omega,0.071311 + -0.77405theta + -0.02011omega + 0.02024theta^2 + -0.03616theta omega + 0.00718omega^2 + -0.09194theta^3 + -0.00348theta^2 omega + 0.00945theta omega^2 + -0.03509omega^3,-0.197204*omega**3 + 0.00177*omega**2*theta + 0.015049*omega**2 - 2.2e-5*omega*theta**2 - 0.000815*omega*theta - 0.005178*omega - 1.9e-5*theta**3 - 0.000378*theta**2 - 0.003341*theta - 0.011049
37629,2025-01-02 05:40:00,0.004148,0.032437,0.023124,nan,nan,nan,14.7416,9329,0,1.00000omega,-0.017121 + -0.00694theta + 0.03435omega + -0.02063theta^2 + -0.00577theta omega + 0.03527omega^2 + -0.00700theta^3 + 0.00157theta^2 omega + 0.01638theta omega^2 + 0.01448omega^3,0.089262*omega**3 + 0.003366*omega**2*theta + 0.059751*omega**2 + 1.1e-5*omega*theta**2 + 0.000192*omega*theta + 0.001829*omega - 2.0e-6*theta**3 - 7.3e-5*theta**2 - 0.001088*theta - 0.005412
