Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
46376,2025-02-01 16:05:00,0.003945,0.019868,0.014323,0.079497,3.895837,2.755346,10.1055,7191,0,1.00000omega,-0.014381 + -0.11443theta + -0.00261omega + -0.01085theta^2 + -0.01842theta omega + -0.02309omega^2 + -0.00272theta^3 + 0.00281theta^2 omega + -0.00134theta omega^2 + 0.00263omega^3,0.014654*omega**3 - 0.000249*omega**2*theta - 0.010005*omega**2 + 1.7e-5*omega*theta**2 - 0.000257*omega*theta - 0.000144*omega - 0.e-6*theta**3 - 6.0e-6*theta**2 - 0.000129*theta - 6.5e-5
46377,2025-02-01 16:10:00,0.003195,0.031570,0.022437,0.065773,1.868151,1.321800,5.7802,5421,0,1.00000omega,0.031721 + -0.99546theta + -0.19971omega + 0.08334theta^2 + 0.00067theta omega + 0.10067omega^2 + -0.00993theta^3 + -0.01405theta^2 omega + -0.01245theta omega^2 + -0.12388omega^3,-0.640694*omega**3 - 0.002146*omega**2*theta + 0.02313*omega**2 - 8.1e-5*omega*theta**2 - 0.001395*omega*theta - 0.012685*omega - 2.0e-6*theta**3 - 1.1e-5*theta**2 - 0.000869*theta - 0.007879
46378,2025-02-01 16:15:00,0.003983,0.022110,0.015886,0.085721,1.842104,1.303973,4.8784,6448,0,1.00000omega,-0.029141 + -0.53143theta + -0.01404omega + 0.05394theta^2 + -0.09158theta omega + 0.04806omega^2 + -0.03652theta^3 + -0.09896theta^2 omega + -0.01779theta omega^2 + 0.01907omega^3,0.066567*omega**3 - 0.00207*omega**2*theta + 0.015796*omega**2 - 0.000384*omega*theta**2 - 0.001263*omega*theta - 0.000801*omega - 5.0e-6*theta**3 + 1.6e-5*theta**2 - 0.00058*theta - 0.000264
46379,2025-02-01 16:20:00,0.003328,0.021590,0.015447,0.125106,3.909176,2.765620,4.1357,5182,0,1.00000omega,0.060511 + -0.39007theta + -0.01969omega + -0.00042theta^2 + 0.02989theta omega + 0.08227omega^2 + -0.03793theta^3 + -0.06956theta^2 omega + 0.01865theta omega^2 + 0.03321omega^3,0.144217*omega**3 + 0.0027*omega**2*theta + 0.035429*omega**2 - 0.000336*omega*theta**2 - 0.000647*omega*theta - 0.000862*omega - 6.0e-6*theta**3 - 2.8e-5*theta**2 - 0.000477*theta - 0.000508
46380,2025-02-01 16:25:00,0.003060,0.028609,0.020345,0.100588,2.836044,2.006647,3.8215,7017,0,1.00000omega,-0.059991 + -1.20058theta + -0.15862omega + 0.14225theta^2 + -0.06363theta omega + 0.03545omega^2 + -0.04823theta^3 + 0.16743theta^2 omega + -0.01015theta omega^2 + -0.09954omega^3,-0.411167*omega**3 - 0.001398*omega**2*theta + 0.005035*omega**2 + 0.000768*omega*theta**2 + 0.008141*omega*theta + 0.016074*omega - 7.0e-6*theta**3 - 7.0e-5*theta**2 - 0.0014*theta - 0.007396
46381,2025-02-01 16:30:00,0.008801,0.040331,0.029189,0.056504,7.216157,5.102750,238.2203,9999,0,1.00000omega,-0.019781 + -0.00223theta + 0.00656omega + 0.00100theta^2 + 0.00094theta omega + -0.00454omega^2 + -0.00001theta^3 + -0.00026theta^2 omega + -0.00019theta omega^2 + 0.00007omega^3,0.001416*omega**3 - 0.000128*omega**2*theta - 0.006921*omega**2 - 6.0e-6*omega*theta**2 - 0.000266*omega*theta - 0.002771*omega + 2.9e-5*theta + 0.000362
46382,2025-02-01 16:35:00,0.003331,0.019877,0.014251,0.075247,2.477051,1.752347,5.0817,7729,0,1.00000omega,-0.172821 + -0.06474theta + -0.08214omega + 0.00927theta^2 + -0.08448theta omega + -0.10740omega^2 + -0.04230theta^3 + 0.03215theta^2 omega + -0.00434theta omega^2 + -0.05555omega^3,-0.275457*omega**3 - 0.000717*omega**2*theta - 0.040345*omega**2 + 0.000177*omega*theta**2 - 0.002784*omega*theta + 0.006351*omega - 8.0e-6*theta**3 + 0.000112*theta**2 - 0.00061*theta + 0.00072
46383,2025-02-01 16:40:00,0.003761,0.026482,0.018913,0.132578,3.080224,2.180064,6.4316,6216,0,1.00000omega,0.351551 + -0.97468theta + 0.01760omega + -0.14157theta^2 + -0.09541theta omega + -0.01418omega^2 + -0.02374theta^3 + 0.00354theta^2 omega + 0.00408theta omega^2 + -0.01494omega^3,-0.065749*omega**3 + 0.000599*omega**2*theta - 0.004806*omega**2 + 1.7e-5*omega*theta**2 - 0.001182*omega*theta - 0.000666*omega - 4.0e-6*theta**3 - 7.2e-5*theta**2 - 0.001221*theta - 0.000181
46384,2025-02-01 16:45:00,0.008728,0.043874,0.031631,0.097650,9.644566,6.820087,53.5407,9999,0,1.00000omega,0.001011 + -0.01468theta + 0.01752omega + -0.00086theta^2 + 0.00222theta omega + -0.01022omega^2 + 0.00009theta^3 + 0.00056theta^2 omega + -0.00130theta omega^2 + 0.01026omega^3,0.049705*omega**3 - 0.00021*omega**2*theta - 0.006878*omega**2 + 3.0e-6*omega*theta**2 + 0.000109*omega*theta + 0.001502*omega - 1.8e-5*theta - 0.000242
46385,2025-02-01 16:50:00,0.004001,0.030688,0.021884,0.220804,6.727972,4.759956,3.0728,6394,0,1.00000omega,0.056931 + -0.09432theta + 0.08526omega + 0.00196theta^2 + -0.08869theta omega + 0.17693omega^2 + -0.06307theta^3 + 0.03396theta^2 omega + -0.14676theta omega^2 + 0.00122omega^3,0.003117*omega**3 - 0.012499*omega**2*theta - 0.022193*omega**2 + 9.6e-5*omega*theta**2 + 0.000276*omega*theta + 0.00111*omega - 6.0e-6*theta**3 - 0.000105*theta**2 - 0.000722*theta - 0.00161
46386,2025-02-01 16:55:00,0.005225,0.038998,0.027822,nan,nan,nan,2.2910,8328,0,1.00000omega,-0.059321 + 0.01262theta + 0.09898omega + -0.00761theta^2 + 0.02472theta omega + -0.12311omega^2 + -0.13830theta^3 + -0.00524theta^2 omega + 0.37245theta omega^2 + -0.00649omega^3,-0.010898*omega**3 + 0.020846*omega**2*theta + 0.197836*omega**2 - 1.0e-5*omega*theta**2 - 1.8e-5*omega*theta + 0.004263*omega - 9.0e-6*theta**3 - 0.000283*theta**2 - 0.003088*theta - 0.011463
46387,2025-02-01 17:00:00,0.006186,0.030642,0.022105,0.055802,2.162476,1.529611,11.0696,9999,0,1.00000omega,0.030011 + -0.07139theta + -0.00445omega + 0.01054theta^2 + 0.02633theta omega + -0.01563omega^2 + -0.02279theta^3 + 0.00439theta^2 omega + 0.00402theta omega^2 + -0.00010omega^3,-0.000261*omega**3 + 0.000349*omega**2*theta - 0.001129*omega**2 + 1.3e-5*omega*theta**2 + 0.000512*omega*theta + 0.003689*omega - 2.0e-6*theta**3 - 6.2e-5*theta**2 - 0.000665*theta - 0.002508
46388,2025-02-01 17:05:00,nan,nan,nan,nan,nan,nan,32824.5664,5,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A
46389,2025-02-01 17:10:00,0.006002,0.039491,0.028245,0.052071,2.249233,1.590874,9.5711,9999,0,1.00000omega,-0.026071 + -0.02649theta + -0.02297omega + 0.09610theta^2 + 0.18540theta omega + 0.01347omega^2 + -0.01438theta^3 + 0.01235theta^2 omega + 0.02739theta omega^2 + -0.01272omega^3,-0.030407*omega**3 + 0.002182*omega**2*theta + 0.025138*omega**2 + 3.3e-5*omega*theta**2 + 0.002386*omega*theta + 0.019423*omega - 1.0e-6*theta**3 - 7.0e-6*theta**2 + 0.000195*theta + 0.001301
46390,2025-02-01 17:15:00,0.018386,0.102901,0.073914,0.053018,1.764311,1.248119,172.8021,9999,0,1.00000omega,-0.054611 + -0.03705theta + 0.01382omega + -0.03193theta^2 + -0.00028theta omega + 0.00203omega^2 + -0.00106theta^3 + 0.00037theta^2 omega + -0.00019theta omega^2 + -0.00382omega^3,-0.012948*omega**3 - 2.1e-5*omega**2*theta + 0.001112*omega**2 + 1.0e-6*omega*theta**2 - 5.9e-5*omega*theta + 0.001081*omega - 4.0e-6*theta**2 + 0.000276*theta - 0.003063
