Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
9680,2024-09-17 18:05:00,0.002700,0.004691,0.003827,0.183695,9.156212,6.475723,102.7714,8832,0,1.00000omega,-0.004281 + -0.00152theta + -0.03565omega + 0.05133theta^2 + 0.02368theta omega + -0.01260omega^2 + -0.00225theta^3 + 0.00267theta^2 omega + -0.00096theta omega^2 + -0.01111omega^3,-0.104024*omega**3 - 0.0003*omega**2*theta - 0.004644*omega**2 + 2.8e-5*omega*theta**2 - 3.0e-6*omega*theta - 0.002938*omega - 0.e-6*theta**3 + 5.1e-5*theta**2 - 0.000661*theta + 0.00244,1.048556e-04,7.330854e-06
9681,2024-09-17 18:10:00,0.003558,0.005091,0.004392,0.085782,3.805274,2.691419,117.8825,9146,0,1.00000omega,-0.034211 + 0.01342theta + -0.07194omega + -0.01108theta^2 + 0.01620theta omega + -0.03956omega^2 + -0.00467theta^3 + -0.00221theta^2 omega + -0.00091theta omega^2 + -0.03516omega^3,-0.226994*omega**3 - 0.000196*omega**2*theta - 0.01693*omega**2 - 1.6e-5*omega*theta**2 + 0.000481*omega*theta - 0.005052*omega - 1.0e-6*theta**3 + 1.9e-5*theta**2 - 7.9e-5*theta - 6.4e-5,8.181201e-05,6.601831e-06
9682,2024-09-17 18:15:00,nan,nan,nan,nan,nan,nan,3684444.7500,5,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
9683,2024-09-17 18:20:00,0.002802,0.004296,0.003627,0.124044,7.708842,5.451680,89.1100,7578,1,1.00000omega,-0.488071 + -0.04828theta + -0.11969omega + -0.01677theta^2 + -0.05491theta omega + 0.00007omega^2 + -0.00307theta^3 + 0.00586theta^2 omega + -0.14827theta omega^2 + 0.00815omega^3,0.061338*omega**3 - 0.037197*omega**2*theta + 0.282455*omega**2 + 4.9e-5*omega*theta**2 - 0.001661*omega*theta + 0.005796*omega - 0.e-6*theta**3 + 1.0e-5*theta**2 - 6.0e-5*theta - 0.000839,7.143657e-05,9.260551e-06
9684,2024-09-17 18:25:00,0.003338,0.006149,0.004947,0.059946,1.518088,1.074287,167.1337,9999,1,1.00000omega,-0.004291 + 0.01447theta + -0.18013omega + 0.02095theta^2 + 0.03483theta omega + 0.00313omega^2 + -0.00975theta^3 + -0.00580theta^2 omega + 0.01357theta omega^2 + -0.00618omega^3,-0.06162*omega**3 + 0.00451*omega**2*theta - 0.051954*omega**2 - 6.4e-5*omega*theta**2 + 0.002201*omega*theta - 0.023111*omega - 4.0e-6*theta**3 + 0.000142*theta**2 - 0.001838*theta + 0.007804,3.779954e-05,7.730262e-06
9685,2024-09-17 18:30:00,nan,nan,nan,nan,nan,nan,367.0141,2422,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
9686,2024-09-17 18:35:00,0.003019,0.005445,0.004402,0.132384,6.404157,4.529390,61.9381,8004,2,1.00000omega,-0.347411 + -0.18436theta + -0.00299omega + 0.15254theta^2 + 0.00973theta omega + -0.03621omega^2 + 0.00929theta^3 + 0.01556theta^2 omega + -0.06604theta omega^2 + -0.00890omega^3,-0.041042*omega**3 - 0.010151*omega**2*theta - 0.006594*omega**2 + 8.0e-5*omega*theta**2 + 8.0e-6*omega*theta - 0.00015*omega + 2.0e-6*theta**3 + 6.3e-5*theta**2 - 0.000302*theta - 0.000795,9.414846e-05,1.163874e-05
9687,2024-09-17 18:40:00,0.003792,0.006494,0.005318,nan,nan,nan,124.5123,4437,0,1.00000omega,-0.104491 + -0.57853theta + -0.02534omega + -0.00365theta^2 + 0.18618theta omega + -0.02717omega^2 + -0.06447theta^3 + -0.16731theta^2 omega + 0.02533theta omega^2 + 0.15313omega^3,0.867474*omega**3 + 0.004783*omega**2*theta - 0.034157*omega**2 - 0.001053*omega*theta**2 + 0.012539*omega*theta - 0.036441*omega - 1.4e-5*theta**3 + 0.000188*theta**2 - 0.001512*theta + 0.004078,2.774851e-04,1.618339e-05
9688,2024-09-17 18:45:00,0.003495,0.005920,0.004861,0.082627,1.453363,1.029342,87.9236,5592,0,1.00000omega,0.052291 + -2.74486theta + -0.17548omega + 0.29349theta^2 + -0.76841theta omega + 0.14282omega^2 + -0.52188theta^3 + 0.61899theta^2 omega + 0.17175theta omega^2 + -0.10730omega^3,-0.526571*omega**3 + 0.028095*omega**2*theta + 0.163337*omega**2 + 0.003375*omega*theta**2 + 0.015006*omega*theta + 0.002881*omega - 9.5e-5*theta**3 - 0.000937*theta**2 - 0.006077*theta - 0.014487,3.153613e-05,1.263020e-05
9689,2024-09-17 18:50:00,nan,nan,nan,nan,nan,nan,2270.0405,1429,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
