Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
22220,2024-11-05 05:35:00,nan,nan,nan,nan,nan,nan,156.2594,2458,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
22221,2024-11-05 05:40:00,0.003636,0.004423,0.004049,nan,nan,nan,57.2858,6973,0,1.00000omega,-0.282551 + 0.04266theta + 0.04721omega + 1.11079theta^2 + -0.28807theta omega + 0.23943omega^2 + -0.29832theta^3 + 0.44420theta^2 omega + -0.00042theta omega^2 + 0.00150omega^3,0.004531*omega**3 - 4.2e-5*omega**2*theta + 0.075656*omega**2 + 0.001491*omega*theta**2 + 0.019182*omega*theta + 0.061723*omega - 3.3e-5*theta**3 - 0.000355*theta**2 + 0.000322*theta + 0.007302,1.462521e-04,1.160105e-05
22222,2024-11-05 05:45:00,nan,nan,nan,nan,nan,nan,65309.2578,679,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
22223,2024-11-05 05:50:00,0.006580,0.054191,0.038600,0.106007,9.705668,6.863353,457.1260,9999,0,1.00000omega,0.011731 + 0.00140theta + 0.00841omega + -0.00028theta^2 + 0.00181theta omega + -0.00060omega^2 + 0.00000theta^3 + -0.00004theta^2 omega + 0.00009theta omega^2 + -0.00035omega^3,-0.002282*omega**3 + 2.0e-5*omega**2*theta - 0.0007*omega**2 + 4.1e-5*omega*theta - 0.000458*omega + 8.0e-6*theta - 7.2e-5,6.172695e-04,8.305275e-06
22224,2024-11-05 05:55:00,0.004774,0.024169,0.017421,0.108450,8.801064,6.223764,189.4347,9549,5,1.00000omega,-0.035601 + -0.01097theta + -0.02571omega + -0.00076theta^2 + -0.00374theta omega + -0.00448omega^2 + -0.00059theta^3 + -0.00072theta^2 omega + -0.00801theta omega^2 + 0.00035omega^3,0.001896*omega**3 - 0.001446*omega**2*theta + 0.022165*omega**2 - 4.0e-6*omega*theta**2 + 9.1e-5*omega*theta - 0.001176*omega + 6.0e-6*theta**2 - 9.9e-5*theta + 0.000556,nan,nan
22225,2024-11-05 06:00:00,nan,nan,nan,nan,nan,nan,12350.7275,1139,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
22226,2024-11-05 06:05:00,0.003378,0.005765,0.004725,nan,nan,nan,43.5254,8477,0,1.00000omega,-0.018461 + 0.02320theta + 0.21476omega + -0.38027theta^2 + 0.25007theta omega + 0.01068omega^2 + -0.49099theta^3 + -0.03246theta^2 omega + 0.63758theta omega^2 + 0.03937omega^3,0.108076*omega**3 + 0.058342*omega**2*theta + 0.139064*omega**2 - 9.9e-5*omega*theta**2 + 0.00206*omega*theta + 0.012493*omega - 5.0e-5*theta**3 - 0.000476*theta**2 - 0.001381*theta - 0.001331,7.423772e-05,1.020836e-05
22227,2024-11-05 06:10:00,nan,nan,nan,nan,nan,nan,14337.2129,879,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
22228,2024-11-05 06:15:00,0.006983,0.045321,0.032425,0.104218,9.524986,6.735585,283.4671,9999,0,1.00000omega,-0.002981 + 0.00105theta + -0.00554omega + 0.00102theta^2 + -0.00105theta omega + -0.00065omega^2 + -0.00003theta^3 + -0.00006theta^2 omega + -0.00078theta omega^2 + 0.00049omega^3,0.001822*omega**3 - 9.7e-5*omega**2*theta - 0.002195*omega**2 - 2.2e-5*omega*theta - 0.000538*omega + 1.2e-5*theta + 0.000145,5.054282e-04,8.465107e-06
22229,2024-11-05 06:20:00,0.007722,0.055028,0.039292,0.252868,7.631711,5.399396,536.5844,9999,3,1.00000omega,0.041381 + -0.03497theta + 0.05814omega + 0.02304theta^2 + -0.01088theta omega + 0.00335omega^2 + -0.00123theta^3 + 0.00575theta^2 omega + 0.00142theta omega^2 + -0.00089omega^3,-0.005051*omega**3 + 0.000269*omega**2*theta + 0.008779*omega**2 + 3.6e-5*omega*theta**2 + 0.001819*omega*theta + 0.024578*omega - 1.0e-5*theta**2 - 8.0e-6*theta + 0.002083,4.608144e-04,7.553271e-06
22230,2024-11-05 06:25:00,0.004091,0.018158,0.013162,0.137986,6.552774,4.634538,116.6740,9999,0,1.00000omega,0.039411 + -0.01657theta + -0.04762omega + -0.03418theta^2 + -0.03374theta omega + 0.00166omega^2 + -0.00673theta^3 + -0.00246theta^2 omega + 0.00471theta omega^2 + 0.00328omega^3,0.01507*omega**3 + 0.000721*omega**2*theta + 0.010141*omega**2 - 1.3e-5*omega*theta**2 - 0.000771*omega*theta - 0.009553*omega - 1.0e-6*theta**3 - 6.0e-5*theta**2 - 0.001004*theta - 0.005313,2.601321e-04,8.468533e-06
22231,2024-11-05 06:30:00,0.004726,0.019588,0.014248,0.224610,18.053129,12.766478,33.1527,9999,0,1.00000omega,0.074191 + -0.34179theta + 0.43227omega + 0.02539theta^2 + -0.09493theta omega + -0.00767omega^2 + -0.00106theta^3 + 0.01102theta^2 omega + 0.00399theta omega^2 + -0.00478omega^3,-0.004982*omega**3 + 0.000139*omega**2*theta - 0.001609*omega**2 + 1.3e-5*omega*theta**2 - 0.000623*omega*theta + 0.015191*omega + 5.0e-6*theta**2 - 0.000394*theta + 0.000941,3.815266e-04,3.786242e-05
