Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
30580,2024-12-04 09:45:00,nan,nan,nan,nan,nan,nan,51706.5586,1658,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30581,2024-12-04 09:50:00,nan,nan,nan,nan,nan,nan,115368.2656,1375,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30582,2024-12-04 09:55:00,nan,nan,nan,nan,nan,nan,30742.6953,1048,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30583,2024-12-04 10:00:00,0.003468,0.003183,0.003329,nan,nan,nan,216.3471,5681,0,1.00000omega,-0.013121 + -0.09110theta + 0.01952omega + 0.10450theta^2 + 0.02697theta omega + -0.00140omega^2 + 0.00630theta^3 + 0.05268theta^2 omega + -0.00279theta omega^2 + -0.00175omega^3,-0.020591*omega**3 - 0.001094*omega**2*theta + 0.000668*omega**2 + 0.000689*omega*theta**2 - 0.001381*omega*theta + 0.001228*omega + 3.0e-6*theta**3 + 6.1e-5*theta**2 - 0.00029*theta + 0.000257,9.922674e-05,9.910559e-06
30584,2024-12-04 10:05:00,0.003250,0.016365,0.011797,0.192577,8.669089,6.131484,75.1238,8939,1,1.00000omega,-0.052511 + -0.02124theta + 0.05999omega + -0.04664theta^2 + -0.01024theta omega + -0.08643omega^2 + -0.04018theta^3 + -0.00058theta^2 omega + -0.00811theta omega^2 + -0.01070omega^3,-0.050151*omega**3 - 0.001267*omega**2*theta - 0.040707*omega**2 - 3.0e-6*omega*theta**2 - 0.000166*omega*theta + 0.001222*omega - 7.0e-6*theta**3 - 0.000129*theta**2 - 0.000793*theta - 0.001777,1.917157e-04,1.351517e-05
30585,2024-12-04 10:10:00,nan,nan,nan,nan,nan,nan,230.0361,4061,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30586,2024-12-04 10:15:00,0.002855,0.005232,0.004215,0.072607,3.481979,2.462666,84.9849,6503,0,1.00000omega,0.632881 + -0.01244theta + -0.13351omega + 0.16335theta^2 + 0.15775theta omega + -0.08035omega^2 + -0.35598theta^3 + -0.04250theta^2 omega + 0.05385theta omega^2 + -0.00022omega^3,-0.001541*omega**3 + 0.012572*omega**2*theta + 0.007716*omega**2 - 0.000331*omega*theta**2 + 9.2e-5*omega*theta + 0.000423*omega - 9.2e-5*theta**3 - 0.000938*theta**2 - 0.003161*theta - 0.002078,9.824608e-05,8.146160e-06
30587,2024-12-04 10:20:00,0.003655,0.005484,0.004660,0.080668,2.935443,2.076456,98.0209,7040,0,1.00000omega,-0.133511 + -0.07005theta + -0.07780omega + -0.15460theta^2 + 0.00970theta omega + -0.00969omega^2 + -0.10235theta^3 + -0.01769theta^2 omega + -0.27654theta omega^2 + 0.01163omega^3,0.057246*omega**3 - 0.045373*omega**2*theta + 0.189357*omega**2 - 9.7e-5*omega*theta**2 + 0.000955*omega*theta - 0.004907*omega - 1.9e-5*theta**3 + 0.000169*theta**2 - 0.000501*theta + 0.000145,1.627241e-04,1.086385e-05
30588,2024-12-04 10:25:00,0.003325,0.004600,0.004013,0.104762,3.012697,2.131586,76.2526,6879,0,1.00000omega,0.067891 + -0.64205theta + 0.05665omega + -0.00662theta^2 + -0.74716theta omega + 0.19569omega^2 + -0.11485theta^3 + -0.07601theta^2 omega + 0.03172theta omega^2 + -0.00450omega^3,-0.020991*omega**3 + 0.004932*omega**2*theta + 0.067041*omega**2 - 0.000394*omega*theta**2 - 0.008203*omega*theta + 0.020386*omega - 2.0e-5*theta**3 + 0.000119*theta**2 - 0.000952*theta + 0.001815,8.345224e-05,1.143459e-05
30589,2024-12-04 10:30:00,0.003766,0.026587,0.018988,0.092048,1.940170,1.373451,-1367954944.0000,4679,0,1.00000omega,0.013101 + -0.18363theta + 0.01335omega + -0.08229theta^2 + 0.02085theta omega + 0.05606omega^2 + -0.82879theta^3 + -0.10628theta^2 omega + -0.02190theta omega^2 + 0.01477omega^3,0.052221*omega**3 - 0.002581*omega**2*theta + 0.020876*omega**2 - 0.000418*omega*theta**2 + 0.000766*omega*theta + 0.000127*omega - 0.000109*theta**3 + 0.000174*theta**2 - 0.000294*theta + 0.000186,1.271968e-06,1.199578e-05
30590,2024-12-04 10:35:00,nan,nan,nan,nan,nan,nan,846.2383,3852,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30591,2024-12-04 10:40:00,0.003602,0.003918,0.003764,0.075550,1.388372,0.983180,139.6837,5332,0,1.00000omega,1.406261 + -1.02927theta + -0.74111omega + -1.55150theta^2 + 1.04359theta omega + 0.01028omega^2 + -1.23136theta^3 + -0.22987theta^2 omega + 0.10221theta omega^2 + 0.02051omega^3,0.147908*omega**3 + 0.02457*omega**2*theta - 0.077899*omega**2 - 0.001842*omega*theta**2 + 0.029491*omega*theta - 0.103267*omega - 0.000329*theta**3 + 0.002485*theta**2 - 0.006681*theta + 0.010067,1.452229e-04,8.830981e-06
30592,2024-12-04 10:45:00,0.004130,0.007914,0.006312,nan,nan,nan,361.2520,9999,4,1.00000omega,-0.025241 + 0.00679theta + 0.00687omega + -0.00376theta^2 + 0.01533theta omega + 0.00950omega^2 + 0.00114theta^3 + -0.00111theta^2 omega + 0.00194theta omega^2 + 0.00103omega^3,0.014391*omega**3 + 0.000903*omega**2*theta + 3.0e-5*omega**2 - 1.7e-5*omega*theta**2 + 0.000595*omega*theta - 0.003141*omega + 1.0e-6*theta**3 - 1.5e-5*theta**2 + 0.000139*theta - 0.000455,6.586155e-05,7.059672e-06
30593,2024-12-04 10:50:00,0.003818,0.015035,0.010969,0.049269,3.557643,2.515875,433.4359,9999,1,1.00000omega,0.022161 + -0.00017theta + 0.00063omega + 0.00003theta^2 + 0.00431theta omega + -0.00135omega^2 + 0.00009theta^3 + -0.00010theta^2 omega + 0.00259theta omega^2 + 0.00036omega^3,0.006959*omega**3 + 0.001669*omega**2*theta - 0.022217*omega**2 - 2.0e-6*omega*theta**2 + 0.00017*omega*theta - 0.001784*omega - 2.0e-6*theta**2 + 3.0e-5*theta - 9.3e-5,1.633831e-04,6.148255e-06
30594,2024-12-04 10:55:00,0.003428,0.005149,0.004374,0.051438,2.116346,1.496925,218.3998,9382,0,1.00000omega,0.029261 + -0.01039theta + -0.00331omega + -0.00940theta^2 + -0.00054theta omega + -0.03274omega^2 + -0.00048theta^3 + -0.00248theta^2 omega + -0.00472theta omega^2 + -0.03305omega^3,-0.407536*omega**3 - 0.00194*omega**2*theta - 0.000453*omega**2 - 3.4e-5*omega*theta**2 + 0.000708*omega*theta - 0.003796*omega + 5.7e-5*theta - 0.000317,3.742659e-05,7.311068e-06
30595,2024-12-04 11:00:00,0.003116,0.007236,0.005571,0.118230,3.475783,2.459171,61.3178,6983,1,1.00000omega,0.005031 + -0.72183theta + 0.02528omega + -0.08885theta^2 + -0.30907theta omega + -0.10415omega^2 + -0.00002theta^3 + 0.00026theta^2 omega + -0.01415theta omega^2 + 0.05515omega^3,0.243492*omega**3 - 0.002082*omega**2*theta - 0.03485*omega**2 + 1.0e-6*omega*theta**2 - 0.003959*omega*theta + 0.010539*omega - 3.8e-5*theta**2 - 0.000616*theta + 0.001753,1.099214e-04,8.960176e-06
30596,2024-12-04 11:05:00,nan,nan,nan,nan,nan,nan,2754961.5000,803,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30597,2024-12-04 11:10:00,nan,nan,nan,nan,nan,nan,25427.6738,1022,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30598,2024-12-04 11:15:00,nan,nan,nan,nan,nan,nan,3106579.2500,840,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30599,2024-12-04 11:20:00,nan,nan,nan,nan,nan,nan,21583.6992,1062,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30600,2024-12-04 11:25:00,nan,nan,nan,nan,nan,nan,10516.7480,1404,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30601,2024-12-04 11:30:00,0.003931,0.013044,0.009634,0.130256,11.150309,7.884997,102.0630,9999,0,1.00000omega,-0.631061 + 0.04457theta + -0.04826omega + 0.08213theta^2 + 0.00429theta omega + -0.20871omega^2 + -0.01527theta^3 + -0.00102theta^2 omega + 0.03729theta omega^2 + 0.03945omega^3,0.173481*omega**3 + 0.005466*omega**2*theta - 0.121556*omega**2 - 5.0e-6*omega*theta**2 + 0.000131*omega*theta - 0.002315*omega - 2.0e-6*theta**3 + 9.2e-5*theta**2 - 0.000916*theta + 0.00092,2.350450e-04,9.460755e-06
30602,2024-12-04 11:35:00,0.004375,0.023039,0.016582,0.157614,9.054745,6.403642,490.2749,9999,0,1.00000omega,0.057961 + -0.00074theta + 0.00693omega + 0.00024theta^2 + 0.00016theta omega + 0.00466omega^2 + -0.00060theta^3 + 0.00003theta^2 omega + 0.00037theta omega^2 + 0.00071omega^3,0.011679*omega**3 + 0.000203*omega**2*theta - 0.000391*omega**2 + 1.0e-6*omega*theta**2 - 1.7e-5*omega*theta + 0.000353*omega + 2.1e-5*theta**2 - 0.000401*theta + 0.002655,2.521282e-04,6.065027e-06
30603,2024-12-04 11:40:00,nan,nan,nan,nan,nan,nan,30446.9434,1813,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30604,2024-12-04 11:45:00,nan,nan,nan,nan,nan,nan,43231.6797,1125,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30605,2024-12-04 11:50:00,nan,nan,nan,nan,nan,nan,41249.2109,1031,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30606,2024-12-04 11:55:00,0.003318,0.006957,0.005450,0.067733,4.322836,3.057082,100.1014,9999,0,1.00000omega,-0.022651 + -0.07177theta + -0.30461omega + -0.03947theta^2 + -0.06614theta omega + -0.03515omega^2 + -0.00642theta^3 + -0.02570theta^2 omega + 0.00067theta omega^2 + 0.01339omega^3,0.081008*omega**3 + 0.000135*omega**2*theta - 0.014905*omega**2 - 0.000173*omega*theta**2 - 0.00324*omega*theta - 0.023929*omega - 1.0e-6*theta**3 - 4.8e-5*theta**2 - 0.000519*theta - 0.001808,1.221946e-04,9.412887e-06
30607,2024-12-04 12:00:00,0.004267,0.017231,0.012552,0.061044,3.596822,2.543704,300.4205,9999,0,1.00000omega,0.005421 + 0.00404theta + 0.00266omega + -0.00165theta^2 + -0.00175theta omega + -0.00210omega^2 + 0.00000theta^3 + 0.00075theta^2 omega + 0.00114theta omega^2 + 0.00040omega^3,0.004275*omega**3 + 0.000406*omega**2*theta + 0.004061*omega**2 + 9.0e-6*omega*theta**2 + 0.000198*omega*theta + 0.001158*omega - 1.0e-6*theta**2 - 2.4e-5*theta - 0.000119,2.368305e-04,7.442265e-06
30608,2024-12-04 12:05:00,0.003918,0.006017,0.005077,0.055048,2.114453,1.495650,256.9014,9999,2,1.00000omega,0.075311 + -0.00830theta + -0.09975omega + 0.00784theta^2 + 0.00248theta omega + -0.00090omega^2 + -0.00020theta^3 + -0.00022theta^2 omega + -0.00045theta omega^2 + 0.00101omega^3,0.011085*omega**3 - 0.000165*omega**2*theta - 0.002967*omega**2 - 3.0e-6*omega*theta**2 - 2.9e-5*omega*theta - 0.00317*omega + 2.0e-6*theta**2 + 9.3e-5*theta + 0.000884,1.263452e-04,9.766015e-06
30609,2024-12-04 12:10:00,nan,nan,nan,nan,nan,nan,9553.9727,1007,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30610,2024-12-04 12:15:00,0.003679,0.012763,0.009392,0.138704,7.996137,5.654974,66.9739,6963,0,1.00000omega,-0.018791 + -0.08908theta + -0.00003omega + 0.00375theta^2 + -0.03165theta omega + 0.02254omega^2 + -0.00383theta^3 + -0.00284theta^2 omega + 0.00431theta omega^2 + 0.00747omega^3,0.025295*omega**3 + 0.000486*omega**2*theta + 0.012475*omega**2 - 1.1e-5*omega*theta**2 - 0.00057*omega*theta - 0.004657*omega - 1.3e-5*theta**2 - 0.000217*theta - 0.001409,2.795518e-04,1.214981e-05
30611,2024-12-04 12:20:00,nan,nan,nan,nan,nan,nan,29004.8555,1414,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
30612,2024-12-04 12:25:00,0.004003,0.007493,0.006007,nan,nan,nan,68.1325,7514,0,1.00000omega,0.095811 + -0.55395theta + 0.03715omega + 0.06593theta^2 + -0.42814theta omega + -0.23603omega^2 + -0.19284theta^3 + 0.01820theta^2 omega + 0.27441theta omega^2 + -0.06666omega^3,-0.197619*omega**3 + 0.027117*omega**2*theta + 0.131181*omega**2 + 6.0e-5*omega*theta**2 - 0.003578*omega*theta - 0.029301*omega - 2.1e-5*theta**3 - 0.000458*theta**2 - 0.00391*theta - 0.012201,1.998340e-04,8.843368e-06
30613,2024-12-04 12:30:00,0.003738,0.004597,0.004189,0.172475,8.453787,5.978974,172.3784,8125,0,1.00000omega,0.006361 + 0.00458theta + 0.07818omega + -0.00495theta^2 + 0.15033theta omega + -0.09456omega^2 + -0.04543theta^3 + -0.01114theta^2 omega + -0.00967theta omega^2 + -0.00445omega^3,-0.03672*omega**3 - 0.00266*omega**2*theta - 0.066782*omega**2 - 0.000102*omega*theta**2 + 0.001308*omega*theta + 0.015324*omega - 1.4e-5*theta**3 - 0.000272*theta**2 - 0.001772*theta - 0.003821,4.118269e-05,1.057182e-05
30614,2024-12-04 12:35:00,0.003298,0.005163,0.004332,0.067310,3.492801,2.470242,159.6362,7735,0,1.00000omega,-0.006021 + -0.01568theta + -0.02896omega + 0.00149theta^2 + -0.02211theta omega + -0.00801omega^2 + -0.00056theta^3 + -0.00046theta^2 omega + 0.00470theta omega^2 + -0.00846omega^3,-0.081035*omega**3 + 0.001501*omega**2*theta - 0.015434*omega**2 - 5.0e-6*omega*theta**2 - 0.000345*omega*theta + 0.001803*omega + 5.0e-6*theta**2 - 6.3e-5*theta + 0.000241,1.478255e-04,1.022654e-05
30615,2024-12-04 12:40:00,0.003416,0.009319,0.007018,0.060444,2.612663,1.847926,148.8740,9561,0,1.00000omega,-0.044911 + 0.00956theta + -0.03600omega + -0.00101theta^2 + -0.01905theta omega + -0.00677omega^2 + -0.00957theta^3 + 0.00600theta^2 omega + 0.00578theta omega^2 + -0.00484omega^3,-0.041507*omega**3 + 0.001652*omega**2*theta - 0.016392*omega**2 + 5.7e-5*omega*theta**2 - 0.001223*omega*theta + 0.004841*omega - 3.0e-6*theta**3 + 7.0e-5*theta**2 - 0.000525*theta + 0.001193,9.495996e-05,7.769636e-06
30616,2024-12-04 12:45:00,0.004177,0.010428,0.007943,nan,nan,nan,167.2428,9639,0,1.00000omega,0.026141 + -0.03250theta + 0.02500omega + 0.00219theta^2 + 0.01370theta omega + 0.19121omega^2 + -0.00892theta^3 + -0.00196theta^2 omega + 0.00459theta omega^2 + 0.06887omega^3,0.435222*omega**3 + 0.000967*omega**2*theta + 0.080227*omega**2 - 1.4e-5*omega*theta**2 + 0.000424*omega*theta - 0.001634*omega - 2.0e-6*theta**3 + 5.0e-5*theta**2 - 0.000434*theta + 0.001399,1.928507e-04,1.182742e-05
30617,2024-12-04 12:50:00,0.004488,0.025412,0.018247,0.047822,1.840550,1.301904,111.4003,9999,0,1.00000omega,-0.029251 + -0.05598theta + -0.00665omega + -0.05351theta^2 + -0.00325theta omega + 0.00466omega^2 + -0.00915theta^3 + 0.00411theta^2 omega + 0.00198theta omega^2 + 0.00631omega^3,0.022952*omega**3 + 0.00024*omega**2*theta - 0.002404*omega**2 + 1.7e-5*omega*theta**2 - 0.000595*omega*theta + 0.005083*omega - 1.0e-6*theta**3 + 4.1e-5*theta**2 - 0.000408*theta + 0.000942,3.942930e-04,9.916349e-06
30618,2024-12-04 12:55:00,0.003637,0.009080,0.006916,0.106197,10.505054,7.428575,105.8854,9171,0,1.00000omega,0.001871 + 0.00288theta + 0.01505omega + 0.00168theta^2 + -0.00020theta omega + 0.00086omega^2 + -0.00001theta^3 + -0.00100theta^2 omega + 0.00095theta omega^2 + 0.00258omega^3,0.013691*omega**3 + 0.000168*omega**2*theta + 0.002931*omega**2 - 6.0e-6*omega*theta**2 - 0.000183*omega*theta - 0.00092*omega + 1.0e-6*theta**2 + 2.6e-5*theta + 0.00023,8.240966e-05,1.403432e-05
