Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
80080,2025-05-30 02:25:00,nan,nan,nan,nan,nan,nan,1540.8851,2532,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
80081,2025-05-30 02:30:00,0.003988,0.004616,0.004313,0.115125,4.820707,3.409727,101.1281,7598,0,1.00000omega,0.084581 + -0.25479theta + 0.00906omega + 0.06019theta^2 + 0.02507theta omega + -0.04340omega^2 + -0.00095theta^3 + -0.00203theta^2 omega + 0.00374theta omega^2 + 0.00624omega^3,0.026651*omega**3 + 0.000532*omega**2*theta - 0.017487*omega**2 - 1.0e-5*omega*theta**2 + 0.000356*omega*theta - 0.000399*omega + 2.6e-5*theta**2 - 0.00039*theta + 0.000952,1.772898e-04,1.598758e-05
80082,2025-05-30 02:35:00,0.005237,0.023272,0.016867,0.074765,1.308438,0.926715,75.8277,9999,0,1.00000omega,1.124341 + 0.01939theta + -0.20863omega + -0.21789theta^2 + -0.00403theta omega + 0.11471omega^2 + -0.04225theta^3 + -0.00190theta^2 omega + 0.05269theta omega^2 + -0.07815omega^3,-0.14483*omega**3 + 0.003255*omega**2*theta - 0.033903*omega**2 - 4.0e-6*omega*theta**2 + 0.000117*omega*theta - 0.007753*omega - 3.0e-6*theta**3 + 0.000107*theta**2 - 0.00087*theta + 0.002935,4.783923e-04,1.521483e-05
80083,2025-05-30 02:40:00,0.006286,0.030344,0.021912,0.085097,2.071155,1.465764,159.8795,9999,2,1.00000omega,-0.014881 + -0.05879theta + -0.02177omega + -0.01901theta^2 + 0.00991theta omega + -0.03661omega^2 + -0.01737theta^3 + 0.00282theta^2 omega + 0.00162theta omega^2 + -0.04810omega^3,-0.127198*omega**3 + 0.000143*omega**2*theta - 0.013289*omega**2 + 8.0e-6*omega*theta**2 - 0.000183*omega*theta - 9.0e-6*omega - 2.0e-6*theta**3 + 8.0e-5*theta**2 - 0.001318*theta + 0.007527,5.561702e-04,1.307751e-05
80084,2025-05-30 02:45:00,nan,nan,nan,nan,nan,nan,2911.7988,1675,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
80085,2025-05-30 02:50:00,nan,nan,nan,nan,nan,nan,19076.5781,1156,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
80086,2025-05-30 02:55:00,nan,nan,nan,nan,nan,nan,42522.6797,971,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
80087,2025-05-30 03:00:00,0.005023,0.015912,0.011799,0.116670,15.642452,11.061192,105.8131,9999,2,1.00000omega,-0.011701 + -0.00346theta + 0.00972omega + 0.00181theta^2 + -0.00060theta omega + 0.00235omega^2 + -0.00001theta^3 + -0.00007theta^2 omega + 0.00058theta omega^2 + -0.00104omega^3,-0.002939*omega**3 + 5.5e-5*omega**2*theta + 0.000202*omega**2 - 2.0e-6*omega*theta + 0.000362*omega + 1.0e-6*theta**2 - 1.6e-5*theta + 5.1e-5,2.324799e-04,1.526758e-05
80088,2025-05-30 03:05:00,nan,nan,nan,nan,nan,nan,49925.1758,1289,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
80089,2025-05-30 03:10:00,nan,nan,nan,nan,nan,nan,7209.7832,1082,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
