Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
23,2024-08-15 02:30:00,0.008717,0.169347,0.119905,518.7596,9999,0,1.00000omega,-0.023111 + -0.28871theta + -0.18966omega + 0.05785theta^2 + -0.01678theta omega + -0.04622omega^2 + -0.00198theta^3 + 0.00110theta^2 omega + 0.00242theta omega^2 + -0.01873omega^3
24,2024-08-15 02:35:00,0.000463,0.012852,0.009094,-1.3895,7149,0,1.00000omega,0.234261 + -3.23671theta + 0.00856omega + 0.34430theta^2 + 0.28288theta omega + -0.02791omega^2 + 0.45216theta^3 + -0.02422theta^2 omega + 0.44223theta omega^2 + -0.07752omega^3
25,2024-08-15 02:40:00,0.000304,0.007689,0.005441,2.1931,9599,0,1.00000omega,0.009001 + 0.02825theta + 0.00599omega + -0.01046theta^2 + 0.07392theta omega + 0.00251omega^2 + -0.01077theta^3 + -0.00214theta^2 omega + 0.00004theta omega^2 + 0.00324omega^3
26,2024-08-15 02:45:00,0.000314,0.009596,0.006789,1.3944,9999,1,1.00000omega,-0.245971 + -0.00053theta + -0.06038omega + 0.07854theta^2 + -0.02386theta omega + -0.03276omega^2 + -0.00710theta^3 + 0.01759theta^2 omega + -0.01311theta omega^2 + -0.01110omega^3
27,2024-08-15 02:50:00,,,,192713.2656,1243,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
28,2024-08-15 02:55:00,0.000385,0.008902,0.006301,-0.9781,5781,0,1.00000omega,-0.019591 + -0.02550theta + 0.05148omega + 0.12712theta^2 + 0.10760theta omega + 0.01624omega^2 + -0.48573theta^3 + -0.40523theta^2 omega + -0.01424theta omega^2 + 0.01362omega^3
29,2024-08-15 03:00:00,,,,24071.8359,1027,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
30,2024-08-15 03:05:00,0.000448,0.013494,0.009547,-4.0228,6226,1,1.00000omega,-0.001901 + -0.06386theta + 0.13080omega + -0.25133theta^2 + 0.17449theta omega + 0.10606omega^2 + -0.03525theta^3 + 0.00894theta^2 omega + 0.00067theta omega^2 + -0.03593omega^3
31,2024-08-15 03:10:00,,,,892.9056,952,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
32,2024-08-15 03:15:00,0.000363,0.010322,0.007303,6.2832,6238,0,1.00000omega,0.092491 + -0.00269theta + 0.03766omega + -0.00543theta^2 + -0.00825theta omega + 0.01035omega^2 + 0.00048theta^3 + 0.00048theta^2 omega + -0.07543theta omega^2 + 0.00069omega^3
33,2024-08-15 03:20:00,0.000284,0.012122,0.008574,4.0994,7727,0,1.00000omega,0.081421 + -0.05491theta + -0.00043omega + 0.01014theta^2 + 0.00045theta omega + 0.00258omega^2 + -0.00038theta^3 + 0.00001theta^2 omega + -0.00083theta omega^2 + 0.00066omega^3
34,2024-08-15 03:25:00,0.000298,0.01042,0.007371,3.9529,4221,0,1.00000omega,0.018911 + 0.01574theta + 0.09886omega + -0.03409theta^2 + 0.11253theta omega + 0.02684omega^2 + 0.00015theta^3 + -0.00074theta^2 omega + 0.00366theta omega^2 + 0.00403omega^3
35,2024-08-15 03:30:00,0.000493,0.010227,0.00724,4.6021,8853,0,1.00000omega,0.057441 + -0.17759theta + -0.04316omega + -0.05374theta^2 + -0.02722theta omega + 0.00102omega^2 + -0.00055theta^3 + 0.00036theta^2 omega + -0.00579theta omega^2 + -0.00204omega^3
36,2024-08-15 03:35:00,0.00031,0.011148,0.007886,0.3898,9258,0,1.00000omega,-0.995631 + -0.28864theta + 0.44743omega + 0.31820theta^2 + 0.02522theta omega + 0.06538omega^2 + -0.07524theta^3 + 0.00864theta^2 omega + -0.13588theta omega^2 + -0.03922omega^3
37,2024-08-15 03:40:00,0.000415,0.009517,0.006736,3.3648,6598,0,1.00000omega,-0.050511 + 0.01277theta + -0.00937omega + 0.02320theta^2 + -0.00173theta omega + -0.01822omega^2 + -0.00915theta^3 + 0.00414theta^2 omega + 0.02038theta omega^2 + -0.00551omega^3
