Feature,Label,Count,Percentage
const,1,17986,82.72468034219483
theta,θ,16619,76.43731027504369
omega,ω,16734,76.96624045625977
theta^2,θ²,15264,70.20513292245424
theta_omega,θω,13463,61.92162634532242
omega^2,ω²,14019,64.47888878668016
theta^3,θ³,10522,48.3948118848312
theta^2_omega,θ²ω,9429,43.36767546683838
theta_omega^2,θω²,10923,50.23916842976727
omega^3,ω³,9780,44.982062367767455
