Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
29920,2024-12-02 02:35:00,0.010363,0.067944,0.048599,0.108104,4.166639,2.947250,3.1964,1092,0,1.00000omega,-0.001311 + -0.70465theta + -0.01360omega + -0.00736theta^2 + 0.00273theta omega + 0.00157omega^2,0.000581*omega**2 + 3.4e-5*omega*theta - 0.000575*omega - 3.0e-6*theta**2 - 0.000761*theta + 0.002786,2.933599e-04,4.028537e-05
29921,2024-12-02 02:40:00,0.010851,0.101781,0.072378,0.094780,4.899408,3.465053,4.0667,1181,0,1.00000omega,-0.001961 + -0.00033theta + 0.00182omega + 0.00174theta^2 + -0.00297theta omega + 0.00124omega^2,0.000458*omega**2 - 3.7e-5*omega*theta - 0.000291*omega + 1.0e-6*theta**2 + 1.3e-5*theta + 5.6e-5,3.293770e-04,5.662872e-05
29922,2024-12-02 02:45:00,0.016785,0.599005,0.423727,0.089834,9.005736,6.368334,23.8971,1661,0,1.00000omega,0.016521 + -0.00090theta + 0.01351omega + 0.00014theta^2 + -0.00287theta omega + 0.00168omega^2,0.000751*omega**2 - 4.3e-5*omega*theta + 0.001622*omega - 5.0e-6*theta + 0.000121,2.149202e-03,9.183178e-06
29923,2024-12-02 02:50:00,0.027482,0.801089,0.566789,0.066506,9.048817,6.398652,541.0117,638,1,1.00000omega,0.002411 + 0.00008theta + -0.01203omega + 0.00001theta^2 + 0.00004theta omega + 0.00012omega^2,0.000106*omega**2 + 1.0e-6*omega*theta - 0.000439*omega - 0.e-6*theta + 1.0e-5,1.840150e+01,2.211645e-02
29924,2024-12-02 02:55:00,0.032115,0.371673,0.263792,0.078211,8.491032,6.004321,115.1813,120,5,1.00000omega,-0.006541 + 0.00005theta + -0.00027omega + -0.00064theta^2 + 0.00029theta omega + -0.00046omega^2,-0.000218*omega**2 + 5.0e-6*omega*theta - 9.6e-5*omega + 1.3e-5*theta - 0.000138,nan,nan
29925,2024-12-02 03:00:00,nan,nan,nan,nan,nan,nan,540.8954,38,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
29926,2024-12-02 03:05:00,0.009449,0.161433,0.114346,0.076638,3.214897,2.273921,7.0417,1484,0,1.00000omega,-0.000091 + -0.00062theta + -0.00158omega + -0.00006theta^2 + -0.00005theta omega + 0.00054omega^2,0.000256*omega**2 - 0.e-6*omega*theta - 3.9e-5*omega + 2.0e-6,2.414549e-04,3.308656e-05
29927,2024-12-02 03:10:00,nan,nan,nan,nan,nan,nan,128.2358,77,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
29928,2024-12-02 03:15:00,0.039894,0.189003,0.136590,0.137557,6.470899,4.576650,74.9965,79,5,1.00000omega,-0.000701 + -0.13541theta + 0.00796omega + -0.03767theta^2 + -0.00137theta omega + -0.01560omega^2,-0.005094*omega**2 - 1.5e-5*omega*theta + 0.000293*omega - 1.4e-5*theta**2 - 9.9e-5*theta + 0.000232,1.973073e-03,2.102118e-05
29929,2024-12-02 03:20:00,0.009767,0.067035,0.047902,0.165868,24.098713,17.040767,-0.2683,909,0,1.00000omega,-0.000061 + -0.00700theta + 0.00006omega + 0.00045theta^2 + 0.00003theta omega + 0.00077omega^2,0.000218*omega**2 + 4.0e-6*omega - 6.0e-6*theta - 4.3e-5,2.244417e-04,4.651969e-05
29930,2024-12-02 03:25:00,0.058447,1.443968,1.021876,0.191286,14.049738,9.935586,128.9366,26,5,1.00000omega,0.001651 + -0.00154theta + 0.00039omega + 0.00115theta^2 + -0.00119theta omega + 0.00856omega^2,0.00187*omega**2 - 9.0e-6*omega*theta - 0.000148*omega + 9.0e-6*theta + 7.3e-5,nan,nan
29931,2024-12-02 03:30:00,nan,nan,nan,nan,nan,nan,126.8087,168,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
29932,2024-12-02 03:35:00,0.028135,0.563234,0.398763,0.061709,4.711199,3.331607,255.2661,383,0,1.00000omega,0.000751 + 0.00000theta + -0.00005omega + -0.00000theta^2 + 0.00000theta omega + -0.00008omega^2,-5.6e-5*omega**2 - 2.0e-6*omega + 1.0e-6,8.947503e-01,1.224143e-03
29933,2024-12-02 03:40:00,nan,nan,nan,nan,nan,nan,267.0475,33,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
29934,2024-12-02 03:45:00,0.027063,0.267617,0.190199,0.163091,16.011242,11.322245,-525.8136,1144,0,1.00000omega,-0.067941 + -0.00316theta + -0.00263omega + -0.00136theta^2 + -0.00006theta omega + 0.00063omega^2,0.000152*omega**2 - 8.5e-5*omega + 1.0e-6*theta - 0.000305,3.532058e-02,4.850575e-05
29935,2024-12-02 03:50:00,nan,nan,nan,nan,nan,nan,2151.9451,31,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
29936,2024-12-02 03:55:00,0.033103,0.387271,0.274840,0.336541,42.119953,29.784255,80.9657,69,5,1.00000omega,0.001381 + -0.01414theta + -0.00470omega + -0.00190theta^2 + -0.01216theta omega + 0.00033omega^2,0.000128*omega**2 - 0.000158*omega*theta + 0.001719*omega - 0.e-6*theta**2 + 4.0e-6*theta + 7.5e-5,4.242868e-03,1.396707e-05
29937,2024-12-02 04:00:00,0.010782,0.262161,0.185532,0.160887,9.242638,6.536522,-0.1574,2383,0,1.00000omega,-0.000471 + -0.00008theta + -0.00268omega + 0.00004theta^2 + -0.00010theta omega + -0.00007omega^2,-1.7e-5*omega**2 - 0.e-6*omega*theta - 0.000106*omega,1.638091e-02,6.850242e-05
29938,2024-12-02 04:05:00,0.054904,0.771110,0.546638,0.245271,23.650428,16.724278,45.9697,49,5,1.00000omega,0.003581 + -0.02374theta + 0.00044omega + -0.00041theta^2 + -0.00029theta omega + 0.00077omega^2,0.000132*omega**2 - 2.0e-6*omega*theta - 1.8e-5*omega - 2.9e-5*theta - 0.000529,6.898776e-03,1.547926e-05
29939,2024-12-02 04:10:00,0.010004,0.056141,0.040323,0.064786,1.861604,1.317150,-1.1112,1679,0,1.00000omega,-0.005331 + -0.61157theta + 0.01216omega + 0.03181theta^2 + -0.00719theta omega + -0.01353omega^2,-0.003299*omega**2 - 5.8e-5*omega*theta + 0.000608*omega + 9.0e-6*theta**2 - 0.000739*theta + 0.002442,2.569739e-04,4.085503e-05
29940,2024-12-02 04:15:00,0.032911,1.049381,0.742389,0.117523,10.430360,7.375846,156.4657,423,0,1.00000omega,-0.002961 + -0.00101theta + -0.00099omega + -0.00019theta^2 + 0.00017theta omega + 0.00056omega^2,0.000213*omega**2 + 2.0e-6*omega*theta - 7.4e-5*omega + 2.0e-6*theta - 1.6e-5,2.341694e-01,2.934099e-04
29941,2024-12-02 04:20:00,0.008647,0.162448,0.115031,0.146974,21.832337,15.438143,3.1544,1373,0,1.00000omega,-0.001691 + -0.00608theta + -0.00080omega + -0.00102theta^2 + 0.00044theta omega + -0.00002omega^2,-9.0e-6*omega**2 + 6.0e-6*omega*theta + 1.6e-5*omega - 1.3e-5*theta - 7.2e-5,3.481508e-04,3.949405e-05
29942,2024-12-02 04:25:00,0.013592,0.267292,0.189249,0.130308,16.780986,11.866307,0.9780,3551,1,1.00000omega,0.001581 + -0.04033theta + 0.00109omega + -0.00027theta^2 + -0.00013theta omega + 0.00187omega^2,0.000507*omega**2 - 1.0e-6*omega*theta + 6.8e-5*omega - 4.0e-5*theta + 0.001162,2.628412e-03,5.743985e-05
