Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
40040,2025-01-10 14:55:00,0.009032,0.132897,0.094189,0.106700,15.150565,10.713333,9.5685,1874,0,1.00000omega,-0.002721 + 0.00047theta + 0.00036omega + -0.00040theta^2 + -0.00004theta omega + -0.00187omega^2,-0.001091*omega**2 - 0.e-6*omega*theta + 1.9e-5*omega + 5.0e-6*theta - 3.1e-5,1.517230e-04,2.605154e-05
40041,2025-01-10 15:00:00,0.008318,0.031864,0.023286,0.073082,1.854696,1.312486,2.7363,1453,0,1.00000omega,0.003531 + -1.00501theta + 0.00294omega + 0.00555theta^2 + -0.00055theta omega + -0.00088omega^2,-0.000378*omega**2 - 8.0e-6*omega*theta + 9.3e-5*omega + 3.0e-6*theta**2 - 0.001114*theta - 0.000643,2.086696e-03,2.599268e-05
40042,2025-01-10 15:05:00,0.025351,0.483138,0.342100,0.056479,3.050503,2.157401,129.4154,47,5,1.00000omega,0.001391 + -0.00191theta + 0.00918omega + 0.00216theta^2 + 0.00121theta omega + 0.00956omega^2,0.005531*omega**2 + 2.3e-5*omega*theta + 0.000181*omega + 1.0e-6*theta**2 - 1.7e-5*theta + 5.4e-5,8.016433e-03,1.364924e-05
40043,2025-01-10 15:10:00,0.025201,0.413254,0.292758,0.109074,5.833219,4.125429,31.2939,26,5,1.00000omega,-0.023061 + -0.01095theta + -0.00491omega + -0.03025theta^2 + 0.00862theta omega + -0.00564omega^2,-0.001545*omega**2 + 7.9e-5*omega*theta - 0.000858*omega - 9.0e-6*theta**2 + 0.00015*theta - 0.000703,1.217915e-02,3.359579e-05
40044,2025-01-10 15:15:00,0.037348,0.493894,0.350233,0.043873,1.919818,1.357871,65.3828,602,5,1.00000omega,0.310831 + -0.07283theta + 0.02182omega + 0.00034theta^2 + -0.00096theta omega + -0.00194omega^2,-0.000608*omega**2 - 1.0e-5*omega*theta + 0.000345*omega - 7.2e-5*theta - 0.001809,nan,nan
40045,2025-01-10 15:20:00,nan,nan,nan,nan,nan,nan,206.5715,26,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
40046,2025-01-10 15:25:00,nan,nan,nan,nan,nan,nan,58.5242,56,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
40047,2025-01-10 15:30:00,0.008141,0.065107,0.046396,0.087079,7.823372,5.532302,3.6840,1470,0,1.00000omega,0.000441 + -0.00248theta + 0.00257omega + 0.00195theta^2 + 0.00014theta omega + 0.00343omega^2,0.001627*omega**2 + 2.0e-6*omega*theta + 7.3e-5*omega + 1.0e-6*theta**2 - 1.5e-5*theta + 5.3e-5,2.184336e-04,3.352556e-05
40048,2025-01-10 15:35:00,0.012334,0.274253,0.194122,0.085425,11.385304,8.050852,11.6841,1555,0,1.00000omega,-0.000981 + -0.00356theta + -0.00277omega + -0.00192theta^2 + 0.00048theta omega + -0.00095omega^2,-0.000516*omega**2 + 9.0e-6*omega*theta - 0.000182*omega - 1.0e-6*theta**2 + 2.0e-5*theta - 8.4e-5,3.549864e-04,3.491915e-05
40049,2025-01-10 15:40:00,0.010009,0.047089,0.034041,0.154661,22.636180,16.006570,4.9258,912,0,1.00000omega,-0.003021 + -0.00418theta + -0.00193omega + -0.00021theta^2 + -0.00318theta omega + -0.00054omega^2,-0.000231*omega**2 - 4.5e-5*omega*theta - 0.000194*omega - 5.0e-6*theta - 2.2e-5,2.423089e-04,3.376782e-05
