Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
76780,2025-05-18 15:15:00,0.031223,0.284165,0.202144,0.116264,18.740900,13.252073,249.0143,904,1,1.00000omega,-0.000281 + -0.00025theta + -0.00105omega + 0.00273theta^2 + -0.00016theta omega + 0.00001omega^2,6.0e-6*omega**2 - 3.0e-6*omega*theta + 3.8e-5*omega + 2.0e-6*theta**2 - 8.4e-5*theta + 0.0009,2.048594e+01,2.202769e-02
76781,2025-05-18 15:20:00,nan,nan,nan,nan,nan,nan,738.1203,24,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
76782,2025-05-18 15:25:00,0.010232,0.090866,0.064658,0.100700,3.730411,2.638760,3.3197,1662,0,1.00000omega,0.003451 + 0.00116theta + 0.00026omega + 0.00020theta^2 + 0.00009theta omega + 0.00108omega^2,0.000379*omega**2 + 1.0e-6*omega*theta - 1.5e-5*omega - 2.0e-6*theta + 2.2e-5,1.976679e-03,3.886253e-05
76783,2025-05-18 15:30:00,0.033484,0.239079,0.170705,0.147876,20.308094,14.360372,108.9769,656,1,1.00000omega,0.001341 + -0.00198theta + -0.00743omega + -0.00008theta^2 + -0.00174theta omega + 0.00030omega^2,0.000137*omega**2 - 2.6e-5*omega*theta + 0.000121*omega - 1.0e-6*theta + 2.6e-5,1.961898e-02,3.268940e-05
76784,2025-05-18 15:35:00,0.011913,0.076493,0.054741,0.145763,22.825184,16.140171,9.1112,1916,0,1.00000omega,0.001301 + -0.00046theta + -0.00272omega + 0.00079theta^2 + -0.00045theta omega + -0.00002omega^2,-9.0e-6*omega**2 - 6.0e-6*omega*theta - 0.000122*omega + 3.0e-6*theta + 1.0e-5,1.852149e-04,5.870662e-05
76785,2025-05-18 15:40:00,0.023747,0.489453,0.346503,0.071840,9.108348,6.440775,-1229.6731,877,0,1.00000omega,-0.000981 + -0.00006theta + 0.00162omega + 0.00002theta^2 + -0.00004theta omega + -0.00024omega^2,-0.000175*omega**2 - 0.e-6*omega*theta + 8.3e-5*omega - 1.0e-6*theta + 1.5e-5,3.499425e+00,4.107642e-03
76786,2025-05-18 15:45:00,0.049432,0.909912,0.644354,0.118080,15.098225,10.676384,399.1403,65,5,1.00000omega,-0.000641 + 0.00009theta + -0.00041omega + -0.00004theta^2 + 0.00007theta omega + -0.00091omega^2,-0.000479*omega**2 + 1.0e-6*omega*theta - 3.8e-5*omega + 1.0e-6*theta - 1.3e-5,nan,nan
76787,2025-05-18 15:50:00,0.012221,0.075514,0.054091,0.165926,7.446134,5.266519,1.9320,1049,0,1.00000omega,-0.009991 + -0.36515theta + -0.00211omega + -0.00780theta^2 + 0.00428theta omega + 0.00286omega^2,0.000827*omega**2 + 4.1e-5*omega*theta - 0.000351*omega - 3.0e-6*theta**2 - 0.000372*theta + 0.002601,3.379138e-04,3.439908e-05
76788,2025-05-18 15:55:00,nan,nan,nan,nan,nan,nan,58.4878,76,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
76789,2025-05-18 16:00:00,nan,nan,nan,nan,nan,nan,384.7646,106,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
76790,2025-05-18 16:05:00,nan,nan,nan,nan,nan,nan,106271.0547,16,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
76791,2025-05-18 16:10:00,nan,nan,nan,nan,nan,nan,101.9934,18,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
76792,2025-05-18 16:15:00,nan,nan,nan,nan,nan,nan,14.3174,64,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
76793,2025-05-18 16:20:00,0.012053,0.099444,0.070832,0.089518,5.074076,3.588472,6.5673,1216,0,1.00000omega,-0.005221 + 0.00149theta + 0.00033omega + -0.00035theta^2 + 0.00052theta omega + -0.00306omega^2,-0.001161*omega**2 + 7.0e-6*omega*theta + 7.3e-5*omega - 1.0e-6*theta - 1.3e-5,1.818688e-04,5.907263e-05
76794,2025-05-18 16:25:00,0.042330,0.252615,0.181116,0.112879,9.161332,6.478532,96.4909,78,5,1.00000omega,-0.007561 + -0.02669theta + 0.00129omega + -0.00017theta^2 + 0.00463theta omega + 0.00712omega^2,0.002409*omega**2 + 5.2e-5*omega*theta + 0.000795*omega - 3.1e-5*theta - 0.000465,4.577341e-03,2.712302e-05
76795,2025-05-18 16:30:00,0.012247,0.064151,0.046181,0.186679,22.657177,16.021588,5.3762,1380,0,1.00000omega,0.000471 + 0.00410theta + -0.00092omega + -0.00653theta^2 + 0.00157theta omega + 0.00104omega^2,0.000363*omega**2 + 1.8e-5*omega*theta - 1.3e-5*omega - 3.0e-6*theta**2 + 4.0e-6,7.328172e-04,7.681987e-05
76796,2025-05-18 16:35:00,0.023360,0.090165,0.065862,0.167756,20.932395,14.801914,22.4640,531,0,1.00000omega,0.000321 + 0.00232theta + 0.00019omega + -0.00023theta^2 + 0.00004theta omega + 0.00065omega^2,0.000208*omega**2 + 1.3e-5*omega + 2.1e-5,3.829522e-02,3.976303e-05
76797,2025-05-18 16:40:00,0.011450,0.172078,0.121947,0.191787,9.987351,7.063426,1.9266,1605,0,1.00000omega,-0.004121 + -0.29165theta + -0.00046omega + 0.00018theta^2 + 0.01673theta omega + 0.00068omega^2,0.000201*omega**2 + 0.000165*omega*theta + 0.000895*omega - 0.000323*theta - 0.001799,4.629749e-04,6.297883e-05
76798,2025-05-18 16:45:00,0.010885,0.051474,0.037203,0.089804,2.336252,1.653200,3.8891,965,0,1.00000omega,0.004861 + -0.93002theta + -0.01954omega + 0.00975theta^2 + 0.00385theta omega + -0.04489omega^2,-0.015834*omega**2 + 4.5e-5*omega*theta - 0.000641*omega + 4.0e-6*theta**2 - 0.001032*theta - 0.000223,7.748075e-03,9.112911e-05
76799,2025-05-18 16:50:00,nan,nan,nan,nan,nan,nan,389.1957,180,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
76800,2025-05-18 16:55:00,nan,nan,nan,nan,nan,nan,93.0984,43,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
76801,2025-05-18 17:00:00,0.011787,0.229960,0.162819,0.111463,5.647187,3.993942,2.6323,1484,0,1.00000omega,0.005281 + -0.00141theta + -0.00065omega + 0.00021theta^2 + 0.00046theta omega + -0.00504omega^2,-0.001548*omega**2 + 5.0e-6*omega*theta - 4.1e-5*omega - 2.0e-6*theta + 2.7e-5,7.100339e-04,5.972021e-05
76802,2025-05-18 17:05:00,0.011892,0.065564,0.047117,0.081267,1.540764,1.090999,3.1895,1622,0,1.00000omega,0.001011 + -0.89401theta + -0.00078omega + 0.01032theta^2 + -0.00573theta omega + -0.03281omega^2,-0.010665*omega**2 - 6.2e-5*omega*theta + 3.3e-5*omega + 4.0e-6*theta**2 - 0.001*theta + 0.000954,5.946720e-04,4.557553e-05
76803,2025-05-18 17:10:00,0.013152,0.077033,0.055259,0.120201,4.328023,3.061555,4.2158,1409,0,1.00000omega,-0.008381 + -0.55189theta + -0.00330omega + -0.00393theta^2 + 0.00704theta omega + -0.00338omega^2,-0.001046*omega**2 + 7.3e-5*omega*theta - 0.00052*omega - 1.0e-6*theta**2 - 0.000598*theta + 0.003385,1.793171e-03,6.141852e-05
76804,2025-05-18 17:15:00,0.013715,0.063541,0.045965,0.111688,10.182393,7.200472,4.5533,854,0,1.00000omega,-0.000931 + 0.00014theta + -0.00095omega + 0.00100theta^2 + 0.00211theta omega + -0.00152omega^2,-0.000462*omega**2 + 2.1e-5*omega*theta - 2.2e-5*omega - 3.0e-6,3.288435e-04,7.529599e-05
76805,2025-05-18 17:20:00,0.012841,0.256007,0.181252,0.175510,20.799049,14.707673,3.8720,932,0,1.00000omega,-0.002661 + 0.00030theta + 0.00177omega + -0.00060theta^2 + 0.00059theta omega + -0.00180omega^2,-0.000554*omega**2 + 6.0e-6*omega*theta + 6.5e-5*omega - 9.0e-6,1.221043e-03,7.162779e-05
76806,2025-05-18 17:25:00,0.012542,0.762376,0.539154,0.121445,8.603024,6.083863,1.5551,3895,0,1.00000omega,-0.001691 + -0.00036theta + 0.01296omega + -0.00015theta^2 + 0.00047theta omega + -0.00019omega^2,-5.5e-5*omega**2 + 5.0e-6*omega*theta + 0.000576*omega - 3.0e-6*theta - 6.8e-5,8.276034e-04,4.510721e-05
76807,2025-05-18 17:30:00,nan,nan,nan,nan,nan,nan,93.4263,38,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
76808,2025-05-18 17:35:00,0.026738,0.515343,0.364892,0.055345,6.971567,4.929797,164.0222,824,5,1.00000omega,-0.003231 + -0.11019theta + 0.00094omega + -0.00571theta^2 + 0.02251theta omega + 0.00019omega^2,0.000124*omega**2 + 0.00049*omega*theta - 0.011624*omega - 4.0e-6*theta**2 + 7.5e-5*theta + 0.000563,4.951527e-03,1.306389e-05
76809,2025-05-18 17:40:00,0.057051,0.619876,0.440171,0.144507,16.817425,11.892154,221.5985,53,5,1.00000omega,-0.001031 + 0.00094theta + 0.00071omega + 0.00019theta^2 + -0.00037theta omega + -0.00068omega^2,-0.000251*omega**2 - 5.0e-6*omega*theta + 5.9e-5*omega - 7.0e-6,nan,nan
76810,2025-05-18 17:45:00,nan,nan,nan,nan,nan,nan,118.9759,387,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
76811,2025-05-18 17:50:00,nan,nan,nan,nan,nan,nan,2726.6140,38,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
76812,2025-05-18 17:55:00,0.010802,0.168905,0.119678,0.079671,7.743977,5.476109,8.0248,2801,0,1.00000omega,0.000991 + 0.00027theta + -0.00041omega + -0.00025theta^2 + 0.00011theta omega + 0.00025omega^2,0.000115*omega**2 + 2.0e-6*omega*theta - 3.5e-5*omega + 4.0e-6*theta - 2.2e-5,1.426978e-03,1.565020e-05
76813,2025-05-18 18:00:00,0.013454,0.042623,0.031605,0.117053,14.439018,10.210263,5.6612,2382,0,1.00000omega,-0.000461 + -0.00308theta + -0.00173omega + -0.00025theta^2 + 0.00005theta omega + -0.00274omega^2,-0.000889*omega**2 + 1.0e-6*omega*theta - 5.0e-5*omega - 6.0e-6*theta - 7.2e-5,1.238788e-02,2.612582e-05
76814,2025-05-18 18:05:00,0.012362,0.186629,0.132256,0.054440,1.834574,1.297810,3.8142,1741,0,1.00000omega,-0.000581 + -0.22850theta + -0.01373omega + -0.00036theta^2 + 0.00343theta omega + 0.03107omega^2,0.009599*omega**2 + 3.5e-5*omega*theta - 0.000116*omega - 0.000256*theta - 0.002469,1.842719e-03,5.262210e-05
