Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
17874,2024-10-21 01:40:00,0.000542,0.011967,0.008471,-5.3550,9999,0,1.00000omega,0.006491 + 0.07184theta + -0.06371omega + -0.16945theta^2 + 0.00475theta omega + 0.00379omega^2 + -0.07298theta^3 + -0.00154theta^2 omega + 0.00399theta omega^2 + -0.00336omega^3
17875,2024-10-21 01:45:00,0.000544,0.011096,0.007855,-4.3140,7216,0,1.00000omega,-0.000771 + -0.01766theta + -0.03766omega + 0.13994theta^2 + 0.02147theta omega + -0.11701omega^2 + -0.14619theta^3 + -0.03274theta^2 omega + 0.10045theta omega^2 + -0.01371omega^3
17876,2024-10-21 01:50:00,nan,nan,nan,12680.3193,1579,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
17877,2024-10-21 01:55:00,0.000353,0.010920,0.007726,3.8134,8858,0,1.00000omega,-0.013731 + 0.03522theta + -0.20847omega + 0.00766theta^2 + 0.00035theta omega + -0.00850omega^2 + -0.00027theta^3 + 0.00224theta^2 omega + -0.00087theta omega^2 + 0.00036omega^3
17878,2024-10-21 02:00:00,nan,nan,nan,558073.8125,5,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
17879,2024-10-21 02:05:00,0.000723,0.013672,0.009681,0.5902,9999,0,1.00000omega,0.002431 + -0.00038theta + 0.02493omega + 0.06484theta^2 + -0.00546theta omega + -0.02365omega^2 + -0.01227theta^3 + 0.00144theta^2 omega + 0.01457theta omega^2 + -0.03405omega^3
17880,2024-10-21 02:10:00,nan,nan,nan,18795.9434,1328,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
17881,2024-10-21 02:15:00,0.000808,0.019487,0.013791,1.0777,5916,0,1.00000omega,-0.000581 + -0.10320theta + -0.04451omega + -0.05678theta^2 + -0.00300theta omega + 0.05479omega^2 + -0.00911theta^3 + -0.00073theta^2 omega + 0.01392theta omega^2 + -0.01020omega^3
17882,2024-10-21 02:20:00,0.000696,0.019553,0.013835,1.1641,7535,0,1.00000omega,-0.007251 + -0.05868theta + -0.01134omega + 0.03321theta^2 + -0.03659theta omega + -0.02012omega^2 + -0.00052theta^3 + 0.00119theta^2 omega + -0.05882theta omega^2 + -0.00228omega^3
17883,2024-10-21 02:25:00,0.000493,0.010729,0.007595,-2.2832,6795,0,1.00000omega,-0.021081 + -0.25022theta + 0.31305omega + -0.04243theta^2 + 0.00106theta omega + -0.00505omega^2 + -0.00015theta^3 + 0.00137theta^2 omega + 0.00048theta omega^2 + -0.00077omega^3
17884,2024-10-21 02:30:00,0.000751,0.020114,0.014233,-3.6073,7566,0,1.00000omega,-0.002611 + -0.03812theta + 0.01399omega + 0.21237theta^2 + -0.14898theta omega + -0.00117omega^2 + 0.00078theta^3 + -0.20822theta^2 omega + 0.01107theta omega^2 + 0.12967omega^3
17885,2024-10-21 02:35:00,nan,nan,nan,343.3933,1318,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
17886,2024-10-21 02:40:00,0.000945,0.012036,0.008537,-1.6574,9999,0,1.00000omega,-1.999621 + -0.00259theta + 0.69688omega + 0.27726theta^2 + -0.00508theta omega + 0.50643omega^2 + -0.02366theta^3 + -0.10875theta^2 omega + 0.00176theta omega^2 + -0.06764omega^3
17887,2024-10-21 02:45:00,0.000730,0.017939,0.012695,3.3596,9999,1,1.00000omega,-0.069681 + -0.02979theta + -0.02211omega + -0.01003theta^2 + -0.01163theta omega + 0.00102omega^2 + -0.00139theta^3 + -0.00094theta^2 omega + 0.00074theta omega^2 + 0.00182omega^3
