Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
25658,2024-11-17 05:45:00,nan,nan,nan,3750.3428,995,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
25659,2024-11-17 05:50:00,0.000473,0.013629,0.009643,0.2272,7179,0,1.00000omega,0.028741 + 0.01976theta + -0.01573omega + -0.00445theta^2 + -0.03178theta omega + 0.00019omega^2 + -0.02510theta^3 + -0.01219theta^2 omega + 0.01153theta omega^2 + -0.00441omega^3
25660,2024-11-17 05:55:00,0.000361,0.009082,0.006427,-2.3843,8408,0,1.00000omega,1.144921 + 0.03293theta + 0.01339omega + -0.25996theta^2 + 0.00427theta omega + -0.32977omega^2 + -0.12378theta^3 + 0.11476theta^2 omega + -0.12251theta omega^2 + -0.12521omega^3
25661,2024-11-17 06:00:00,0.001609,0.028801,0.020397,14.2043,9999,0,1.00000omega,0.002381 + 0.06029theta + 0.33476omega + -0.00894theta^2 + 0.00036theta omega + 0.01581omega^2 + 0.00187theta^3 + -0.00003theta^2 omega + -0.03801theta omega^2 + 0.00299omega^3
25662,2024-11-17 06:05:00,nan,nan,nan,122803.3750,1344,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
25663,2024-11-17 06:10:00,nan,nan,nan,80793.1016,1115,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
25664,2024-11-17 06:15:00,0.000869,0.020188,0.014288,-4.0091,7796,1,1.00000omega,-0.018861 + -0.00130theta + 0.21083omega + -0.12703theta^2 + 0.01834theta omega + 0.01221omega^2 + -0.08121theta^3 + -0.12108theta^2 omega + -0.01247theta omega^2 + 0.02259omega^3
25665,2024-11-17 06:20:00,0.000812,0.018490,0.013087,-0.9011,7144,0,1.00000omega,-0.826441 + 0.02774theta + -0.09817omega + 0.40425theta^2 + -0.00740theta omega + -0.02231omega^2 + -0.09432theta^3 + 0.00259theta^2 omega + -0.00008theta omega^2 + -0.02198omega^3
25666,2024-11-17 06:25:00,0.000453,0.016348,0.011564,-3.8042,8826,0,1.00000omega,-0.000971 + -0.28022theta + 0.05115omega + 0.03048theta^2 + 0.03745theta omega + -0.19303omega^2 + -0.03575theta^3 + -0.06303theta^2 omega + -0.00754theta omega^2 + 0.03613omega^3
25667,2024-11-17 06:30:00,0.000966,0.013225,0.009376,-3.0521,6511,0,1.00000omega,-1.189181 + -1.62567theta + 0.28381omega + 0.36063theta^2 + 0.37239theta omega + 0.43818omega^2 + -0.02191theta^3 + 0.05823theta^2 omega + 0.29608theta omega^2 + -0.04206omega^3
25668,2024-11-17 06:35:00,0.000761,0.020051,0.014189,6.6168,9999,0,1.00000omega,-0.000331 + 0.03352theta + -0.00234omega + -0.01390theta^2 + -0.00064theta omega + 0.03188omega^2 + -0.00305theta^3 + -0.00164theta^2 omega + 0.00030theta omega^2 + 0.00656omega^3
25669,2024-11-17 06:40:00,nan,nan,nan,620982.8750,5,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
25670,2024-11-17 06:45:00,0.000573,0.015718,0.011121,0.7597,6165,0,1.00000omega,0.052341 + -0.19345theta + 0.03947omega + -0.12663theta^2 + -0.02626theta omega + 0.02588omega^2 + -0.00831theta^3 + 0.05294theta^2 omega + -0.01975theta omega^2 + -0.00706omega^3
25671,2024-11-17 06:50:00,0.001060,0.031065,0.021979,17.3629,3709,5,1.00000omega,0.017691 + -0.03097theta + -0.03496omega + 0.00945theta^2 + 0.01582theta omega + 0.00924omega^2 + 0.00049theta^3 + -0.00316theta^2 omega + -0.00498theta omega^2 + -0.00252omega^3
25672,2024-11-17 06:55:00,0.000661,0.010234,0.007251,2.0989,9999,0,1.00000omega,-0.014511 + -0.05872theta + 0.02985omega + -0.00309theta^2 + 0.00604theta omega + -0.00366omega^2 + -0.00034theta^3 + 0.00208theta^2 omega + -0.00225theta omega^2 + -0.00011omega^3
25673,2024-11-17 07:00:00,0.000627,0.019337,0.013681,-2.5487,9856,0,1.00000omega,-0.005701 + -0.02348theta + 0.02120omega + -0.00346theta^2 + 0.00130theta omega + -0.01421omega^2 + 0.00008theta^3 + 0.00033theta^2 omega + -0.00269theta omega^2 + 0.00278omega^3
25674,2024-11-17 07:05:00,0.000598,0.018959,0.013413,-1.0627,9999,0,1.00000omega,0.038841 + 0.01911theta + -0.04427omega + -0.01026theta^2 + -0.00324theta omega + 0.01373omega^2 + -0.00004theta^3 + 0.00036theta^2 omega + 0.00058theta omega^2 + -0.00510omega^3
25675,2024-11-17 07:10:00,nan,nan,nan,7894.0459,2844,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
25676,2024-11-17 07:15:00,0.000754,0.020000,0.014152,12.6520,9999,0,1.00000omega,0.016501 + -0.00201theta + -0.01613omega + 0.00154theta^2 + 0.00120theta omega + 0.00250omega^2 + 0.00001theta^3 + -0.00100theta^2 omega + -0.00003theta omega^2 + -0.00036omega^3
25677,2024-11-17 07:20:00,0.000583,0.009659,0.006842,2.3177,6207,1,1.00000omega,0.178941 + -0.44956theta + 0.24194omega + -0.09135theta^2 + -0.01100theta omega + -0.00516omega^2 + -0.01811theta^3 + -0.22581theta^2 omega + -0.00229theta omega^2 + 0.10634omega^3
25678,2024-11-17 07:25:00,0.000679,0.011729,0.008307,-2.2510,9999,0,1.00000omega,2.121151 + -0.83541theta + 0.11007omega + -0.45284theta^2 + 0.00440theta omega + -0.05285omega^2 + -0.03873theta^3 + -0.02053theta^2 omega + -0.02184theta omega^2 + 0.29572omega^3
25679,2024-11-17 07:30:00,0.000806,0.026110,0.018471,0.9824,4641,5,1.00000omega,0.073701 + -0.02406theta + -0.06500omega + 0.05997theta^2 + -0.07301theta omega + -0.02353omega^2 + -0.04848theta^3 + 0.02463theta^2 omega + -0.01241theta omega^2 + -0.02937omega^3
25680,2024-11-17 07:35:00,0.000816,0.020812,0.014727,-3.0883,4761,0,1.00000omega,-0.057431 + -0.08975theta + 0.07837omega + -0.00800theta^2 + 0.00044theta omega + -0.00365omega^2 + -0.00138theta^3 + 0.00015theta^2 omega + -0.00302theta omega^2 + 0.01135omega^3
25681,2024-11-17 07:40:00,0.000724,0.020337,0.014389,-0.6692,8511,0,1.00000omega,0.030101 + -0.49628theta + -0.29030omega + 0.00960theta^2 + -0.02721theta omega + 0.04216omega^2 + -0.01384theta^3 + -0.00681theta^2 omega + -0.00311theta omega^2 + 0.00018omega^3
25682,2024-11-17 07:45:00,nan,nan,nan,1671.3641,890,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
25683,2024-11-17 07:50:00,0.001262,0.036975,0.026161,3.8757,7001,0,1.00000omega,0.027551 + -0.00844theta + -0.07675omega + -0.00799theta^2 + 0.00096theta omega + 0.02449omega^2 + -0.00041theta^3 + 0.00354theta^2 omega + -0.00177theta omega^2 + -0.00538omega^3
25684,2024-11-17 07:55:00,nan,nan,nan,78529.9453,1660,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
25685,2024-11-17 08:00:00,0.000501,0.015986,0.011310,-4.0236,7935,0,1.00000omega,-0.037631 + -0.03951theta + -0.06762omega + 0.40995theta^2 + 0.15332theta omega + 0.04247omega^2 + -0.37418theta^3 + 0.03058theta^2 omega + 0.03916theta omega^2 + -0.04141omega^3
25686,2024-11-17 08:05:00,0.000448,0.011778,0.008335,-4.3366,4864,0,1.00000omega,-0.367241 + -1.15977theta + 0.00016omega + 0.14535theta^2 + -0.35571theta omega + 0.04737omega^2 + -0.17159theta^3 + 0.19376theta^2 omega + 0.57164theta omega^2 + -0.13330omega^3
25687,2024-11-17 08:10:00,0.000873,0.015912,0.011268,-3.9717,7380,0,1.00000omega,0.010401 + -0.07870theta + 0.01220omega + -0.00416theta^2 + -0.03802theta omega + -0.04350omega^2 + -0.10090theta^3 + -0.02058theta^2 omega + 0.09150theta omega^2 + 0.04209omega^3
25688,2024-11-17 08:15:00,0.000432,0.013465,0.009526,0.1614,6238,0,1.00000omega,-0.020691 + 0.01242theta + -0.05419omega + 0.02418theta^2 + 0.00092theta omega + -0.02549omega^2 + -0.05707theta^3 + -0.01005theta^2 omega + 0.11529theta omega^2 + 0.00112omega^3
25689,2024-11-17 08:20:00,0.000408,0.009126,0.006459,0.8990,5337,0,1.00000omega,0.036381 + -0.02729theta + 0.01926omega + -0.18393theta^2 + -0.02969theta omega + 0.03556omega^2 + -0.16793theta^3 + 0.01640theta^2 omega + 0.01238theta omega^2 + -0.00618omega^3
25690,2024-11-17 08:25:00,0.000505,0.012458,0.008817,2.2694,6376,0,1.00000omega,0.418331 + -2.18799theta + -0.04422omega + -1.99683theta^2 + 0.16700theta omega + -0.13838omega^2 + -0.14695theta^3 + 0.01551theta^2 omega + 0.00199theta omega^2 + 0.07189omega^3
25691,2024-11-17 08:30:00,nan,nan,nan,6.3193,4382,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
25692,2024-11-17 08:35:00,0.000595,0.020272,0.014341,0.7791,9496,0,1.00000omega,0.021851 + 0.01174theta + 0.04321omega + -0.00115theta^2 + 0.00158theta omega + 0.01415omega^2 + -0.00022theta^3 + -0.00084theta^2 omega + 0.00018theta omega^2 + 0.00170omega^3
25693,2024-11-17 08:40:00,0.001241,0.035995,0.025468,19.2954,2978,5,1.00000omega,-0.020451 + -0.03402theta + -0.04136omega + -0.01891theta^2 + -0.00017theta omega + -0.00584omega^2 + -0.00038theta^3 + -0.00069theta^2 omega + 0.00131theta omega^2 + -0.00417omega^3
25694,2024-11-17 08:45:00,0.000644,0.015519,0.010983,-2.1319,6955,0,1.00000omega,0.021151 + -0.12967theta + 0.08248omega + -0.08344theta^2 + -0.27061theta omega + 0.11621omega^2 + -0.09464theta^3 + 0.07017theta^2 omega + -0.03945theta omega^2 + 0.00485omega^3
