Chunk_Index,Chunk_Start_Time,RMSE_Omega,Is_Unstable,P0_Effective,Omega_Std,Omega_Mean
62,2024-08-17 16:00:00,0.05507654,0,-3.31227643e-04,5.53836333e-02,-1.09081789e-02
63,2024-08-17 17:00:00,0.10547625,0,1.67614316e-03,9.56086605e-02,3.71029290e-02
64,2024-08-17 18:00:00,0.12310627,0,4.93855007e-04,1.29309220e-01,-5.05123525e-03
65,2024-08-17 19:00:00,0.09014772,0,-2.58094195e-03,9.65217775e-02,-5.87325529e-02
66,2024-08-17 20:00:00,0.07863591,0,1.26919913e-04,8.24937320e-02,-1.47925342e-02
67,2024-08-17 21:00:00,0.04944113,0,-1.03922326e-03,5.06464820e-02,-2.37421872e-02
68,2024-08-17 22:00:00,0.16942140,0,1.47996525e-03,1.55792376e-01,3.30954169e-02
69,2024-08-17 23:00:00,0.21856051,0,5.06364855e-03,1.59595896e-01,1.17256309e-01
70,2024-08-18 00:00:00,0.12125036,0,-3.72871243e-03,1.28235527e-01,-7.14783062e-02
71,2024-08-18 01:00:00,0.09516161,0,-2.40366291e-03,7.58295199e-02,-7.37149242e-02
72,2024-08-18 02:00:00,0.09437231,0,-2.45722409e-03,5.29470216e-02,-7.36267364e-02
73,2024-08-18 03:00:00,0.12111751,0,-1.71639902e-03,9.73469787e-02,-6.91902697e-02
74,2024-08-18 04:00:00,0.08335604,0,-9.80122447e-05,9.21027690e-02,1.15250107e-02
75,2024-08-18 05:00:00,0.09871051,0,-1.17266545e-03,8.62817049e-02,-4.52228903e-02
76,2024-08-18 06:00:00,0.08424985,0,6.16508214e-04,9.82840521e-02,4.43445778e-03
77,2024-08-18 07:00:00,0.07147054,0,4.50238301e-04,7.79203595e-02,6.09893007e-03
78,2024-08-18 08:00:00,0.08530367,0,1.73274979e-03,5.50219327e-02,5.94940690e-02
79,2024-08-18 09:00:00,0.12365827,0,3.13965043e-03,8.10001229e-02,8.54167240e-02
80,2024-08-18 10:00:00,0.07105405,0,-2.10468329e-04,7.29033828e-02,1.44151394e-02
81,2024-08-18 11:00:00,0.10651171,0,3.76098571e-03,2.74098374e-02,1.06032881e-01
82,2024-08-18 12:00:00,0.13223096,0,6.18223788e-03,1.09566461e-01,1.33605343e-01
83,2024-08-18 13:00:00,0.09799932,0,-1.28964552e-03,8.91869172e-02,-3.65776161e-02
84,2024-08-18 14:00:00,0.07013823,0,-1.02488813e-03,8.05671224e-02,-1.23230890e-02
85,2024-08-18 16:00:00,0.09073161,0,-1.47081610e-03,7.18664844e-02,-4.52822829e-02
86,2024-08-18 17:00:00,0.11194955,0,2.84566225e-03,7.24780619e-02,9.19935046e-02
87,2024-08-18 18:00:00,0.11274257,0,3.12341073e-03,1.00393438e-01,7.89692560e-02
88,2024-08-18 19:00:00,0.10611305,0,-1.79476192e-03,1.08695246e-01,-2.82969217e-02
89,2024-08-18 20:00:00,0.07346186,0,4.09487483e-04,6.62582485e-02,2.08373331e-02
90,2024-08-18 21:00:00,0.09868968,0,-1.78061977e-03,1.17860102e-01,-2.07023026e-02
91,2024-08-18 22:00:00,0.08173836,0,1.87831635e-03,6.88884690e-02,4.80131986e-02
92,2024-08-18 23:00:00,0.07428691,0,1.41883399e-03,7.28978796e-02,2.84249723e-02
93,2024-08-19 02:00:00,0.16043132,0,-6.20803760e-04,1.60565915e-01,4.08630419e-02
94,2024-08-19 03:00:00,0.12710925,0,5.20182978e-04,1.32857601e-01,-3.15766681e-02
95,2024-08-19 05:00:00,0.07730284,0,1.04347380e-04,7.52615537e-02,1.92679455e-02
96,2024-08-19 07:00:00,0.07945252,0,-1.26775085e-03,6.16248712e-02,-3.91741275e-02
97,2024-08-19 08:00:00,0.06499730,0,-1.08034981e-04,6.52075389e-02,1.10161813e-02
98,2024-08-19 09:00:00,0.10739628,0,3.28962974e-03,4.02396106e-02,9.44040077e-02
99,2024-08-19 10:00:00,0.10512761,0,3.41233333e-03,3.44055786e-02,9.98182735e-02
100,2024-08-19 11:00:00,0.07978029,0,3.38371053e-03,3.65210636e-02,8.26280441e-02
101,2024-08-19 13:00:00,0.08187490,0,2.40933873e-03,5.06217347e-02,6.23990233e-02
102,2024-08-19 14:00:00,0.06171008,0,-2.67126068e-04,5.93836596e-02,-7.53152979e-03
103,2024-08-19 15:00:00,0.09415782,0,-5.26941152e-04,8.64381968e-02,-2.13014262e-02
104,2024-08-19 16:00:00,0.05016478,0,8.77903113e-04,4.05626146e-02,2.51001643e-02
105,2024-08-19 17:00:00,0.05023354,0,2.39160855e-05,4.96946566e-02,1.04964996e-02
106,2024-08-19 18:00:00,0.06241088,0,1.12923954e-03,5.45897087e-02,2.96290521e-02
107,2024-08-19 19:00:00,0.07105816,0,-1.90445622e-04,7.18193348e-02,-4.43398725e-03
108,2024-08-19 20:00:00,0.05713541,0,4.81998201e-04,5.10375430e-02,1.90146456e-02
109,2024-08-19 21:00:00,0.07269156,0,4.13539275e-04,6.53960521e-02,2.13846209e-02
110,2024-08-19 22:00:00,0.07938851,0,1.31644461e-03,5.61470904e-02,4.61425893e-02
111,2024-08-19 23:00:00,0.07222257,0,-2.18443747e-03,8.54897097e-02,-3.29378278e-02
112,2024-08-20 00:00:00,0.17636605,0,3.43657029e-03,8.23945759e-02,1.19473790e-01
113,2024-08-20 01:00:00,0.05179349,0,4.32302634e-04,5.71664498e-02,1.18343371e-02
114,2024-08-20 02:00:00,0.08637451,0,1.22796337e-03,6.35722436e-02,5.12120710e-02
