Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
53240,2025-02-25 12:40:00,0.003222,0.011285,0.008299,0.115921,5.871657,4.152697,94.3944,9711,0,1.00000omega,-0.026951 + 0.01446theta + -0.09369omega + 0.01683theta^2 + -0.01242theta omega + 0.01734omega^2 + -0.03364theta^3 + -0.00074theta^2 omega + 0.02703theta omega^2 + 0.00381omega^3,0.022721*omega**3 + 0.005373*omega**2*theta - 0.034919*omega**2 - 5.0e-6*omega*theta**2 - 0.000107*omega*theta - 0.001967*omega - 7.0e-6*theta**3 + 0.000185*theta**2 - 0.001521*theta + 0.004046
53241,2025-02-25 12:45:00,0.004349,0.024114,0.017326,0.149454,8.172918,5.780092,161.3845,9999,1,1.00000omega,-0.050301 + 0.01364theta + -0.05732omega + 0.09596theta^2 + 0.03200theta omega + -0.06833omega^2 + -0.01438theta^3 + -0.00107theta^2 omega + 0.01548theta omega^2 + -0.03659omega^3,-0.202803*omega**3 + 0.00286*omega**2*theta - 0.066693*omega**2 - 7.0e-6*omega*theta**2 + 0.00063*omega*theta - 0.009016*omega - 3.0e-6*theta**3 + 0.000161*theta**2 - 0.002689*theta + 0.014038
53242,2025-02-25 12:50:00,0.004186,0.015115,0.011090,nan,nan,nan,91.4961,7603,1,1.00000omega,0.002921 + -0.20855theta + 0.02389omega + -0.07510theta^2 + 0.02495theta omega + -0.03486omega^2 + -0.00466theta^3 + 0.00277theta^2 omega + 0.00002theta omega^2 + 0.02268omega^3,0.079481*omega**3 + 2.0e-6*omega**2*theta - 0.011952*omega**2 + 1.1e-5*omega*theta**2 - 6.6e-5*omega*theta - 0.000977*omega - 0.e-6*theta**3 + 1.0e-6*theta**2 + 0.000216*theta - 0.001154
53243,2025-02-25 12:55:00,0.003608,0.004949,0.004331,0.093480,2.706668,1.915045,134.3057,5898,0,1.00000omega,-0.165451 + -0.26002theta + -0.05963omega + 0.05675theta^2 + -0.61535theta omega + -0.08767omega^2 + -0.68175theta^3 + -1.00001theta^2 omega + -0.65501theta omega^2 + 0.00489omega^3,0.034225*omega**3 - 0.152813*omega**2*theta - 0.390656*omega**2 - 0.007777*omega*theta**2 - 0.045359*omega*theta - 0.064972*omega - 0.000177*theta**3 - 0.001178*theta**2 - 0.002904*theta - 0.002974
53244,2025-02-25 13:00:00,0.003959,0.025313,0.018116,0.064033,4.147098,2.932791,360.8681,9999,0,1.00000omega,0.013331 + 0.00091theta + -0.02490omega + -0.00158theta^2 + -0.00458theta omega + 0.01246omega^2 + -0.00181theta^3 + 0.00015theta^2 omega + 0.01308theta omega^2 + -0.00345omega^3,-0.050164*omega**3 + 0.00634*omega**2*theta + 0.143614*omega**2 + 2.0e-6*omega*theta**2 - 3.0e-6*omega*theta - 0.001994*omega - 0.e-6*theta**3 - 6.3e-5*theta**2 - 0.001376*theta - 0.009911
53245,2025-02-25 13:05:00,0.003864,0.005455,0.004727,0.104008,5.628372,3.980539,156.8966,7385,0,1.00000omega,-0.293511 + 0.00298theta + 0.00765omega + -0.02020theta^2 + -0.00373theta omega + 0.00734omega^2 + -0.00885theta^3 + 0.00575theta^2 omega + 0.00723theta omega^2 + -0.05087omega^3,-0.356669*omega**3 + 0.00169*omega**2*theta + 0.020286*omega**2 + 4.5e-5*omega*theta**2 + 0.000827*omega*theta + 0.004055*omega - 2.0e-6*theta**3 - 7.9e-5*theta**2 - 0.000888*theta - 0.00394
53246,2025-02-25 13:10:00,0.003650,0.016213,0.011751,0.127202,10.182004,7.200326,91.5525,8969,1,1.00000omega,-0.034001 + 0.00110theta + 0.04209omega + -0.00040theta^2 + -0.00084theta omega + -0.01083omega^2 + -0.00157theta^3 + -0.00050theta^2 omega + -0.00122theta omega^2 + 0.00647omega^3,0.029388*omega**3 - 0.000185*omega**2*theta - 0.006065*omega**2 - 3.0e-6*omega*theta**2 - 6.1e-5*omega*theta + 0.001041*omega - 8.0e-6*theta**2 - 8.2e-5*theta - 0.000368
53247,2025-02-25 13:15:00,0.004405,0.011260,0.008549,0.073716,2.197949,1.555058,106.2679,9999,0,1.00000omega,-0.056621 + 0.02407theta + -0.06447omega + 0.09280theta^2 + -0.01304theta omega + -0.09341omega^2 + -0.02810theta^3 + 0.00318theta^2 omega + 0.03230theta omega^2 + -0.02735omega^3,-0.100583*omega**3 + 0.00396*omega**2*theta + 0.020474*omega**2 + 1.3e-5*omega*theta**2 + 0.000197*omega*theta - 0.001849*omega - 4.0e-6*theta**3 - 0.000118*theta**2 - 0.001075*theta - 0.002581
53248,2025-02-25 13:20:00,0.003848,0.003774,0.003811,0.065539,2.523210,1.784780,196.0391,5637,0,1.00000omega,-0.080131 + -0.45778theta + -0.03182omega + 0.39709theta^2 + 0.09204theta omega + -0.37353omega^2 + -0.02585theta^3 + 0.06823theta^2 omega + 0.03885theta omega^2 + -0.01302omega^3,-0.113878*omega**3 + 0.011327*omega**2*theta - 0.211302*omega**2 + 0.000663*omega*theta**2 + 0.000531*omega*theta - 0.001989*omega - 8.0e-6*theta**3 + 0.00026*theta**2 - 0.000931*theta + 0.000444
53249,2025-02-25 13:25:00,0.003755,0.003795,0.003775,nan,nan,nan,136.8100,6867,1,1.00000omega,-0.003161 + -0.00825theta + 0.00127omega + 0.00816theta^2 + 0.00705theta omega + 0.01161omega^2 + -0.00113theta^3 + -0.00265theta^2 omega + 0.03164theta omega^2 + -0.00563omega^3,-0.036156*omega**3 + 0.006773*omega**2*theta - 0.032985*omega**2 - 1.9e-5*omega*theta**2 + 0.000323*omega*theta - 0.00118*omega + 9.0e-6*theta**2 - 8.3e-5*theta + 0.000228
53250,2025-02-25 13:30:00,nan,nan,nan,nan,nan,nan,511.1137,2659,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A
53251,2025-02-25 13:35:00,0.004062,0.005639,0.004914,0.070403,1.806205,1.278150,155.0065,5762,0,1.00000omega,-0.032061 + 0.00062theta + -0.18001omega + 0.03099theta^2 + 0.01270theta omega + -0.00161omega^2 + -0.01246theta^3 + -0.07592theta^2 omega + 0.01033theta omega^2 + -0.01074omega^3,-0.067602*omega**3 + 0.002167*omega**2*theta + 0.013932*omega**2 - 0.000531*omega*theta**2 - 0.006993*omega*theta - 0.029011*omega - 3.0e-6*theta**3 - 4.3e-5*theta**2 - 0.000185*theta - 0.000251
53252,2025-02-25 13:40:00,0.003656,0.004109,0.003889,0.066191,2.505349,1.772167,86.3708,8818,0,1.00000omega,0.207361 + -0.02165theta + -0.05745omega + 0.01912theta^2 + 0.02913theta omega + 0.03940omega^2 + -0.03540theta^3 + -0.00149theta^2 omega + 0.08209theta omega^2 + -0.13520omega^3,-0.589298*omega**3 + 0.011927*omega**2*theta - 0.068028*omega**2 - 7.0e-6*omega*theta**2 + 0.000471*omega*theta - 0.004842*omega - 6.0e-6*theta**3 + 0.000127*theta**2 - 0.000968*theta + 0.003094
53253,2025-02-25 13:45:00,0.003962,0.024667,0.017665,0.105943,2.274680,1.610185,-625323008.0000,5140,0,1.00000omega,-0.829091 + -0.17316theta + -0.00053omega + 0.85254theta^2 + -0.03209theta omega + -0.26737omega^2 + -1.01658theta^3 + 0.47368theta^2 omega + -0.11015theta omega^2 + -0.04042omega^3,-0.234573*omega**3 - 0.021308*omega**2*theta - 0.113433*omega**2 + 0.003054*omega*theta**2 - 0.001664*omega*theta + 0.000191*omega - 0.000219*theta**3 + 0.000545*theta**2 - 0.00038*theta - 0.002039
53254,2025-02-25 13:50:00,0.003714,0.006894,0.005537,0.177209,4.747787,3.359530,80.8479,8759,0,1.00000omega,-0.150971 + -0.19763theta + 0.04144omega + 0.53131theta^2 + -0.02842theta omega + -0.02833omega^2 + -0.78085theta^3 + -0.09391theta^2 omega + 0.46996theta omega^2 + 0.00548omega^3,0.021273*omega**3 + 0.060812*omega**2*theta + 0.411243*omega**2 - 0.000405*omega*theta**2 - 0.005955*omega*theta - 0.020434*omega - 0.000112*theta**3 - 0.002122*theta**2 - 0.013452*theta - 0.029156
53255,2025-02-25 13:55:00,0.004723,0.029903,0.021407,0.071271,4.139068,2.927197,219.2163,9999,0,1.00000omega,-0.004671 + -0.07654theta + -0.08867omega + 0.00200theta^2 + 0.12721theta omega + -0.15549omega^2 + -0.01270theta^3 + -0.00095theta^2 omega + -0.00279theta omega^2 + 0.00140omega^3,0.008714*omega**3 - 0.000579*omega**2*theta - 0.063212*omega**2 - 7.0e-6*omega*theta**2 + 0.002104*omega*theta - 0.029495*omega - 3.0e-6*theta**3 + 0.000117*theta**2 - 0.001631*theta + 0.007943
53256,2025-02-25 14:00:00,0.044695,0.402506,0.286364,0.065112,3.036253,2.147449,15271.2451,1561,5,1.00000omega,0.045151 + -0.00942theta + -0.00909omega + -0.00034theta^2 + 0.00287theta omega + 0.01196omega^2 + -0.00028theta^3 + 0.00022theta^2 omega + -0.00016theta omega^2 + -0.00229omega^3,-0.010716*omega**3 - 2.5e-5*omega**2*theta + 0.003996*omega**2 + 1.0e-6*omega*theta**2 + 0.000104*omega*theta + 0.001771*omega - 4.0e-6*theta**2 - 0.000143*theta - 0.001508
53257,2025-02-25 14:05:00,nan,nan,nan,nan,nan,nan,85.2043,5365,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A
53258,2025-02-25 14:10:00,0.003905,0.004293,0.004103,0.117978,5.505769,3.894061,134.2245,6913,0,1.00000omega,-0.014251 + 0.07230theta + -0.05199omega + 0.06685theta^2 + -0.03725theta omega + -0.03844omega^2 + -0.25927theta^3 + -0.01837theta^2 omega + -0.00989theta omega^2 + -0.03504omega^3,-0.205303*omega**3 - 0.001932*omega**2*theta - 0.011166*omega**2 - 0.00012*omega*theta**2 + 0.000172*omega*theta - 0.001166*omega - 5.6e-5*theta**3 + 0.000542*theta**2 - 0.001651*theta + 0.001561
53259,2025-02-25 14:15:00,0.003929,0.005407,0.004726,nan,nan,nan,128.2103,9999,0,1.00000omega,-0.502401 + -0.04770theta + 0.14009omega + -0.01497theta^2 + 0.03316theta omega + -0.01613omega^2 + -0.00505theta^3 + -0.00172theta^2 omega + -0.01482theta omega^2 + 0.01549omega^3,0.088065*omega**3 - 0.002809*omega**2*theta - 0.029803*omega**2 - 1.1e-5*omega*theta**2 + 0.000305*omega*theta + 0.007858*omega - 1.0e-6*theta**3 - 3.3e-5*theta**2 - 0.00038*theta - 0.002756
53260,2025-02-25 14:20:00,0.004039,0.007281,0.005887,0.204577,13.887724,9.821169,210.7717,7456,0,1.00000omega,-0.002371 + -0.01147theta + 0.03238omega + 0.00508theta^2 + 0.00557theta omega + -0.01332omega^2 + -0.00045theta^3 + -0.00092theta^2 omega + -0.00139theta omega^2 + 0.00691omega^3,0.059048*omega**3 - 0.000396*omega**2*theta - 0.012397*omega**2 - 9.0e-6*omega*theta**2 - 0.000134*omega*theta + 0.000845*omega - 3.0e-6*theta**2 - 8.0e-6*theta + 2.3e-5
53261,2025-02-25 14:25:00,0.004258,0.006458,0.005470,0.081141,2.719739,1.924002,101.5587,5378,0,1.00000omega,-0.049261 + -0.04424theta + -0.13593omega + 0.19739theta^2 + 0.01516theta omega + -0.23035omega^2 + -0.01753theta^3 + -0.02732theta^2 omega + 0.02039theta omega^2 + -0.11825omega^3,-0.441599*omega**3 + 0.002538*omega**2*theta - 0.07794*omega**2 - 0.000113*omega*theta**2 - 0.000119*omega*theta - 0.004492*omega - 2.0e-6*theta**3 + 6.8e-5*theta**2 + 0.000141*theta - 9.2e-5
53262,2025-02-25 14:30:00,0.003625,0.004343,0.004000,nan,nan,nan,99.3402,6412,0,1.00000omega,0.027271 + -0.18062theta + 0.19421omega + 0.01849theta^2 + -0.23654theta omega + -0.04763omega^2 + -0.08231theta^3 + -0.01195theta^2 omega + 0.13058theta omega^2 + 0.06256omega^3,0.320579*omega**3 + 0.022305*omega**2*theta + 0.154424*omega**2 - 6.8e-5*omega*theta**2 - 0.004321*omega*theta - 0.023109*omega - 1.6e-5*theta**3 - 0.000357*theta**2 - 0.002924*theta - 0.008406
53263,2025-02-25 14:35:00,0.003610,0.004857,0.004279,0.094068,3.979119,2.814448,129.8951,7863,1,1.00000omega,-0.145211 + -0.00763theta + 0.00361omega + 0.00519theta^2 + -0.03073theta omega + -0.02445omega^2 + -0.01179theta^3 + 0.00140theta^2 omega + -0.07672theta omega^2 + -0.01250omega^3,-0.083739*omega**3 - 0.017132*omega**2*theta + 0.061612*omega**2 + 1.0e-5*omega*theta**2 - 0.000573*omega*theta + 0.002378*omega - 3.0e-6*theta**3 + 4.0e-5*theta**2 - 0.000192*theta - 2.8e-5
