Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
88220,2025-06-27 09:45:00,0.006038,0.305258,0.215892,-1.3094,2804,0,1.00000omega,-0.000841 + -0.00204theta + -0.00292omega + -0.00024theta^2 + 0.00148theta omega + -0.00066omega^2
88221,2025-06-27 09:50:00,0.005017,0.028727,0.020621,-1.0855,2221,1,1.00000omega,0.000751 + 0.00026theta + -0.00117omega + 0.00002theta^2 + 0.00267theta omega + -0.00025omega^2
88222,2025-06-27 09:55:00,0.013824,0.456074,0.322641,-787.3009,854,0,1.00000omega,-0.015841 + -0.31780theta + 0.00352omega + -0.00598theta^2 + -0.03020theta omega + -0.11296omega^2
88223,2025-06-27 10:00:00,nan,nan,nan,272.3594,21,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
88224,2025-06-27 10:05:00,0.003860,0.052242,0.037041,-2.7350,1275,1,1.00000omega,0.001781 + -0.00158theta + -0.00307omega + -0.00156theta^2 + 0.00007theta omega + 0.00135omega^2
88225,2025-06-27 10:10:00,nan,nan,nan,147.5384,34,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
88226,2025-06-27 10:15:00,0.014047,0.069769,0.050324,20.8302,117,5,1.00000omega,0.000701 + -0.03092theta + -0.00153omega + 0.00164theta^2 + 0.00433theta omega + -0.00066omega^2
88227,2025-06-27 10:20:00,0.011910,0.813003,0.574942,-226949604053933735280858103808.0000,2056,2,1.00000omega,-0.002981 + 0.00056theta + 0.00070omega + 0.00004theta^2 + -0.00002theta omega + 0.00015omega^2
88228,2025-06-27 10:25:00,0.007295,0.034494,0.024930,10.5302,180,5,1.00000omega,-0.002641 + -0.00648theta + -0.00322omega + 0.00023theta^2 + 0.00109theta omega + 0.00294omega^2
88229,2025-06-27 10:30:00,0.030286,0.550081,0.389555,-28682.5664,855,0,1.00000omega,-0.002771 + -0.00274theta + -0.00381omega + 0.00001theta^2 + 0.00013theta omega + -0.00192omega^2
88230,2025-06-27 10:35:00,nan,nan,nan,124.9887,26,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
88231,2025-06-27 10:40:00,0.009269,0.189266,0.133991,-25.5433,1652,0,1.00000omega,0.000841 + 0.00169theta + 0.00341omega + -0.00064theta^2 + 0.00349theta omega + -0.00050omega^2
88232,2025-06-27 10:45:00,nan,nan,nan,952.8746,45,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
88233,2025-06-27 10:50:00,0.004885,0.122654,0.086798,0.4991,2043,0,1.00000omega,-0.005411 + -0.00013theta + -0.00072omega + -0.00009theta^2 + -0.00033theta omega + -0.00081omega^2
88234,2025-06-27 10:55:00,nan,nan,nan,95.7714,136,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
88235,2025-06-27 11:00:00,nan,nan,nan,146.5049,40,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
88236,2025-06-27 11:05:00,0.039556,0.604001,0.428008,153.6220,70,5,1.00000omega,0.001801 + -0.00066theta + 0.00415omega + 0.00004theta^2 + 0.00015theta omega + 0.00018omega^2
88237,2025-06-27 11:10:00,0.007973,0.250366,0.177125,5.7227,2329,1,1.00000omega,-0.006291 + -0.00010theta + -0.00426omega + 0.00006theta^2 + 0.00002theta omega + -0.00029omega^2
88238,2025-06-27 11:15:00,0.004952,0.020464,0.014888,-0.5043,1104,0,1.00000omega,0.005841 + 0.00047theta + -0.00045omega + -0.00048theta^2 + -0.00079theta omega + 0.00012omega^2
