Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
660,2024-08-17 07:40:00,0.023145,0.383568,0.271717,36.0731,694,0,1.00000omega,-0.000941 + 0.00043theta + -0.00633omega + -0.00008theta^2 + -0.00046theta omega + 0.00012omega^2
661,2024-08-17 07:45:00,0.007042,0.162959,0.115337,0.6929,2301,0,1.00000omega,0.001431 + 0.00008theta + 0.00132omega + -0.00004theta^2 + 0.00027theta omega + 0.00102omega^2
662,2024-08-17 07:50:00,0.003940,0.120555,0.085291,-1.2235,2062,0,1.00000omega,0.000151 + 0.00085theta + 0.00216omega + 0.00022theta^2 + -0.00018theta omega + 0.00038omega^2
663,2024-08-17 07:55:00,0.004398,0.062925,0.044604,-0.0689,1864,0,1.00000omega,0.004341 + 0.00018theta + -0.00090omega + 0.00032theta^2 + 0.00439theta omega + -0.00284omega^2
664,2024-08-17 08:00:00,0.004480,0.070424,0.049898,1.6859,1562,0,1.00000omega,0.004251 + 0.00047theta + 0.00108omega + -0.00011theta^2 + 0.00038theta omega + -0.00069omega^2
665,2024-08-17 08:05:00,nan,nan,nan,349.3490,65,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
666,2024-08-17 08:10:00,nan,nan,nan,89.7868,467,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
667,2024-08-17 08:15:00,0.003879,0.019134,0.013805,-0.6467,1787,0,1.00000omega,-0.017331 + -0.33723theta + 0.02099omega + 0.00155theta^2 + 0.00910theta omega + 0.16335omega^2
668,2024-08-17 08:20:00,0.005034,0.048309,0.034344,-2.0116,1313,0,1.00000omega,0.000201 + -0.00157theta + -0.00062omega + 0.00026theta^2 + -0.00162theta omega + 0.00365omega^2
669,2024-08-17 08:25:00,nan,nan,nan,16293.5879,16,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
670,2024-08-17 08:30:00,0.025002,0.849126,0.600683,-107550.5859,417,0,1.00000omega,0.002751 + -0.00306theta + -0.00001omega + 0.00149theta^2 + 0.00337theta omega + -0.00120omega^2
671,2024-08-17 08:35:00,nan,nan,nan,1412.7292,34,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
672,2024-08-17 08:40:00,0.009958,0.047390,0.034242,-2938.9441,900,1,1.00000omega,-0.000841 + -0.00531theta + -0.00445omega + 0.00006theta^2 + 0.00002theta omega + 0.00805omega^2
673,2024-08-17 08:45:00,0.039290,1.043012,0.738044,-17380364.0000,1131,0,1.00000omega,-0.000541 + -0.00001theta + -0.00959omega + 0.00000theta^2 + 0.00003theta omega + 0.00013omega^2
674,2024-08-17 08:50:00,0.012970,0.440513,0.311624,130.7269,2112,0,1.00000omega,0.001511 + 0.00019theta + -0.00041omega + 0.00000theta^2 + 0.00002theta omega + 0.00010omega^2
675,2024-08-17 08:55:00,0.018847,0.327536,0.231986,198.4280,1014,0,1.00000omega,0.000931 + -0.00002theta + -0.00027omega + 0.00000theta^2 + 0.00001theta omega + 0.00002omega^2
676,2024-08-17 09:00:00,0.005252,0.036705,0.026219,2.5078,2951,0,1.00000omega,-0.001361 + -0.00005theta + 0.00046omega + 0.00000theta^2 + -0.00001theta omega + 0.00002omega^2
677,2024-08-17 09:05:00,0.010187,0.415600,0.293962,-806.9833,1678,0,1.00000omega,0.000801 + -0.00342theta + 0.00243omega + -0.00060theta^2 + -0.00040theta omega + 0.00132omega^2
678,2024-08-17 09:10:00,0.005517,0.113458,0.080322,8.5364,1687,0,1.00000omega,0.001351 + 0.00018theta + 0.00042omega + 0.00001theta^2 + -0.00002theta omega + 0.00022omega^2
679,2024-08-17 09:15:00,0.050824,0.949548,0.672393,529.4044,330,0,1.00000omega,0.000861 + -0.00008theta + -0.00204omega + -0.00005theta^2 + -0.00007theta omega + -0.00070omega^2
680,2024-08-17 09:20:00,0.008262,0.587458,0.415437,-2775.5415,2307,0,1.00000omega,-0.000141 + 0.00020theta + -0.00152omega + -0.00002theta^2 + -0.00056theta omega + -0.00203omega^2
681,2024-08-17 09:25:00,0.004105,0.025014,0.017924,-1.3376,2555,0,1.00000omega,0.011911 + -1.01743theta + -0.45448omega + -0.01445theta^2 + -0.00230theta omega + -0.06312omega^2
682,2024-08-17 09:30:00,nan,nan,nan,46.4136,222,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
683,2024-08-17 09:35:00,0.004719,0.163206,0.115452,-0.5490,1828,0,1.00000omega,-0.005011 + 0.00107theta + -0.00467omega + 0.00011theta^2 + -0.00012theta omega + -0.00067omega^2
684,2024-08-17 09:40:00,0.007825,0.328702,0.232493,-256.5491,1219,0,1.00000omega,-0.002901 + -0.00044theta + -0.00121omega + 0.00009theta^2 + 0.00103theta omega + -0.00500omega^2
685,2024-08-17 09:45:00,0.004326,0.118915,0.084141,-5.2797,674,0,1.00000omega,0.013021 + -0.57891theta + -0.04643omega + 0.00679theta^2 + 0.01121theta omega + 0.00163omega^2
686,2024-08-17 09:50:00,0.003556,0.022738,0.016274,-0.8890,1292,0,1.00000omega,-0.000901 + -0.00125theta + -0.00503omega + 0.00099theta^2 + -0.00172theta omega + -0.00085omega^2
687,2024-08-17 09:55:00,nan,nan,nan,207.6909,43,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
688,2024-08-17 10:00:00,0.006428,0.126060,0.089254,-1.7404,2449,1,1.00000omega,0.002431 + -0.00032theta + -0.01459omega + -0.00006theta^2 + -0.00027theta omega + 0.00002omega^2
689,2024-08-17 10:05:00,0.005623,0.238853,0.168941,-5277.3174,1754,0,1.00000omega,0.000031 + 0.00086theta + -0.01147omega + -0.00084theta^2 + -0.00150theta omega + 0.00104omega^2
