Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
31680,2024-12-09 17:15:00,nan,nan,nan,1484.4336,18,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
31681,2024-12-09 17:20:00,0.029005,0.491139,0.347893,-35306236.0000,493,0,1.00000omega,0.002031 + -0.00032theta + -0.00291omega + 0.00001theta^2 + -0.00002theta omega + 0.00136omega^2
31682,2024-12-09 17:25:00,0.004128,0.042465,0.030169,-0.8735,1179,0,1.00000omega,-0.002141 + -0.00155theta + -0.00237omega + 0.01003theta^2 + 0.00084theta omega + 0.00072omega^2
31683,2024-12-09 17:30:00,0.006598,0.049650,0.035416,-1.5064,2208,0,1.00000omega,0.001151 + -0.00151theta + -0.00087omega + -0.00015theta^2 + 0.00127theta omega + 0.00514omega^2
31684,2024-12-09 17:35:00,0.024889,0.240031,0.170637,96.8081,58,5,1.00000omega,-0.000591 + -0.00127theta + -0.02771omega + -0.00099theta^2 + -0.00023theta omega + -0.00244omega^2
31685,2024-12-09 17:40:00,0.016336,0.166098,0.118016,34.3305,54,5,1.00000omega,-0.003371 + -0.01805theta + 0.01138omega + -0.00134theta^2 + 0.00595theta omega + 0.00347omega^2
31686,2024-12-09 17:45:00,nan,nan,nan,114.3708,35,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
31687,2024-12-09 17:50:00,nan,nan,nan,386.8228,30,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
31688,2024-12-09 17:55:00,0.004560,0.053843,0.038209,-1.9872,1268,0,1.00000omega,0.003991 + -0.93161theta + 0.00182omega + -0.02791theta^2 + 0.04278theta omega + -0.05052omega^2
31689,2024-12-09 18:00:00,0.004441,0.042525,0.030233,-0.3972,1108,0,1.00000omega,0.004721 + -0.00027theta + -0.02894omega + 0.00063theta^2 + -0.00485theta omega + 0.00014omega^2
31690,2024-12-09 18:05:00,nan,nan,nan,1091.0078,25,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
31691,2024-12-09 18:10:00,0.004304,0.062942,0.044611,-2.5005,2303,0,1.00000omega,-0.005441 + -0.00564theta + 0.00552omega + -0.00226theta^2 + 0.00617theta omega + -0.00886omega^2
31692,2024-12-09 18:15:00,0.172555,9.878091,6.985931,-9395873393934336.0000,1931,1,1.00000omega,-0.005431 + -0.00051theta + -0.00080omega + -0.00001theta^2 + 0.00032theta omega + -0.00017omega^2
31693,2024-12-09 18:20:00,0.044311,0.688790,0.488055,-743.3372,470,0,1.00000omega,0.000291 + 0.00022theta + 0.00084omega + 0.00019theta^2 + -0.00014theta omega + -0.00026omega^2
31694,2024-12-09 18:25:00,nan,nan,nan,56.9287,35,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
31695,2024-12-09 18:30:00,0.004107,0.092468,0.065449,-1.8475,1014,0,1.00000omega,0.000811 + -0.00198theta + 0.00140omega + -0.00072theta^2 + -0.00047theta omega + 0.00041omega^2
31696,2024-12-09 18:35:00,0.004651,0.096778,0.068511,-2.1902,834,0,1.00000omega,-0.002041 + -0.00476theta + -0.00057omega + 0.00383theta^2 + 0.00068theta omega + 0.00144omega^2
31697,2024-12-09 18:40:00,0.035766,1.473157,1.041987,462.1201,41,5,1.00000omega,0.000371 + -0.00256theta + 0.00191omega + 0.00024theta^2 + -0.00019theta omega + -0.00006omega^2
31698,2024-12-09 18:45:00,0.005147,0.158329,0.112015,1.0367,2340,0,1.00000omega,-0.001631 + -0.00145theta + -0.00415omega + -0.00002theta^2 + 0.00022theta omega + 0.00067omega^2
31699,2024-12-09 18:50:00,0.014724,0.665401,0.470625,-243541168.0000,1012,0,1.00000omega,0.000581 + -0.00282theta + -0.00189omega + 0.00156theta^2 + 0.00075theta omega + 0.00166omega^2
31700,2024-12-09 18:55:00,0.031656,0.541092,0.383264,497.2497,65,5,1.00000omega,0.011611 + -0.00234theta + -0.00289omega + 0.00004theta^2 + 0.00024theta omega + 0.00055omega^2
31701,2024-12-09 19:00:00,0.003957,0.059425,0.042113,-1.2111,1263,0,1.00000omega,0.026121 + -0.46489theta + -0.00087omega + 0.00250theta^2 + -0.01823theta omega + 0.00089omega^2
31702,2024-12-09 19:05:00,0.004100,0.060910,0.043168,0.6401,1093,0,1.00000omega,0.001571 + -0.00011theta + 0.00066omega + 0.00029theta^2 + 0.00072theta omega + 0.00117omega^2
31703,2024-12-09 19:10:00,0.005503,0.120752,0.085473,-1.3126,1407,0,1.00000omega,-0.000011 + -0.00015theta + -0.00048omega + -0.00068theta^2 + -0.00217theta omega + 0.00721omega^2
31704,2024-12-09 19:20:00,0.004082,0.098636,0.069806,0.6333,1588,0,1.00000omega,-0.002101 + -0.00796theta + -0.00443omega + 0.00173theta^2 + 0.00032theta omega + -0.00187omega^2
31705,2024-12-09 19:25:00,0.017717,0.133303,0.095088,-5367.4121,923,0,1.00000omega,0.002381 + 0.00081theta + 0.00125omega + -0.00057theta^2 + -0.00091theta omega + -0.00773omega^2
31706,2024-12-09 19:30:00,0.005813,0.216214,0.152942,2.5678,1540,0,1.00000omega,-0.003121 + 0.00110theta + 0.00237omega + -0.00004theta^2 + 0.00065theta omega + -0.00026omega^2
31707,2024-12-09 19:35:00,0.006220,0.143450,0.101530,-5.4800,1946,0,1.00000omega,0.015851 + -0.68324theta + -0.02264omega + 0.47707theta^2 + 0.31625theta omega + -0.20528omega^2
31708,2024-12-09 19:40:00,0.015419,1.373662,0.971387,-10008803.0000,2616,0,1.00000omega,-0.016681 + -0.08504theta + -0.00530omega + -0.00061theta^2 + -0.00023theta omega + -0.00042omega^2
