Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
44440,2025-01-25 22:15:00,nan,nan,nan,187.9756,39,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
44441,2025-01-25 22:20:00,nan,nan,nan,80.5631,42,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
44442,2025-01-25 22:25:00,0.009719,0.087710,0.062400,-95799.7188,719,0,1.00000omega,0.000231 + -0.00144theta + 0.00074omega + 0.00108theta^2 + -0.00061theta omega + -0.00033omega^2
44443,2025-01-25 22:30:00,0.005634,0.122182,0.086488,-0.3105,687,0,1.00000omega,0.001901 + -0.00216theta + -0.00073omega + -0.00131theta^2 + -0.00014theta omega + 0.00288omega^2
44444,2025-01-25 22:35:00,0.006699,0.113502,0.080398,-63.7620,1078,0,1.00000omega,-0.003821 + -0.25732theta + -0.00544omega + -0.01173theta^2 + 0.00473theta omega + -0.01054omega^2
44445,2025-01-25 22:40:00,0.032918,0.302834,0.215398,71.0372,27,5,1.00000omega,-0.000481 + -0.01552theta + -0.00037omega + -0.00206theta^2 + 0.00320theta omega + -0.00130omega^2
44446,2025-01-25 22:45:00,0.005441,0.074680,0.052947,-2.8236,1814,0,1.00000omega,-0.014221 + -0.77844theta + -0.00119omega + 0.00355theta^2 + 0.03327theta omega + -0.06278omega^2
44447,2025-01-25 22:50:00,0.776599,25.430902,17.990746,-1542781796352.0000,1560,0,1.00000omega,0.000581 + -0.00030theta + 0.00003omega + 0.00002theta^2 + 0.00003theta omega + 0.00002omega^2
44448,2025-01-25 22:55:00,0.019682,0.860618,0.608708,-5519.8496,2263,0,1.00000omega,-0.001051 + -0.08443theta + -0.00998omega + -0.00209theta^2 + 0.00252theta omega + 0.00191omega^2
44449,2025-01-25 23:00:00,0.008234,0.399291,0.282401,5.1607,1632,0,1.00000omega,-0.001721 + -0.00028theta + -0.00058omega + -0.00021theta^2 + 0.00002theta omega + -0.00015omega^2
44450,2025-01-25 23:05:00,0.037993,0.631545,0.447377,507.4132,40,5,1.00000omega,0.000901 + -0.00016theta + -0.00070omega + 0.00010theta^2 + 0.00081theta omega + -0.00048omega^2
44451,2025-01-25 23:10:00,nan,nan,nan,82.3359,41,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
44452,2025-01-25 23:15:00,0.049687,1.269611,0.898438,-279398276136960.0000,2767,0,1.00000omega,-0.007911 + -0.00040theta + -0.00118omega + -0.00002theta^2 + -0.00000theta omega + -0.00000omega^2
44453,2025-01-25 23:20:00,0.019818,0.353177,0.250127,-171.4844,596,0,1.00000omega,-0.000461 + 0.00029theta + -0.00215omega + 0.00048theta^2 + -0.00104theta omega + -0.00325omega^2
44454,2025-01-25 23:25:00,0.007176,0.321749,0.227568,5.5683,1573,0,1.00000omega,0.000361 + -0.00010theta + -0.00921omega + 0.00001theta^2 + -0.00005theta omega + 0.00004omega^2
44455,2025-01-25 23:30:00,0.024791,0.425733,0.301549,29.4896,77,5,1.00000omega,-0.047581 + -0.01841theta + 0.00801omega + -0.00193theta^2 + -0.00089theta omega + -0.00187omega^2
44456,2025-01-25 23:35:00,0.107992,2.490548,1.762738,-1113329152.0000,1635,0,1.00000omega,-0.004551 + -0.00402theta + -0.00080omega + 0.00337theta^2 + -0.00091theta omega + 0.00068omega^2
44457,2025-01-25 23:40:00,0.006114,0.216604,0.153223,5.9178,1976,0,1.00000omega,0.000941 + 0.00003theta + 0.00221omega + -0.00002theta^2 + -0.00004theta omega + -0.00015omega^2
44458,2025-01-25 23:45:00,0.006114,0.203620,0.144046,-1.4027,1321,0,1.00000omega,0.004371 + -0.00417theta + 0.00647omega + -0.00369theta^2 + 0.00031theta omega + 0.01182omega^2
44459,2025-01-25 23:50:00,0.006891,0.059798,0.042563,-1.2381,1840,0,1.00000omega,-0.000991 + -0.00057theta + -0.00297omega + -0.00011theta^2 + -0.00007theta omega + -0.00233omega^2
44460,2025-01-25 23:55:00,0.006518,0.034111,0.024556,-1.1616,1776,0,1.00000omega,0.030441 + -1.04731theta + -0.16533omega + 0.00780theta^2 + 0.06558theta omega + -0.41924omega^2
44461,2025-01-26 00:00:00,0.031969,0.863220,0.610807,-67272.7812,1227,0,1.00000omega,-0.002051 + 0.00012theta + 0.00694omega + -0.00000theta^2 + 0.00000theta omega + 0.00089omega^2
44462,2025-01-26 00:05:00,0.031936,0.311033,0.221089,-440.0842,887,1,1.00000omega,0.691011 + -0.43604theta + -0.10276omega + -0.11461theta^2 + 0.04077theta omega + -0.15498omega^2
44463,2025-01-26 00:10:00,0.006364,0.127027,0.089935,-3.3993,1577,0,1.00000omega,0.001371 + -0.47587theta + -0.00101omega + 0.00064theta^2 + -0.00291theta omega + 0.01013omega^2
44464,2025-01-26 00:15:00,nan,nan,nan,2572.3923,17,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
44465,2025-01-26 00:20:00,0.006651,0.146407,0.103632,-0.5825,1492,0,1.00000omega,-0.003531 + -0.00023theta + 0.00021omega + 0.00006theta^2 + 0.00015theta omega + 0.00069omega^2
44466,2025-01-26 00:25:00,0.008093,0.377113,0.266721,7.8893,1530,0,1.00000omega,-0.000231 + -0.00018theta + 0.00126omega + -0.00004theta^2 + -0.00012theta omega + 0.00012omega^2
44467,2025-01-26 00:30:00,0.045172,1.208640,0.855235,-7050995.0000,735,0,1.00000omega,-0.000181 + -0.00006theta + 0.00004omega + 0.00004theta^2 + -0.00005theta omega + -0.00002omega^2
44468,2025-01-26 00:35:00,0.027766,0.561342,0.397414,215.6604,798,0,1.00000omega,-0.001061 + 0.00011theta + 0.00042omega + 0.00001theta^2 + 0.00001theta omega + -0.00043omega^2
44469,2025-01-26 00:40:00,0.012703,0.406539,0.287607,-0.9267,1202,0,1.00000omega,-0.015151 + -0.14954theta + 0.00482omega + -0.00516theta^2 + 0.00166theta omega + 0.00151omega^2
44470,2025-01-26 00:45:00,nan,nan,nan,1108.9738,16,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
44471,2025-01-26 00:50:00,0.006467,0.216990,0.153503,4.9844,2711,0,1.00000omega,-0.006161 + -0.07251theta + 0.02222omega + 0.00011theta^2 + 0.00038theta omega + 0.00060omega^2
