Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
63800,2025-04-03 10:20:00,0.033969,0.543133,0.384803,-41.3699,567,0,1.00000omega,-0.000871 + 0.00041theta + -0.00491omega + 0.00009theta^2 + 0.00003theta omega + -0.00120omega^2
63801,2025-04-03 10:25:00,0.015922,0.122433,0.087302,19.7624,650,0,1.00000omega,-0.001821 + 0.00016theta + -0.00269omega + 0.00011theta^2 + -0.00003theta omega + -0.00101omega^2
63802,2025-04-03 10:30:00,0.007381,0.264136,0.186845,6.5221,1794,0,1.00000omega,0.003151 + -0.00544theta + 0.00660omega + -0.00040theta^2 + 0.00027theta omega + 0.00172omega^2
63803,2025-04-03 10:35:00,0.006818,0.360097,0.254673,0.7379,2209,0,1.00000omega,0.002151 + 0.00015theta + -0.00110omega + -0.00007theta^2 + 0.00028theta omega + -0.00081omega^2
63804,2025-04-03 10:40:00,0.017514,0.279456,0.197993,13.6525,103,5,1.00000omega,0.001091 + 0.00018theta + -0.00263omega + 0.00002theta^2 + -0.00091theta omega + 0.00136omega^2
63805,2025-04-03 10:45:00,0.021450,0.281496,0.199625,-342817.2812,552,0,1.00000omega,-0.002801 + -0.00216theta + 0.00280omega + -0.00027theta^2 + 0.00010theta omega + 0.00006omega^2
63806,2025-04-03 10:50:00,0.004504,0.085515,0.060552,-1.3791,1708,0,1.00000omega,0.002001 + -0.00016theta + 0.00052omega + 0.00026theta^2 + 0.00019theta omega + -0.00198omega^2
63807,2025-04-03 10:55:00,0.004492,0.205135,0.145087,-4.4636,1900,0,1.00000omega,0.002971 + 0.00253theta + 0.00047omega + -0.00015theta^2 + -0.00265theta omega + 0.00101omega^2
63808,2025-04-03 11:00:00,0.004798,0.110235,0.078022,-2.6321,1289,0,1.00000omega,0.010501 + -0.38572theta + 0.00132omega + -0.19980theta^2 + 0.01503theta omega + 0.02544omega^2
63809,2025-04-03 11:05:00,0.004781,0.057831,0.041032,-2.6607,1199,0,1.00000omega,0.018471 + -1.58329theta + -0.01773omega + -0.63316theta^2 + 0.00947theta omega + -0.02834omega^2
63810,2025-04-03 11:10:00,0.033926,0.712637,0.504481,-1033959232.0000,828,0,1.00000omega,-0.000521 + -0.02940theta + 0.00558omega + -0.00027theta^2 + -0.00273theta omega + -0.00448omega^2
63811,2025-04-03 11:15:00,0.043726,0.895133,0.633709,306.3893,39,5,1.00000omega,0.006251 + -0.00075theta + -0.00508omega + 0.00020theta^2 + 0.00017theta omega + 0.00268omega^2
63812,2025-04-03 11:20:00,0.004139,0.043215,0.030698,-1.3563,1556,0,1.00000omega,-0.001491 + 0.00033theta + 0.00049omega + -0.00002theta^2 + -0.00090theta omega + -0.00070omega^2
63813,2025-04-03 11:25:00,0.017673,0.925281,0.654392,-87000711430144.0000,1895,0,1.00000omega,0.013581 + -0.42409theta + -0.00455omega + 0.00027theta^2 + -0.00078theta omega + -0.00108omega^2
63814,2025-04-03 11:30:00,0.003701,0.047336,0.033574,-1.9741,1681,1,1.00000omega,0.000501 + 0.00008theta + 0.00579omega + -0.00059theta^2 + 0.00280theta omega + 0.00245omega^2
63815,2025-04-03 11:35:00,0.420817,17.083241,12.083340,-36384949665792.0000,1967,0,1.00000omega,0.009161 + -0.00306theta + -0.00003omega + -0.00003theta^2 + -0.00001theta omega + 0.00002omega^2
63816,2025-04-03 11:40:00,0.005546,0.053385,0.037952,-0.1335,1689,0,1.00000omega,0.007741 + -0.00457theta + -0.00342omega + 0.00379theta^2 + -0.00033theta omega + -0.00566omega^2
63817,2025-04-03 11:45:00,0.004462,0.083820,0.059354,-49.6110,1709,0,1.00000omega,0.023851 + -1.62506theta + -0.01290omega + 0.01461theta^2 + 0.00708theta omega + -0.00005omega^2
63818,2025-04-03 11:50:00,0.004966,0.049254,0.035004,-2.2183,1886,0,1.00000omega,-0.027321 + -2.09822theta + 0.00868omega + 0.01418theta^2 + 0.03173theta omega + -0.00214omega^2
63819,2025-04-03 11:55:00,0.004022,0.038098,0.027089,-1.5333,1397,0,1.00000omega,-0.001201 + -0.58543theta + 0.00723omega + 0.00713theta^2 + 0.00220theta omega + -0.00876omega^2
63820,2025-04-03 12:00:00,0.004541,0.029604,0.021178,-1.6341,1584,0,1.00000omega,0.003811 + 0.00265theta + -0.00112omega + 0.00295theta^2 + -0.00290theta omega + -0.00032omega^2
63821,2025-04-03 12:05:00,0.004450,0.070770,0.050141,-2.4126,1131,0,1.00000omega,0.001191 + -0.00006theta + 0.00040omega + -0.00051theta^2 + 0.00079theta omega + -0.00006omega^2
63822,2025-04-03 12:10:00,0.163312,3.415826,2.418113,-434601472.0000,1580,0,1.00000omega,-0.014881 + -0.00260theta + 0.00135omega + -0.00043theta^2 + 0.00046theta omega + 0.00051omega^2
63823,2025-04-03 12:15:00,0.005095,0.071999,0.051038,-2.6705,1730,0,1.00000omega,0.020531 + -0.43323theta + -0.04788omega + 0.15113theta^2 + -0.06097theta omega + -0.01953omega^2
63824,2025-04-03 12:20:00,0.005543,0.088079,0.062405,-2595.4807,1454,0,1.00000omega,0.001791 + -3.78063theta + -0.05000omega + -0.80545theta^2 + 0.07246theta omega + 0.01323omega^2
63825,2025-04-03 12:25:00,0.005666,0.122160,0.086473,-0.8779,2881,0,1.00000omega,-0.051221 + -0.00016theta + -0.00137omega + 0.00023theta^2 + 0.00066theta omega + -0.00031omega^2
63826,2025-04-03 12:30:00,0.004200,0.083194,0.058902,-2.7670,922,0,1.00000omega,0.023541 + -3.28119theta + 0.03125omega + 0.03217theta^2 + -0.02825theta omega + -0.00382omega^2
63827,2025-04-03 12:35:00,0.055285,1.050366,0.743749,249.0232,45,5,1.00000omega,0.001011 + -0.00034theta + -0.00041omega + -0.00014theta^2 + 0.00081theta omega + -0.00046omega^2
63828,2025-04-03 12:40:00,nan,nan,nan,17.4206,135,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
63829,2025-04-03 12:45:00,0.059216,1.316551,0.931883,426.5756,57,5,1.00000omega,0.005361 + 0.00072theta + -0.00239omega + 0.00308theta^2 + -0.00034theta omega + -0.00130omega^2
63830,2025-04-03 12:50:00,nan,nan,nan,49.6613,41,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
63831,2025-04-03 12:55:00,0.047794,1.100146,0.778655,146.7185,30,5,1.00000omega,0.008131 + -0.00391theta + -0.00129omega + -0.00007theta^2 + -0.00061theta omega + 0.00201omega^2
63832,2025-04-03 13:00:00,0.004684,0.203138,0.143678,-1.6301,1574,0,1.00000omega,-0.000441 + -0.00073theta + 0.00093omega + -0.00014theta^2 + 0.00017theta omega + -0.00263omega^2
63833,2025-04-03 13:05:00,nan,nan,nan,465.3610,54,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
63834,2025-04-03 13:10:00,nan,nan,nan,146.8501,47,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
63835,2025-04-03 13:15:00,0.053577,0.929563,0.658391,414.6115,41,5,1.00000omega,0.000741 + 0.00017theta + -0.00080omega + 0.00000theta^2 + -0.00086theta omega + -0.00285omega^2
63836,2025-04-03 13:20:00,nan,nan,nan,71.0169,41,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
63837,2025-04-03 13:25:00,0.007195,0.185706,0.131412,4.1303,3293,0,1.00000omega,0.000221 + -0.00022theta + -0.00314omega + 0.00000theta^2 + 0.00001theta omega + 0.00016omega^2
