Feature,Label,Count,Percentage
const,1,1022,1.2548037373997816
theta,θ,212,0.26029196901052215
omega,ω,2050,2.516974228639483
theta^2,θ²,11,0.013505715373187472
theta_omega,θω,525,0.6445909609930385
omega^2,ω²,4453,5.467359141527619
