Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
73700,2025-05-07 22:20:00,0.004622,0.080185,0.056793,-1.3080,1641,0,1.00000omega,0.013661 + -0.00966theta + 0.00699omega + -0.01029theta^2 + 0.00330theta omega + -0.00086omega^2
73701,2025-05-07 22:25:00,nan,nan,nan,318.8236,38,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73702,2025-05-07 22:30:00,0.014862,1.009439,0.713859,-383961231702905239633920.0000,2120,0,1.00000omega,0.003931 + -0.00010theta + 0.00620omega + 0.00006theta^2 + -0.01024theta omega + 0.00060omega^2
73703,2025-05-07 22:35:00,0.033638,0.181961,0.130846,37.7173,70,5,1.00000omega,-0.001921 + -0.09762theta + 0.00448omega + -0.01633theta^2 + -0.12908theta omega + -0.00168omega^2
73704,2025-05-07 22:40:00,nan,nan,nan,-1114702411705876480.0000,516,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73705,2025-05-07 22:45:00,0.007200,0.486363,0.343948,-3983.0259,1837,0,1.00000omega,-0.000081 + -0.00001theta + 0.00258omega + 0.00003theta^2 + 0.00002theta omega + -0.00005omega^2
73706,2025-05-07 22:50:00,0.007024,0.339851,0.240362,-1.1388,1278,0,1.00000omega,0.000241 + -0.00019theta + -0.00139omega + 0.00021theta^2 + -0.00081theta omega + -0.00058omega^2
73707,2025-05-07 22:55:00,0.055418,0.843801,0.597943,370.5984,76,5,1.00000omega,-0.000631 + 0.00002theta + -0.00687omega + -0.00003theta^2 + -0.00012theta omega + 0.00019omega^2
73708,2025-05-07 23:00:00,0.004597,0.139655,0.098805,-3.3963,1437,0,1.00000omega,-0.025891 + -3.38949theta + -0.00109omega + 0.01226theta^2 + -0.26965theta omega + -0.00654omega^2
73709,2025-05-07 23:05:00,0.005834,0.178974,0.126621,-0.9564,1583,0,1.00000omega,0.005431 + 0.00075theta + 0.00420omega + -0.00035theta^2 + 0.00073theta omega + -0.00064omega^2
73710,2025-05-07 23:10:00,nan,nan,nan,1694.4066,27,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73711,2025-05-07 23:15:00,nan,nan,nan,44.2214,38,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73712,2025-05-07 23:20:00,nan,nan,nan,29.3496,63,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73713,2025-05-07 23:25:00,0.007163,0.280801,0.198621,1.6843,1865,0,1.00000omega,-0.001641 + -0.00010theta + 0.00035omega + -0.00003theta^2 + -0.00014theta omega + 0.00109omega^2
73714,2025-05-07 23:30:00,nan,nan,nan,132.9519,28,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73715,2025-05-07 23:35:00,nan,nan,nan,46.5645,41,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73716,2025-05-07 23:40:00,0.012300,0.557083,0.394013,-868635566520773932666119520256.0000,2770,0,1.00000omega,0.000241 + 0.00072theta + -0.00277omega + 0.00024theta^2 + 0.00032theta omega + -0.00024omega^2
73717,2025-05-07 23:45:00,nan,nan,nan,27.3904,42,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73718,2025-05-07 23:50:00,0.008233,1.165144,0.823902,-386109206035184246484631552.0000,2941,5,1.00000omega,-0.000971 + -0.00004theta + -0.00385omega + 0.00001theta^2 + 0.00008theta omega + 0.00012omega^2
73719,2025-05-07 23:55:00,0.017386,1.317340,0.931581,-146924488487413313699840.0000,1750,0,1.00000omega,-0.004531 + 0.00060theta + 0.00003omega + 0.00125theta^2 + -0.00109theta omega + -0.00089omega^2
73720,2025-05-08 00:00:00,0.036560,1.206942,0.853828,345.0135,80,5,1.00000omega,0.001161 + 0.00088theta + 0.00013omega + -0.00002theta^2 + -0.00031theta omega + 0.00023omega^2
73721,2025-05-08 00:05:00,0.005058,0.127725,0.090386,-2.0376,1441,0,1.00000omega,0.000961 + 0.00200theta + -0.00137omega + -0.00052theta^2 + 0.00070theta omega + -0.00284omega^2
