Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
7866,2024-09-11 10:50:00,0.023071,0.232029,0.164878,99.1137,466,0,1.00000omega,0.000321 + -0.00100theta + 0.00030omega + -0.00003theta^2 + -0.00004theta omega + -0.00009omega^2
7867,2024-09-11 10:55:00,,,,167.3164,73,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7868,2024-09-11 11:00:00,,,,778.1826,50,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7869,2024-09-11 11:05:00,0.004409,0.087205,0.061742,-110.4995,2428,0,1.00000omega,-0.001191 + 0.00160theta + -0.00178omega + -0.00005theta^2 + -0.00068theta omega + 0.00090omega^2
7870,2024-09-11 11:10:00,0.00509,0.346108,0.244761,-10895488000.0,2907,0,1.00000omega,0.002171 + -0.00026theta + 0.00075omega + 0.00003theta^2 + 0.00001theta omega + 0.00003omega^2
7871,2024-09-11 11:15:00,0.004545,0.115463,0.081708,-0.5125,1723,0,1.00000omega,-0.000921 + -0.00125theta + 0.00225omega + -0.00167theta^2 + -0.00035theta omega + -0.00249omega^2
7872,2024-09-11 11:20:00,0.08756,3.538664,2.502979,2200.4937,20,5,1.00000omega,0.000411 + -0.00035theta + 0.00200omega + 0.00007theta^2 + -0.00015theta omega + -0.00006omega^2
7873,2024-09-11 11:25:00,0.034641,0.548572,0.388672,309.4188,389,0,1.00000omega,0.001181 + 0.00002theta + -0.00260omega + 0.00003theta^2 + 0.00006theta omega + 0.00100omega^2
7874,2024-09-11 11:30:00,,,,8853.248,5,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7875,2024-09-11 11:35:00,0.022683,0.299854,0.212635,176.8972,272,5,1.00000omega,0.000281 + 0.00025theta + 0.00236omega + -0.00010theta^2 + -0.00011theta omega + 0.00020omega^2
7876,2024-09-11 11:40:00,0.005238,0.172134,0.121773,9.1133,5253,0,1.00000omega,-0.007731 + 0.00002theta + 0.00013omega + 0.00004theta^2 + 0.00002theta omega + -0.00026omega^2
7877,2024-09-11 11:45:00,,,,437.2189,74,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7878,2024-09-11 11:50:00,0.00608,0.364226,0.257582,-8.7988,2731,0,1.00000omega,0.003951 + -0.00027theta + -0.00056omega + 0.00006theta^2 + 0.00004theta omega + 0.00026omega^2
7879,2024-09-11 11:55:00,,,,825.7733,55,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7880,2024-09-11 12:00:00,0.005082,0.064767,0.045938,7.0099,4038,0,1.00000omega,-0.002531 + -0.00002theta + -0.00207omega + -0.00001theta^2 + -0.00001theta omega + 0.00050omega^2
