chunk_id,t_start,n_points,equation,loss,complexity,sim_ok,rmse_omega,rmse_omega_std,rmse_theta,rmse_theta_std,const,omega_coef,theta_coef,omega_theta_coef,omega2_coef,theta2_coef,omega3_coef,theta2_omega_coef,theta_omega2_coef,theta3_coef
2073,2073,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
717,717,300,(x0 - x0) * (x0 * -0.5458500973749618),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2070,2070,300,(x0 - (-0.24878890614225238 + -0.3715824469330644)) * (x1 - x1),0.0,9,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2087,2087,300,((x1 - x1) * -1.137090504510692) * -0.22198651453978208,0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2083,2083,300,x1 - (x1 + (x1 - x1)),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2141,2141,300,(x1 - x1) * (0.8676582086034508 + x0),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2434,2434,300,0.0,0.0,1,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2437,2437,300,x0 - ((x0 - x1) - x1),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,,2.0,,,,,,,,
3015,3015,300,(x0 - x0) + (x1 - x1),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3014,3014,300,x0 - x0,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
933,933,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3010,3010,300,((x0 - x0) * (0.3686703748408384 + -1.444818699509007)) * x0,0.0,9,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3008,3008,300,x0 - x0,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2444,2444,300,(x1 - x1) * ((0.5791375376608474 * (-0.13404992711148508 + 0.5900669002745664)) - 0.3353866851676784),0.0,11,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2446,2446,300,(-0.5220959989435087 * x0) * (x1 - x1),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
425,425,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
423,423,300,x0 - x0,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
420,420,300,(x0 - x0) * (x0 - 0.3032828776045281),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
418,418,300,x0 - (x0 - x1),0.0,5,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,,1.0,,,,,,,,
417,417,300,(x1 - x1) * ((0.8864519659859631 + x0) * 0.3484058158473908),0.0,9,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
416,416,300,((-0.16205766439965438 - (0.043370326282521986 - x0)) * (x1 - x1)) * 0.3632576855416562,0.0,11,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3095,3095,300,x0 * (x0 - x0),0.0,5,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3092,3092,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2011,2011,300,(x1 - x1) * (0.9265819504754665 + x1),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2010,2010,300,(x0 * x0) * (x0 - x0),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2007,2007,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
357,357,300,(x0 - x0) * (x0 + (x0 * -0.4767303219836918)),0.0,9,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
347,347,300,(x1 - x1) * (3.059290817743926 + ((x1 - x1) * 3.059290817743926)),0.0,11,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
349,349,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
350,350,300,-1.290244581142181 * ((x0 - x0) * x0),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3293,3293,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
1289,1289,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
50,50,300,(x0 - x0) * -0.6011388456630119,0.0,5,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
1290,1290,300,(x0 + (x1 - x0)) * (x1 * 0.2835989496936938),0.0,9,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,,,,,0.2835989496936938,,,,,
1356,1356,300,(x1 - x1) * x1,0.0,5,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
345,345,300,((0.6250816933783185 - -0.9793094650175883) - x1) * (x1 - x1),0.0,9,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3232,3232,300,(x1 * x0) * (x0 - x0),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3236,3236,300,x0 - x0,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3238,3238,300,x0 - x0,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
988,988,300,(x1 - x0) + (x0 - x1),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
991,991,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
1857,1857,300,(x0 - x0) * (x1 + -0.4382992792812143),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2584,2584,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2583,2583,300,(x0 - (x0 + x1)) * (x1 * (0.3958083069775711 + 0.04632569426226866)),0.0,11,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,,,,,-0.44213400123983976,,,,,
1285,1285,300,(x0 + x0) * (x1 - x1),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
343,343,300,x0 - x0,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
342,342,300,x0 - x0,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
