Complexity,Loss,Equation
1,1.70199462328178e-7,"0.00017009033059349"
3,1.6452115124942578e-7,"x1 * -0.0012518496122173618"
5,1.437324457535142e-7,"(x0 * 1.3268342303261632e-5) - -0.0004893639819405492"
7,7.240458191248115e-8,"x0 * ((x0 * -1.6337660965799482e-6) + -5.73407048572133e-5)"
9,6.446675719112468e-8,"((x0 * -0.001036616547369357) + -0.03500793252189797) * (-0.1926708657003469 - x1)"
11,5.0115988554276364e-8,"((-0.1703019243530069 - x1) * ((x0 * -0.0013948636124605758) + -0.034745092198859746)) - -0.0005675410552942766"
