Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2,Coeff_Theta3,Coeff_Theta2Omega,Coeff_ThetaOmega2,Coeff_Omega3
79500,2025-05-28 02:05:00,0.069564,5.835595,4.126682,1.003 omega + -0.012 omega^2,0.000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
79501,2025-05-28 02:10:00,0.063385,7.627121,5.393375,0.001 1 + 0.969 omega + 0.107 omega^2 + -0.002 theta omega^2,0.000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
79502,2025-05-28 02:15:00,0.043970,5.781951,4.088575,1.005 omega + -0.003 omega^2,0.000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
79503,2025-05-28 02:20:00,0.043717,1.962382,1.387958,0.008 1 + 0.874 omega + 0.647 omega^2 + -1.042 omega^3,0.000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
79504,2025-05-28 02:25:00,0.032015,1.879391,1.329123,-0.002 1 + 1.016 omega + -0.015 omega^2,0.000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
79505,2025-05-28 02:30:00,0.095053,7.960850,5.629572,1.008 omega + -0.145 omega^2 + -0.032 theta omega^2 + -0.528 omega^3,0.015 omega + -0.098 omega^2 + -0.060 theta omega^2,0.0000000000e+00,0.0000000000e+00,1.4650335827e-02,0.0000000000e+00,0.0000000000e+00,-9.8066701022e-02,0.0000000000e+00,0.0000000000e+00,-6.0350421765e-02,0.0000000000e+00
79506,2025-05-28 02:35:00,0.063415,4.910283,3.472384,1.004 omega + -0.018 omega^2,0.000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
79507,2025-05-28 02:40:00,0.063780,3.389012,2.396818,0.004 1 + 0.926 omega + 0.467 omega^2 + -0.899 omega^3,0.000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
79508,2025-05-28 02:45:00,0.083821,5.202755,3.679381,0.003 1 + 0.943 omega + 0.248 omega^2 + -0.326 omega^3,0.000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
79509,2025-05-28 02:50:00,0.120785,13.804921,9.761927,1.011 omega + -0.033 omega^2,0.000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
