Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2,Coeff_Theta3,Coeff_Theta2Omega,Coeff_ThetaOmega2,Coeff_Omega3
29,2024-08-15 03:00:00,0.03138,2.445193,1.729155,0.999 omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2024-08-15 03:05:00,0.148734,14.389033,10.175126,1.010 omega + -0.105 omega^2 + -1.104 omega^3,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2024-08-15 03:10:00,0.061611,4.631907,3.275543,0.999 omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2024-08-15 03:15:00,0.031757,1.037453,0.733933,1.008 omega + -0.001 theta omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2024-08-15 03:20:00,0.090634,13.131719,9.285749,1.004 omega + -0.005 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2024-08-15 03:25:00,0.062112,9.683657,6.84752,0.991 omega + 0.002 theta omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2024-08-15 03:30:00,0.056976,5.05157,3.572227,1.003 omega + -0.001 theta omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2024-08-15 03:35:00,0.048444,2.997574,2.119882,1.005 omega + 0.051 omega^2 + -0.047 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2024-08-15 03:40:00,0.119139,18.771122,13.273455,0.997 omega + 0.098 omega^2 + -0.009 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2024-08-15 03:45:00,0.080878,9.900414,7.000884,1.002 omega + 0.032 omega^2 + -0.007 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2024-08-15 03:50:00,0.218459,33.721891,23.845478,0.999 omega + 0.027 omega^3,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2024-08-15 03:55:00,0.06116,3.212184,2.271769,1.051 omega + 0.005 theta omega + 0.374 omega^2 + 0.029 theta omega^2,0.017 omega + -0.031 theta omega^2,0.0,0.0,0.016813566678,0.0,0.0,0.0,0.0,0.0,-0.031307818696,0.0
41,2024-08-15 04:00:00,0.21218,30.779698,21.76505,1.024 omega + 0.185 omega^2 + 0.353 omega^3,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2024-08-15 04:05:00,0.036569,5.188878,3.669182,-0.001 1 + 0.986 omega + -0.049 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2024-08-15 04:10:00,0.162991,17.805904,12.591203,0.998 omega + 0.005 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2024-08-15 04:15:00,0.073577,7.303213,5.164413,0.998 omega + -0.006 omega^2 + 0.049 omega^3,-0.039 theta omega^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039238094123,0.0
45,2024-08-15 04:20:00,0.147949,22.637652,16.007579,1.002 omega + 0.116 omega^2 + -0.008 theta omega^2 + -0.753 omega^3,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2024-08-15 04:25:00,0.095196,12.881905,9.109131,1.001 omega + -0.072 omega^2 + -0.006 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2024-08-15 04:30:00,0.088663,10.088053,7.133606,1.006 omega + -0.031 omega^2 + -0.004 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2024-08-15 04:35:00,0.069317,4.125806,2.917797,0.999 omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2024-08-15 04:40:00,0.133766,14.634599,10.348657,1.007 omega + 0.002 theta omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2024-08-15 04:45:00,0.070075,1.720015,1.217243,1.000 omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2024-08-15 04:50:00,0.063975,4.172669,2.950869,0.999 omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2024-08-15 04:55:00,0.06527,9.776522,6.913199,0.002 1 + 0.979 omega + 0.067 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2024-08-15 05:00:00,0.086334,3.428394,2.425009,1.000 omega + -0.002 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2024-08-15 05:05:00,0.11091,10.070874,7.121615,1.000 omega + 0.013 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2024-08-15 05:10:00,0.144504,23.062152,16.307724,0.994 omega + 0.091 omega^2 + -0.003 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2024-08-15 05:15:00,0.061623,10.502726,7.426677,0.997 omega + 0.026 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2024-08-15 05:20:00,0.044151,6.030704,4.264466,0.993 omega + 0.003 theta omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2024-08-15 05:25:00,0.064755,6.83408,4.832641,0.998 omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2024-08-15 05:30:00,0.089943,14.191337,10.034992,1.002 omega + -0.006 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2024-08-15 05:35:00,0.07487,5.769472,4.079976,1.002 omega + 0.007 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2024-08-15 05:40:00,0.122113,18.892367,13.3592,1.003 omega + -0.015 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
