Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
33660,2024-12-19 10:10:00,0.017430,0.178858,0.127071,0.058863,4.357358,3.081398,52.3007,371,0,1.00000omega,-0.002991 + 0.00019theta + -0.00353omega + -0.00011theta^2 + 0.00041theta omega + -0.00064omega^2,-0.000383*omega**2 + 8.0e-6*omega*theta - 0.000191*omega + 2.0e-6*theta - 1.3e-5
33661,2024-12-19 10:15:00,nan,nan,nan,nan,nan,nan,96.1292,69,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
33662,2024-12-19 10:20:00,0.007994,0.075847,0.053929,0.074802,3.415486,2.415693,5.7424,1518,0,1.00000omega,0.006311 + -0.20251theta + -0.00605omega + -0.00383theta^2 + 0.00172theta omega + -0.00341omega^2,-0.001846*omega**2 + 3.1e-5*omega*theta - 0.000294*omega - 2.0e-6*theta**2 - 0.000211*theta + 0.00066
33663,2024-12-19 10:25:00,0.008351,0.108498,0.076947,0.055563,2.513378,1.777661,9.9833,1120,0,1.00000omega,-0.001881 + -0.00032theta + -0.00393omega + -0.00002theta^2 + 0.00034theta omega + 0.00825omega^2,0.005105*omega**2 + 7.0e-6*omega*theta - 6.0e-5*omega - 0.e-6*theta - 8.0e-6
33664,2024-12-19 10:30:00,0.008370,0.100720,0.071465,0.097806,10.672840,7.547155,0.8707,1783,0,1.00000omega,-0.002601 + 0.00057theta + 0.00410omega + 0.00035theta^2 + 0.00449theta omega + 0.00043omega^2,0.000157*omega**2 + 5.5e-5*omega*theta + 0.000358*omega + 2.0e-6*theta - 3.0e-6
33665,2024-12-19 10:35:00,0.008190,0.075272,0.053539,0.128561,16.963488,11.995342,3.4199,1093,0,1.00000omega,0.001831 + -0.00022theta + 0.00130omega + 0.00007theta^2 + 0.00002theta omega + 0.00086omega^2,0.000405*omega**2 + 4.3e-5*omega + 4.0e-6
33666,2024-12-19 10:40:00,0.007490,0.056630,0.040392,0.069911,9.272051,6.556516,7.0963,722,0,1.00000omega,0.004401 + -0.00021theta + -0.00175omega + -0.00012theta^2 + -0.00286theta omega + 0.00175omega^2,0.00107*omega**2 - 5.8e-5*omega*theta + 0.000325*omega + 1.0e-6*theta + 6.0e-6
33667,2024-12-19 10:45:00,nan,nan,nan,nan,nan,nan,30.4232,121,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
33668,2024-12-19 10:50:00,0.008553,0.183529,0.129916,0.191923,32.077978,22.682962,8.0351,1573,0,1.00000omega,-0.004571 + -0.00006theta + 0.00100omega + 0.00004theta^2 + 0.00077theta omega + 0.00084omega^2,0.00047*omega**2 + 1.4e-5*omega*theta - 0.00017*omega - 0.e-6*theta - 3.0e-6
33669,2024-12-19 10:55:00,0.008178,0.142679,0.101055,0.027920,0.779234,0.551355,48.7584,2797,0,1.00000omega,-0.002141 + 0.00016theta + -0.00095omega + 0.00016theta^2 + 0.00002theta omega + -0.00025omega^2,-0.000314*omega**2 + 1.0e-6*omega*theta - 4.5e-5*omega - 7.0e-6*theta + 4.9e-5
