Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
1100,2024-08-18 20:25:00,0.009526,0.150362,0.106535,0.090040,10.638069,7.522520,3.4103,1252,0,1.00000omega,-0.000181 + 0.00267theta + 0.00003omega + 0.00007theta^2 + 0.00045theta omega + 0.00039omega^2,0.000158*omega**2 + 6.0e-6*omega*theta - 4.3e-5*omega + 3.0e-6*theta - 2.0e-5
1101,2024-08-18 20:30:00,nan,nan,nan,nan,nan,nan,-21053251897646127251456.0000,597,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
1102,2024-08-18 20:35:00,nan,nan,nan,nan,nan,nan,80.0101,98,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
1103,2024-08-18 20:40:00,0.041699,1.176803,0.832648,0.081974,11.640281,8.231126,540.0081,75,5,1.00000omega,-0.001951 + -0.01905theta + 0.00298omega + -0.00105theta^2 + -0.00076theta omega + 0.00107omega^2,0.000651*omega**2 - 1.5e-5*omega*theta + 0.000393*omega - 0.e-6*theta**2 + 6.0e-6*theta + 0.000142
1104,2024-08-18 20:45:00,nan,nan,nan,nan,nan,nan,214.2234,32,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
1105,2024-08-18 20:50:00,0.010999,0.045172,0.032874,0.090621,3.664849,2.592232,5.0394,994,0,1.00000omega,-0.000001 + -0.00708theta + -0.00121omega + -0.00085theta^2 + -0.00138theta omega + -0.00269omega^2,-0.001028*omega**2 - 1.8e-5*omega*theta + 3.8e-5*omega - 5.0e-6*theta + 2.8e-5
1106,2024-08-18 20:55:00,0.013198,0.095552,0.068207,0.146828,6.231086,4.407266,5.9097,1263,0,1.00000omega,-0.034471 + -0.37752theta + -0.01621omega + 0.01764theta^2 + 0.00975theta omega + -0.02050omega^2,-0.007065*omega**2 + 0.000112*omega*theta - 0.000821*omega + 7.0e-6*theta**2 - 0.000453*theta + 0.000984
1107,2024-08-18 21:00:00,0.020066,0.651910,0.461189,0.046748,3.559245,2.516983,122.7124,824,0,1.00000omega,0.001581 + -0.00003theta + -0.00205omega + 0.00002theta^2 + 0.00001theta omega + -0.00061omega^2,-0.000514*omega**2 - 6.2e-5*omega + 1.0e-6*theta + 1.1e-5
1108,2024-08-18 21:05:00,nan,nan,nan,nan,nan,nan,954.4748,40,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
1109,2024-08-18 21:10:00,0.008859,0.118633,0.084120,0.167360,22.993282,16.259136,1.2282,1656,0,1.00000omega,0.001571 + -0.00223theta + -0.00578omega + 0.00082theta^2 + -0.00071theta omega + -0.00017omega^2,-6.1e-5*omega**2 - 9.0e-6*omega*theta - 0.000321*omega + 7.0e-6*theta + 4.2e-5
