Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
33000,2024-12-17 02:50:00,0.008381,0.259718,0.183744,0.080376,4.765016,3.369855,1.9278,1617,0,1.00000omega,0.000941 + 0.00003theta + -0.01383omega + -0.00033theta^2 + -0.00018theta omega + 0.00059omega^2,0.000266*omega**2 - 3.0e-6*omega*theta - 0.000412*omega + 6.0e-6*theta - 5.2e-5,3.993880e-04,2.770780e-05
33001,2024-12-17 02:55:00,0.009414,0.294169,0.208116,0.137199,11.307552,7.996235,0.9241,1124,0,1.00000omega,0.000011 + -0.00007theta + -0.00032omega + 0.00035theta^2 + 0.00003theta omega + -0.00103omega^2,-0.000333*omega**2 - 1.4e-5*omega - 3.0e-6*theta + 1.8e-5,8.435484e-04,4.051964e-05
33002,2024-12-17 03:00:00,nan,nan,nan,nan,nan,nan,581.9216,36,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
33003,2024-12-17 03:05:00,0.006865,0.047073,0.033637,0.086333,2.659242,1.881359,-1.0505,1114,0,1.00000omega,-0.022501 + -0.26878theta + 0.00400omega + -0.03364theta^2 + -0.00420theta omega + -0.02103omega^2,-0.006897*omega**2 - 4.6e-5*omega*theta + 0.000394*omega - 1.2e-5*theta**2 - 0.000159*theta + 0.001225,8.162213e-04,3.872795e-05
33004,2024-12-17 03:10:00,0.007593,0.085943,0.061007,0.074869,6.333406,4.478707,5.9477,2518,1,1.00000omega,0.003721 + -0.00052theta + -0.00100omega + 0.00005theta^2 + -0.00020theta omega + -0.00182omega^2,-0.001082*omega**2 - 4.0e-6*omega*theta - 0.000102*omega + 1.0e-6*theta + 7.0e-6,2.666186e-04,2.114351e-05
33005,2024-12-17 03:15:00,0.025006,0.239272,0.170112,0.088813,2.758366,1.951470,41.4562,336,0,1.00000omega,-0.022931 + -0.00996theta + -0.00098omega + -0.00346theta^2 + 0.00391theta omega + -0.00203omega^2,-0.000755*omega**2 + 4.8e-5*omega*theta - 0.000304*omega - 1.0e-6*theta**2 + 5.0e-6*theta - 5.1e-5,1.090856e-02,1.670149e-05
33006,2024-12-17 03:20:00,0.039467,0.670124,0.474670,0.050635,1.447182,1.023939,215.7450,39,5,1.00000omega,0.028371 + -0.00457theta + -0.00271omega + 0.03005theta^2 + -0.00353theta omega + 0.09253omega^2,0.044619*omega**2 - 5.7e-5*omega*theta - 0.000689*omega + 1.6e-5*theta**2 + 0.000335*theta + 0.001805,2.723264e-03,3.589610e-06
33007,2024-12-17 03:25:00,0.009879,0.368641,0.260762,0.228276,30.897210,21.848223,0.5465,1660,0,1.00000omega,0.000301 + -0.00020theta + 0.00017omega + 0.00003theta^2 + 0.00046theta omega + -0.00046omega^2,-0.000167*omega**2 + 6.0e-6*omega*theta + 4.0e-5*omega,2.787703e-04,3.172372e-05
33008,2024-12-17 03:30:00,0.051740,1.019936,0.722131,0.057215,3.457598,2.445226,600.8040,50,5,1.00000omega,0.000381 + 0.00050theta + -0.00105omega + 0.00021theta^2 + -0.00025theta omega + 0.00202omega^2,0.001242*omega**2 - 5.0e-6*omega*theta - 0.000109*omega + 5.0e-6*theta + 3.9e-5,2.078130e-03,7.566529e-07
33009,2024-12-17 03:35:00,nan,nan,nan,nan,nan,nan,174.7204,23,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
33010,2024-12-17 03:40:00,0.010327,0.478983,0.338771,0.118665,8.092218,5.722677,-1.0919,2233,0,1.00000omega,0.000321 + -0.00356theta + -0.00628omega + 0.00195theta^2 + 0.00136theta omega + 0.01201omega^2,0.00356*omega**2 + 1.3e-5*omega*theta + 7.6e-5*omega + 1.0e-6*theta**2 + 2.3e-5*theta + 0.000207,1.081567e-03,2.840296e-05
33011,2024-12-17 03:45:00,0.023930,0.340412,0.241302,0.033832,0.882915,0.624773,83.2215,184,5,1.00000omega,0.009491 + -0.01208theta + 0.00065omega + 0.00107theta^2 + -0.01872theta omega + -0.00316omega^2,-0.001665*omega**2 - 0.000329*omega*theta + 0.008367*omega + 1.0e-6*theta**2 - 4.5e-5*theta + 0.000764,nan,nan
33012,2024-12-17 03:50:00,nan,nan,nan,nan,nan,nan,2913.1338,19,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
33013,2024-12-17 03:55:00,0.049835,0.658994,0.467310,0.131396,16.406711,11.601669,182.8804,52,5,1.00000omega,0.000141 + -0.00748theta + 0.00154omega + -0.00091theta^2 + 0.00293theta omega + -0.00095omega^2,-0.000353*omega**2 + 3.6e-5*omega*theta + 0.000541*omega - 1.8e-5*theta - 0.00018,nan,nan
33014,2024-12-17 04:00:00,nan,nan,nan,nan,nan,nan,440.4112,127,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
33015,2024-12-17 04:05:00,0.039819,0.461840,0.327782,0.191700,17.590832,12.439335,76.4907,29,5,1.00000omega,-0.009041 + -0.00871theta + -0.00132omega + 0.00036theta^2 + 0.02456theta omega + -0.00154omega^2,-0.000466*omega**2 + 0.000248*omega*theta - 0.000706*omega - 1.0e-5*theta - 6.0e-6,5.715160e-03,1.464657e-05
33016,2024-12-17 04:10:00,nan,nan,nan,nan,nan,nan,173.7421,66,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
