Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
56998,2025-03-10 14:55:00,0.010644,0.049627,0.035890,0.093291,2.205230,1.560728,1.4635,970,0,1.00000omega,0.053441 + -1.98143theta + 0.00438omega + -0.67754theta^2 + -0.28888theta omega + 0.00659omega^2,0.002026*omega**2 - 0.00296*omega*theta + 0.002813*omega - 0.000231*theta**2 - 0.001785*theta + 0.001989,6.553744e-04,6.043986e-05
56999,2025-03-10 15:00:00,0.010360,0.076442,0.054547,0.134014,13.576496,9.600500,2.1859,1401,0,1.00000omega,0.014961 + 0.00382theta + -0.01199omega + 0.00094theta^2 + -0.00145theta omega + 0.00344omega^2,0.001116*omega**2 - 1.6e-5*omega*theta - 0.000605*omega + 1.3e-5*theta + 0.000165,3.774582e-04,7.575687e-05
57000,2025-03-10 15:05:00,0.011673,0.076335,0.054604,0.171567,15.111061,10.685823,0.3432,1315,0,1.00000omega,-0.005221 + -0.01305theta + 0.00419omega + 0.00004theta^2 + -0.00122theta omega + 0.00048omega^2,0.000121*omega**2 - 1.0e-5*omega*theta + 0.000213*omega - 1.5e-5*theta + 8.2e-5,4.771294e-04,7.139770e-05
57001,2025-03-10 15:10:00,nan,nan,nan,nan,nan,nan,197.8480,31,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
57002,2025-03-10 15:15:00,0.026115,0.924038,0.653654,0.046206,3.247110,2.296286,-25801.5742,595,0,1.00000omega,0.008921 + -0.00393theta + 0.00367omega + -0.00017theta^2 + 0.00186theta omega + 0.00051omega^2,0.000436*omega**2 + 5.3e-5*omega*theta + 0.001692*omega - 1.4e-5*theta - 0.000259,4.086247e-01,4.542841e-04
57003,2025-03-10 15:20:00,0.010765,0.116711,0.082878,0.132543,17.147442,12.125435,0.7357,1701,0,1.00000omega,0.001791 + 0.00133theta + 0.00136omega + 0.00158theta^2 + -0.00097theta omega + 0.00501omega^2,0.001434*omega**2 - 9.0e-6*omega*theta + 4.8e-5*omega + 1.0e-6*theta**2 + 1.0e-6*theta + 7.0e-6,1.525623e-03,4.613723e-05
57004,2025-03-10 15:25:00,nan,nan,nan,nan,nan,nan,142.4068,26,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
57005,2025-03-10 15:30:00,nan,nan,nan,nan,nan,nan,1208.6119,40,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
57006,2025-03-10 15:35:00,0.010731,0.035731,0.026380,0.106955,2.949577,2.087036,3.7332,2239,1,1.00000omega,0.011621 + -0.90675theta + 0.00992omega + 0.00180theta^2 + -0.00468theta omega + -0.00736omega^2,-0.002681*omega**2 - 5.7e-5*omega*theta + 0.00027*omega + 1.0e-6*theta**2 - 0.001006*theta - 0.001038,4.447879e-04,5.742980e-05
57007,2025-03-10 15:40:00,0.016147,0.087481,0.062903,0.094106,3.521812,2.491186,-2710.8586,691,0,1.00000omega,0.001991 + 0.00124theta + -0.00097omega + 0.00031theta^2 + -0.00289theta omega + 0.00343omega^2,0.001234*omega**2 - 3.5e-5*omega*theta - 0.00048*omega + 5.0e-6*theta + 4.5e-5,5.554684e-03,4.645895e-05
57008,2025-03-10 15:45:00,0.014302,0.116167,0.082762,0.193664,24.831543,17.559087,10.3527,170,5,1.00000omega,0.000611 + -0.00207theta + -0.00106omega + 0.00020theta^2 + 0.00073theta omega + -0.00044omega^2,-0.000159*omega**2 + 9.0e-6*omega*theta - 4.0e-6*omega - 2.0e-6*theta - 5.0e-6,4.400014e-03,3.621719e-05
57009,2025-03-10 15:50:00,0.023860,0.124843,0.089875,0.119635,17.893724,12.653056,37.2026,623,1,1.00000omega,0.001011 + 0.00095theta + 0.00200omega + -0.00024theta^2 + 0.00015theta omega + -0.00050omega^2,-0.000195*omega**2 + 2.0e-6*omega*theta + 9.5e-5*omega - 2.0e-6*theta - 4.0e-6,1.761574e-01,1.999569e-04
57010,2025-03-10 15:55:00,0.010538,0.110307,0.078354,0.052308,4.711384,3.331657,20.4795,2907,0,1.00000omega,0.000101 + 0.00062theta + -0.00596omega + 0.00033theta^2 + 0.00002theta omega + -0.00112omega^2,-0.000749*omega**2 - 0.000191*omega + 9.0e-6*theta + 9.1e-5,4.602954e-04,3.285701e-05
57011,2025-03-10 16:00:00,nan,nan,nan,nan,nan,nan,5144.1118,16,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
57012,2025-03-10 16:05:00,0.009815,0.096294,0.068443,0.118640,14.755068,10.433746,2.5085,1944,0,1.00000omega,-0.000181 + -0.00084theta + 0.00120omega + 0.00015theta^2 + 0.00020theta omega + 0.00045omega^2,0.00016*omega**2 + 2.0e-6*omega*theta + 6.0e-5*omega - 4.0e-6,4.347467e-04,5.304705e-05
57013,2025-03-10 16:10:00,0.011359,0.146832,0.104136,0.085473,4.625413,3.271219,5.5748,1181,0,1.00000omega,0.002421 + 0.00007theta + 0.00020omega + 0.00005theta^2 + -0.00007theta omega + 0.00119omega^2,0.000462*omega**2 - 0.e-6*omega*theta - 7.0e-6*omega + 1.0e-6*theta + 1.3e-5,2.662223e-04,3.941783e-05
57014,2025-03-10 16:15:00,nan,nan,nan,nan,nan,nan,253.1499,34,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
57015,2025-03-10 16:20:00,0.010956,0.073507,0.052551,0.062041,2.177086,1.540057,4.6800,1156,0,1.00000omega,-0.001821 + -0.36807theta + 0.00304omega + 0.00029theta^2 + 0.00571theta omega + 0.00039omega^2,0.000146*omega**2 + 7.1e-5*omega*theta - 0.000462*omega - 0.000411*theta + 0.003231,2.037918e-03,3.216855e-05
57016,2025-03-10 16:25:00,0.010456,0.080710,0.057548,0.091014,10.529615,7.445840,4.2682,2278,0,1.00000omega,-0.005461 + 0.00064theta + 0.00140omega + -0.00105theta^2 + -0.01123theta omega + 0.00292omega^2,0.001108*omega**2 - 0.000142*omega*theta + 0.001163*omega + 8.0e-6*theta - 4.9e-5,7.872692e-04,6.210648e-05
