Feature,Label,Count,Percentage
const,1,558,0.6912699297580556
theta,θ,11,0.013627184995230487
omega,ω,1230,1.5237670494666815
theta^2,θ²,0,0.0
theta_omega,θω,205,0.2539611749111136
omega^2,ω²,3918,4.8537555283011855
