Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
106480,2025-08-29 23:45:00,0.009849,0.075374,0.053750,0.257117,24.254373,17.151396,1.7422,1831,0,1.00000omega,-0.002211 + -0.00137theta + -0.00146omega + 0.00417theta^2 + 0.00132theta omega + -0.00220omega^2,-0.000761*omega**2 + 1.5e-5*omega*theta - 0.000235*omega + 2.0e-6*theta**2 - 4.1e-5*theta + 0.000251
106481,2025-08-29 23:50:00,0.009242,0.082245,0.058522,0.117950,9.711732,6.867738,2.2349,1451,0,1.00000omega,-0.001471 + -0.00619theta + -0.00073omega + 0.00028theta^2 + -0.00449theta omega + 0.01773omega^2,0.006549*omega**2 - 5.5e-5*omega*theta - 8.2e-5*omega - 7.0e-6*theta - 1.1e-5
106482,2025-08-29 23:55:00,nan,nan,nan,nan,nan,nan,59609.9414,5,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
106483,2025-08-30 00:00:00,0.011056,0.218909,0.154989,0.110465,14.228852,10.061621,19.2356,2458,0,1.00000omega,0.000351 + -0.00017theta + 0.00066omega + 0.00003theta^2 + -0.00009theta omega + 0.00017omega^2,0.000107*omega**2 - 2.0e-6*omega*theta + 5.2e-5*omega - 0.e-6*theta + 9.0e-6
106484,2025-08-30 00:05:00,0.023006,0.311077,0.220566,0.025599,2.039998,1.442610,67.4128,220,5,1.00000omega,0.001751 + -0.00189theta + 0.09485omega + -0.00070theta^2 + -0.00620theta omega + 0.00030omega^2,0.000151*omega**2 - 0.000104*omega*theta + 0.006583*omega + 2.4e-5*theta - 0.000351
106485,2025-08-30 00:10:00,0.027973,0.909909,0.643707,0.068691,7.816005,5.526964,320.6283,58,5,1.00000omega,0.000021 + -0.00017theta + -0.00174omega + 0.00000theta^2 + 0.00006theta omega + -0.00020omega^2,-0.000145*omega**2 + 1.0e-6*omega*theta - 0.000115*omega + 7.0e-6
106486,2025-08-30 00:15:00,0.022180,0.338556,0.239909,0.034493,4.127308,2.918550,270.1995,98,5,1.00000omega,0.000791 + -0.00303theta + -0.00326omega + 0.00001theta^2 + -0.00032theta omega + -0.00024omega^2,-0.000245*omega**2 - 1.1e-5*omega*theta + 0.000242*omega - 4.0e-6*theta + 0.000121
106487,2025-08-30 00:20:00,0.011205,0.140024,0.099329,0.090080,7.742856,5.475396,12.9291,1956,0,1.00000omega,0.000251 + 0.00017theta + -0.00137omega + 0.00007theta^2 + -0.00020theta omega + 0.00206omega^2,0.001079*omega**2 - 3.0e-6*omega*theta + 1.3e-5*omega - 1.0e-6*theta + 9.0e-6
106488,2025-08-30 00:25:00,0.012705,0.054933,0.039869,nan,nan,nan,8.8618,1952,0,1.00000omega,0.001961 + -0.23194theta + -0.00854omega + 0.17022theta^2 + 0.00012theta omega + -0.00793omega^2,-0.003224*omega**2 + 2.0e-6*omega*theta - 0.000293*omega + 7.7e-5*theta**2 - 0.001035*theta + 0.003275
106489,2025-08-30 00:30:00,nan,nan,nan,nan,nan,nan,2175.4797,21,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
106490,2025-08-30 00:35:00,0.011709,0.086738,0.061889,0.125995,17.977859,12.712578,12.6284,1842,0,1.00000omega,0.000331 + 0.00033theta + 0.00051omega + -0.00006theta^2 + 0.00025theta omega + -0.00171omega^2,-0.000856*omega**2 + 4.0e-6*omega*theta - 1.7e-5*omega + 1.0e-6*theta - 4.0e-6
