Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
7700,2024-09-10 21:00:00,0.005249,0.009229,0.007507,0.079160,3.171936,2.243596,282.7931,9999,0,1.00000omega,-0.011981 + 0.00189theta + -0.02233omega + 0.00527theta^2 + -0.00090theta omega + 0.01254omega^2 + 0.00008theta^3 + -0.00127theta^2 omega + 0.00032theta omega^2 + -0.02013omega^3,-0.136647*omega**3 + 7.2e-5*omega**2*theta + 0.006857*omega**2 - 1.0e-5*omega*theta**2 - 0.00025*omega*theta - 0.002375*omega + 4.0e-6*theta**2 + 8.0e-5*theta + 0.000458
7701,2024-09-10 21:05:00,nan,nan,nan,nan,nan,nan,14562.2832,1353,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A
7702,2024-09-10 21:10:00,0.004011,0.007960,0.006303,nan,nan,nan,112.3982,9171,0,1.00000omega,0.010261 + -0.08033theta + 0.02417omega + -0.00179theta^2 + -0.00984theta omega + 0.13701omega^2 + -0.00397theta^3 + 0.03801theta^2 omega + -0.03896theta omega^2 + 0.01970omega^3,0.093733*omega**3 - 0.006179*omega**2*theta + 0.121172*omega**2 + 0.000201*omega*theta**2 - 0.004463*omega*theta + 0.025564*omega - 0.e-6*theta**3 + 2.2e-5*theta**2 - 0.000316*theta + 0.001775
7703,2024-09-10 21:15:00,0.005167,0.007995,0.006731,0.291155,6.122382,4.334070,142.9682,7105,2,1.00000omega,0.107241 + -0.07884theta + 0.08651omega + -0.03088theta^2 + -0.00855theta omega + 0.07442omega^2 + -0.42889theta^3 + 0.00351theta^2 omega + -0.00360theta omega^2 + 0.02550omega^3,0.09369*omega**3 - 0.000441*omega**2*theta + 0.024472*omega**2 + 1.4e-5*omega*theta**2 + 2.0e-6*omega*theta + 0.00271*omega - 5.8e-5*theta**3 - 0.000636*theta**2 - 0.002399*theta - 0.002771
7704,2024-09-10 21:20:00,0.004397,0.007050,0.005875,0.135813,6.699380,4.738150,125.6530,6969,0,1.00000omega,-0.298201 + -0.03954theta + -0.07617omega + 0.05079theta^2 + 0.07438theta omega + 0.02424omega^2 + 0.00144theta^3 + -0.01518theta^2 omega + -0.13308theta omega^2 + 0.00115omega^3,0.005007*omega**3 - 0.019316*omega**2*theta - 0.191949*omega**2 - 7.3e-5*omega*theta**2 - 0.000585*omega*theta - 0.000668*omega + 2.9e-5*theta**2 + 0.00048*theta + 0.001268
7705,2024-09-10 21:25:00,0.003935,0.005576,0.004826,0.102456,3.303436,2.337005,106.5474,6171,0,1.00000omega,-0.003751 + -1.37169theta + -0.00843omega + 0.56459theta^2 + -0.12858theta omega + 0.37225omega^2 + -0.00487theta^3 + 0.02893theta^2 omega + -0.39659theta omega^2 + -0.05186omega^3,-0.23946*omega**3 - 0.061041*omega**2*theta - 0.18329*omega**2 + 0.000148*omega*theta**2 - 8.0e-5*omega*theta - 0.005033*omega - 0.e-6*theta**3 + 0.000233*theta**2 + 0.001059*theta - 0.0012
7706,2024-09-10 21:30:00,0.004927,0.004874,0.004901,0.103234,3.970653,2.808625,232.6478,5195,0,1.00000omega,-0.002601 + -0.49300theta + -0.13912omega + -0.42964theta^2 + -0.05804theta omega + -0.00808omega^2 + -0.17953theta^3 + -0.08919theta^2 omega + -0.15377theta omega^2 + -0.00686omega^3,-0.044044*omega**3 - 0.032909*omega**2*theta + 0.158601*omega**2 - 0.000636*omega*theta**2 + 0.005382*omega*theta - 0.015705*omega - 4.3e-5*theta**3 + 0.000411*theta**2 - 0.001486*theta + 0.002447
7707,2024-09-10 21:35:00,nan,nan,nan,nan,nan,nan,837.3276,2680,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A
7708,2024-09-10 21:40:00,0.006298,0.019570,0.014537,0.118268,8.844121,6.254297,147.1773,9999,0,1.00000omega,-0.015971 + -0.00457theta + 0.03032omega + -0.00017theta^2 + 0.02055theta omega + -0.00832omega^2 + -0.00115theta^3 + 0.00006theta^2 omega + -0.01122theta omega^2 + 0.00654omega^3,0.01619*omega**3 - 0.000926*omega**2*theta - 0.014393*omega**2 + 0.000201*omega*theta + 0.003589*omega - 4.0e-6*theta**2 - 6.0e-5*theta - 0.000366
7709,2024-09-10 21:45:00,0.004450,0.004901,0.004681,nan,nan,nan,189.3149,6009,0,1.00000omega,0.024881 + -0.14100theta + -0.02110omega + 0.07930theta^2 + 0.00689theta omega + -0.31341omega^2 + -0.18000theta^3 + 0.26520theta^2 omega + 0.46495theta omega^2 + 0.02451omega^3,0.159142*omega**3 + 0.100629*omega**2*theta - 0.155093*omega**2 + 0.001913*omega*theta**2 - 0.000246*omega*theta - 0.000697*omega - 4.3e-5*theta**3 + 5.3e-5*theta**2 - 0.000165*theta + 7.4e-5
