Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
87120,2025-06-23 13:50:00,0.004569,0.005796,0.005219,0.076361,1.797163,1.271933,218.4824,4372,0,1.00000omega,0.030711 + -0.22869theta + 0.04385omega + -0.08710theta^2 + 0.22215theta omega + -0.03419omega^2 + -0.99026theta^3 + -0.09444theta^2 omega + -0.16891theta omega^2 + 0.01739omega^3,0.120982*omega**3 - 0.03917*omega**2*theta + 0.057234*omega**2 - 0.00073*omega*theta**2 + 0.006313*omega*theta - 0.007832*omega - 0.000255*theta**3 + 0.001394*theta**2 - 0.002789*theta + 0.002083
87121,2025-06-23 13:55:00,0.005029,0.006114,0.005598,0.093041,5.344308,3.779569,216.1529,9539,3,1.00000omega,-0.046661 + -0.03787theta + -0.04837omega + -0.00066theta^2 + -0.00989theta omega + -0.00158omega^2 + -0.00641theta^3 + 0.00068theta^2 omega + -0.00098theta omega^2 + -0.00194omega^3,-0.010992*omega**3 - 0.000185*omega**2*theta + 0.001708*omega**2 + 4.0e-6*omega*theta**2 - 0.000254*omega*theta + 0.000958*omega - 1.0e-6*theta**3 + 5.2e-5*theta**2 - 0.000709*theta + 0.003285
87122,2025-06-23 14:00:00,0.006520,0.027540,0.020012,0.076061,2.820285,1.994968,462.6978,9999,2,1.00000omega,0.016891 + -0.00724theta + -0.00676omega + -0.00255theta^2 + 0.00365theta omega + 0.00090omega^2 + -0.00042theta^3 + 0.00104theta^2 omega + -0.00009theta omega^2 + 0.00168omega^3,0.011917*omega**3 - 2.1e-5*omega**2*theta + 4.0e-6*omega**2 + 8.0e-6*omega*theta**2 + 0.000394*omega*theta + 0.004391*omega - 8.0e-6*theta**2 - 0.000202*theta - 0.001635
87123,2025-06-23 14:05:00,0.004786,0.004995,0.004892,0.397924,32.382029,22.899281,138.4655,6036,0,1.00000omega,0.035941 + -0.00875theta + -0.00021omega + 0.00321theta^2 + -0.02952theta omega + -0.00479omega^2 + 0.00256theta^3 + 0.00165theta^2 omega + -0.03070theta omega^2 + 0.01066omega^3,0.043377*omega**3 - 0.004164*omega**2*theta - 0.015693*omega**2 + 7.0e-6*omega*theta**2 - 0.000312*omega*theta - 0.001136*omega + 5.0e-6*theta**2 + 1.2e-5*theta + 0.000105
87124,2025-06-23 14:10:00,nan,nan,nan,nan,nan,nan,139381.0000,925,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A
87125,2025-06-23 14:15:00,0.004513,0.004999,0.004762,0.100440,1.692098,1.198600,237.5710,4770,0,1.00000omega,0.018621 + -2.28464theta + -0.00917omega + -0.83140theta^2 + -0.00704theta omega + -0.06292omega^2 + -1.19835theta^3 + 0.00786theta^2 omega + 0.02109theta omega^2 + -0.03758omega^3,-0.291855*omega**3 + 0.00546*omega**2*theta - 0.049247*omega**2 + 6.8e-5*omega*theta**2 - 0.000548*omega*theta + 0.000747*omega - 0.000345*theta**3 + 0.002794*theta**2 - 0.009874*theta + 0.014211
87126,2025-06-23 14:20:00,0.004076,0.004058,0.004067,nan,nan,nan,195.7973,5532,0,1.00000omega,0.051111 + -0.14015theta + 0.10686omega + -0.12888theta^2 + 0.30237theta omega + 0.64230omega^2 + -3.59362theta^3 + 0.72093theta^2 omega + 0.28217theta omega^2 + 0.01805omega^3,0.139819*omega**3 + 0.072858*omega**2*theta + 0.323318*omega**2 + 0.006205*omega*theta**2 + 0.0046*omega*theta + 0.003358*omega - 0.001031*theta**3 + 5.7e-5*theta**2 - 0.000155*theta + 0.000118
87127,2025-06-23 14:25:00,0.004262,0.004427,0.004345,0.070284,1.448554,1.025487,162.6452,6451,0,1.00000omega,-0.002311 + -0.55599theta + -0.13230omega + 0.24223theta^2 + 0.34233theta omega + -0.17970omega^2 + -0.19782theta^3 + -0.19183theta^2 omega + -0.01917theta omega^2 + -0.04746omega^3,-0.281985*omega**3 - 0.003797*omega**2*theta - 0.08592*omega**2 - 0.001266*omega*theta**2 + 0.00111*omega*theta + 0.000438*omega - 4.4e-5*theta**3 - 8.5e-5*theta**2 - 0.000563*theta - 0.000847
87128,2025-06-23 14:30:00,0.004516,0.004680,0.004599,0.102697,5.637674,3.987099,195.4568,8942,0,1.00000omega,-0.205801 + -0.00171theta + 0.02573omega + 0.00373theta^2 + 0.00437theta omega + -0.04481omega^2 + -0.03086theta^3 + 0.07695theta^2 omega + 0.00007theta omega^2 + -0.07091omega^3,-0.454628*omega**3 + 1.5e-5*omega**2*theta - 0.020801*omega**2 + 0.000548*omega*theta**2 - 0.006208*omega*theta + 0.01843*omega - 7.0e-6*theta**3 + 0.000128*theta**2 - 0.000744*theta + 0.000953
87129,2025-06-23 14:35:00,0.004475,0.004692,0.004585,0.471419,26.673995,18.864308,281.9685,5814,0,1.00000omega,-0.024551 + 0.00971theta + -0.00581omega + 0.00054theta^2 + -0.09450theta omega + 0.00442omega^2 + -0.00027theta^3 + -0.00306theta^2 omega + -0.00062theta omega^2 + 0.00348omega^3,0.032659*omega**3 - 0.000194*omega**2*theta + 0.001029*omega**2 - 3.2e-5*omega*theta**2 - 0.002237*omega*theta - 0.015071*omega - 2.0e-6*theta**2 + 1.1e-5
