Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
106518,2025-08-30 02:55:00,0.016820,1.409793,0.996945,-0.009 1 + 1.077 omega + -0.001 theta omega + -0.156 omega^2,-0.018 1 + 0.152 omega + -0.001 theta omega + -0.304 omega^2,-1.8243214104e-02,2.0477583138e-04,1.5224004251e-01,1.7841760791e-07,-1.1141062337e-03,-3.0382616024e-01
106519,2025-08-30 03:00:00,nan,nan,nan,0.002 1 + 0.977 omega + 0.002 theta omega + 0.017 omega^2,0.005 1 + -0.001 theta + -0.046 omega + 0.004 theta omega + 0.043 omega^2,4.6871568350e-03,-5.3679547538e-04,-4.6075651164e-02,7.4587881591e-06,3.9929668850e-03,4.2757430949e-02
106520,2025-08-30 03:05:00,0.034464,2.455261,1.736303,0.012 1 + 1.103 omega + 0.001 theta omega + 0.199 omega^2,0.024 1 + 0.209 omega + 0.002 theta omega + 0.404 omega^2,2.3767165943e-02,4.4602161362e-04,2.0923171843e-01,1.8562359911e-06,2.3736209215e-03,4.0381319998e-01
106521,2025-08-30 03:10:00,0.031503,1.863228,1.317690,-0.001 1 + 1.020 omega + 0.114 omega^2,-0.001 1 + 0.042 omega + 0.227 omega^2,-1.2560329412e-03,-3.5966070167e-04,4.1541663902e-02,-7.6364577596e-06,-2.9283907930e-04,2.2734945961e-01
106522,2025-08-30 03:15:00,0.037391,2.232243,1.578655,1.003 omega + 0.001 theta omega + -0.006 omega^2,0.001 1 + 0.010 omega + 0.001 theta omega + -0.005 omega^2,5.7460903178e-04,8.0540251674e-05,9.6616588712e-03,1.6040602412e-06,1.1247744088e-03,-5.0658617281e-03
106523,2025-08-30 03:20:00,0.020837,0.738795,0.522615,1.001 omega + 0.001 theta omega + 0.031 omega^2,0.002 omega + 0.001 theta omega + 0.087 omega^2,-3.3089081593e-04,-3.5551959282e-04,2.1832413197e-03,-1.9117222180e-05,1.0869557153e-03,8.7437607214e-02
106524,2025-08-30 03:25:00,0.013639,0.895216,0.633087,0.002 1 + 0.962 omega + -0.001 theta omega + 0.235 omega^2,0.003 1 + -0.062 omega + -0.002 theta omega + 0.410 omega^2,3.1527224343e-03,3.3185785498e-05,-6.2432260322e-02,4.2495125924e-06,-1.8338184053e-03,4.0965376120e-01
106525,2025-08-30 03:30:00,0.010809,0.189375,0.134126,-0.001 1 + 1.003 omega + 0.007 omega^2,-0.001 1 + 0.006 omega + 0.011 omega^2,-1.3611338688e-03,-2.6883591361e-04,5.7307784929e-03,-5.9998473803e-06,-1.7399904395e-04,1.1212860996e-02
106526,2025-08-30 03:35:00,0.043641,3.060902,2.164604,0.004 1 + 1.028 omega + 0.001 theta omega + 0.032 omega^2,0.008 1 + 0.055 omega + 0.002 theta omega + 0.060 omega^2,7.6562199163e-03,2.0730310255e-04,5.5477399937e-02,-1.2451516516e-06,1.7536247453e-03,5.9828765383e-02
106527,2025-08-30 03:40:00,0.247704,6.906902,4.887057,1.008 omega + -0.001 theta omega + 0.018 omega^2,-0.001 theta + 0.017 omega + -0.001 theta omega + 0.021 omega^2,-4.9779790883e-04,-6.0150954196e-04,1.7469933060e-02,-1.2730579234e-05,-1.4033823195e-03,2.1432537343e-02
106528,2025-08-30 03:45:00,0.021021,1.468662,1.038607,0.007 1 + 0.001 theta + 1.064 omega + 0.007 theta omega + 0.108 omega^2,0.015 1 + 0.003 theta + 0.128 omega + 0.015 theta omega + 0.219 omega^2,1.5019292284e-02,2.8907564783e-03,1.2788107443e-01,1.3759391708e-04,1.4580485999e-02,2.1867498614e-01
106529,2025-08-30 03:50:00,0.020955,0.725797,0.513430,-0.001 1 + 0.998 omega + 0.048 omega^2,-0.003 1 + -0.004 omega + -0.001 theta omega + 0.091 omega^2,-2.5421389232e-03,-3.2138973507e-04,-3.6473323817e-03,-6.2643503924e-06,-9.4911832273e-04,9.0858604133e-02
106530,2025-08-30 03:55:00,0.079369,9.340746,6.605143,0.002 1 + 0.999 omega + 0.001 theta omega + -0.084 omega^2,0.003 1 + 0.001 theta + 0.005 omega + 0.002 theta omega + -0.138 omega^2,3.4886300361e-03,5.8994318312e-04,5.1313630268e-03,1.5929996611e-05,1.9202397425e-03,-1.3779199640e-01
106531,2025-08-30 04:00:00,0.031156,1.873004,1.324597,0.998 omega + -0.039 omega^2,-0.004 omega + 0.001 theta omega + -0.086 omega^2,2.8528542120e-04,8.5812958714e-05,-4.3397440119e-03,-1.2036888067e-06,1.0239858232e-03,-8.6021028563e-02
106532,2025-08-30 04:05:00,nan,nan,nan,0.001 1 + 0.982 omega + 0.001 theta omega + -0.111 omega^2,0.002 1 + -0.025 omega + 0.002 theta omega + -0.195 omega^2,2.4741391358e-03,3.7635159632e-04,-2.4813352286e-02,1.0071498052e-06,1.8445615602e-03,-1.9543153359e-01
106533,2025-08-30 04:10:00,0.012917,0.198215,0.140457,-0.003 1 + 0.986 omega + 0.052 omega^2,-0.005 1 + -0.025 omega + 0.100 omega^2,-4.9890704066e-03,3.2773948697e-04,-2.4918401070e-02,1.9107160166e-05,-2.0055670214e-04,1.0042796786e-01
106534,2025-08-30 04:15:00,nan,nan,nan,1.013 omega + -0.008 theta omega + 0.106 omega^2,-0.001 theta + 0.027 omega + -0.016 theta omega + 0.211 omega^2,2.6809028571e-04,-9.9665903162e-04,2.7256441209e-02,1.1251821829e-04,-1.5825196962e-02,2.1130293121e-01
106535,2025-08-30 04:20:00,0.054627,6.890936,4.872780,0.001 1 + 1.030 omega + 0.002 theta omega + 0.118 omega^2,0.002 1 + 0.065 omega + 0.005 theta omega + 0.257 omega^2,1.7074120016e-03,-2.6258086785e-05,6.5123522266e-02,-1.9005380622e-05,4.8581296520e-03,2.5733255703e-01
106536,2025-08-30 04:25:00,0.057249,7.403554,5.235259,0.998 omega + -0.009 omega^2,-0.001 omega + -0.002 omega^2,1.7837597001e-04,4.1092674207e-05,-1.1695464287e-03,6.2901362269e-07,-5.7824604301e-05,-2.0556921190e-03
106537,2025-08-30 04:30:00,0.014460,0.620756,0.439060,-0.010 1 + 0.925 omega + -0.001 theta omega + -0.127 omega^2,-0.020 1 + -0.149 omega + -0.002 theta omega + -0.258 omega^2,-1.9718478169e-02,-4.6399535988e-04,-1.4943267088e-01,9.0960836854e-08,-2.2914441387e-03,-2.5778380793e-01
106538,2025-08-30 04:35:00,nan,nan,nan,-0.007 1 + -0.002 theta + 0.916 omega + -0.013 theta omega + -0.204 omega^2,-0.014 1 + -0.004 theta + -0.166 omega + -0.026 theta omega + -0.399 omega^2,-1.3636313442e-02,-3.9490016608e-03,-1.6559768937e-01,-2.2656882958e-04,-2.6453614845e-02,-3.9908943092e-01
106539,2025-08-30 04:40:00,0.049448,4.184820,2.959321,-0.001 1 + 1.005 omega + 0.062 omega^2,-0.002 1 + 0.012 omega + -0.001 theta omega + 0.121 omega^2,-1.5277035005e-03,-2.0733366738e-04,1.1700112376e-02,-2.9303771521e-06,-8.9076457768e-04,1.2055338941e-01
