Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
95000,2025-07-21 00:05:00,0.065831,4.334337,3.065192,-0.001 1 + 0.992 omega + -0.003 theta omega + 0.120 omega^2,-0.001 1 + -0.014 omega + -0.005 theta omega + 0.210 omega^2,-1.0895798120e-03,-9.8016778917e-05,-1.3516539550e-02,6.5727459640e-05,-5.3507045207e-03,2.1011259827e-01
95001,2025-07-21 00:10:00,0.065047,8.109715,5.734619,-0.009 1 + 1.133 omega + -0.005 theta omega + -0.406 omega^2,-0.018 1 + 0.001 theta + 0.271 omega + -0.010 theta omega + -0.828 omega^2,-1.8292299061e-02,6.6552595162e-04,2.7126918177e-01,2.4132333359e-05,-1.0001557901e-02,-8.2848973429e-01
95002,2025-07-21 00:15:00,nan,nan,nan,0.006 1 + 0.946 omega + 0.004 theta omega + 0.023 omega^2,0.012 1 + -0.001 theta + -0.107 omega + 0.007 theta omega + 0.044 omega^2,1.2245392094e-02,-9.0280304807e-04,-1.0675461879e-01,4.8521047181e-06,6.9761189320e-03,4.3900011370e-02
95003,2025-07-21 00:20:00,0.023408,2.784528,1.969028,-0.010 1 + 1.149 omega + -0.004 theta omega + -0.449 omega^2,-0.020 1 + 0.001 theta + 0.297 omega + -0.008 theta omega + -0.895 omega^2,-2.0074169824e-02,5.8528539713e-04,2.9744019788e-01,7.5482038031e-06,-7.6851964702e-03,-8.9495597265e-01
95004,2025-07-21 00:25:00,0.016191,1.144657,0.809476,-0.004 1 + 1.064 omega + -0.002 theta omega + -0.253 omega^2,-0.008 1 + 0.001 theta + 0.136 omega + -0.005 theta omega + -0.522 omega^2,-8.4843119877e-03,6.7247066550e-04,1.3556614441e-01,-1.4463414537e-05,-5.0296317443e-03,-5.2225064910e-01
95005,2025-07-21 00:30:00,0.052811,2.025059,1.432420,-0.001 1 + 0.998 omega + -0.001 theta omega + 0.049 omega^2,-0.001 1 + -0.001 theta + -0.003 omega + -0.002 theta omega + 0.087 omega^2,-1.1451215603e-03,-6.3385317235e-04,-2.5815529561e-03,-1.3744568142e-06,-2.4524879499e-03,8.6788049475e-02
95006,2025-07-21 00:35:00,0.012383,1.681783,1.189232,-0.006 1 + 1.075 omega + -0.001 theta omega + -0.209 omega^2,-0.013 1 + 0.174 omega + -0.002 theta omega + -0.510 omega^2,-1.3487469480e-02,1.7390062153e-04,1.7448571389e-01,1.6789173451e-06,-1.8637152406e-03,-5.0954730204e-01
95007,2025-07-21 00:40:00,nan,nan,nan,0.001 1 + 0.945 omega + 0.322 omega^2,0.001 1 + -0.105 omega + -0.001 theta omega + 0.630 omega^2,5.9317240727e-04,2.5956057271e-04,-1.0456156029e-01,-1.6992923580e-06,-8.2001281108e-04,6.3033673283e-01
95008,2025-07-21 00:45:00,0.019372,1.554331,1.099163,-0.001 1 + 0.985 omega + -0.090 omega^2,-0.002 1 + -0.027 omega + -0.001 theta omega + -0.192 omega^2,-1.7614464832e-03,-8.1245689850e-05,-2.6575946931e-02,7.3144885901e-06,-6.3557900370e-04,-1.9206557729e-01
95009,2025-07-21 00:50:00,0.038091,3.220190,2.277178,0.999 omega + -0.001 theta omega + 0.060 omega^2,0.001 omega + -0.001 theta omega + 0.110 omega^2,4.5600303638e-04,-8.8056196847e-05,1.2917966327e-03,5.6441735560e-06,-1.2743110642e-03,1.0974791857e-01
