Combo_Index,Model,Sigma,Degree,Tau,LR,Mean_RMSE_Omega,Num_Success,Num_Total
1,integrator,0,2,5.0e-01,1.0e-01,0.018847,3,3
2,integrator,0,2,5.0e-01,1.0e-03,0.011506,3,3
3,integrator,0,2,5.0e-01,1.0e-05,0.086350,3,3
4,integrator,0,2,1.0e-01,1.0e-01,0.021022,2,3
5,integrator,0,2,1.0e-01,1.0e-03,0.011485,3,3
6,integrator,0,2,1.0e-01,1.0e-05,0.073001,3,3
7,integrator,0,2,1.0e-02,1.0e-01,0.017775,3,3
8,integrator,0,2,1.0e-02,1.0e-03,0.010502,2,3
9,integrator,0,2,1.0e-02,1.0e-05,0.091846,3,3
10,integrator,0,2,1.0e-03,1.0e-01,0.020673,3,3
11,integrator,0,2,1.0e-03,1.0e-03,0.011807,3,3
12,integrator,0,2,1.0e-03,1.0e-05,0.078455,3,3
13,integrator,0,2,1.0e-05,1.0e-01,0.010284,1,3
14,integrator,0,2,1.0e-05,1.0e-03,0.011712,3,3
15,integrator,0,2,1.0e-05,1.0e-05,0.078988,3,3
16,integrator,0,3,5.0e-01,1.0e-01,0.038242,1,3
17,integrator,0,3,5.0e-01,1.0e-03,0.011508,3,3
18,integrator,0,3,5.0e-01,1.0e-05,0.069762,3,3
19,integrator,0,3,1.0e-01,1.0e-01,0.012154,3,3
20,integrator,0,3,1.0e-01,1.0e-03,0.011473,3,3
21,integrator,0,3,1.0e-01,1.0e-05,0.083582,3,3
22,integrator,0,3,1.0e-02,1.0e-01,0.024047,3,3
23,integrator,0,3,1.0e-02,1.0e-03,0.011682,3,3
24,integrator,0,3,1.0e-02,1.0e-05,0.084698,3,3
25,integrator,0,3,1.0e-03,1.0e-01,0.010787,1,3
26,integrator,0,3,1.0e-03,1.0e-03,0.010465,2,3
27,integrator,0,3,1.0e-03,1.0e-05,0.087732,3,3
28,integrator,0,3,1.0e-05,1.0e-01,0.010707,2,3
29,integrator,0,3,1.0e-05,1.0e-03,0.010469,2,3
30,integrator,0,3,1.0e-05,1.0e-05,0.073147,3,3
31,integrator,5,2,5.0e-01,1.0e-01,0.001414,3,3
32,integrator,5,2,5.0e-01,1.0e-03,0.000934,3,3
33,integrator,5,2,5.0e-01,1.0e-05,0.084538,3,3
34,integrator,5,2,1.0e-01,1.0e-01,0.006545,3,3
35,integrator,5,2,1.0e-01,1.0e-03,0.000915,3,3
36,integrator,5,2,1.0e-01,1.0e-05,0.085233,3,3
37,integrator,5,2,1.0e-02,1.0e-01,0.001814,3,3
38,integrator,5,2,1.0e-02,1.0e-03,0.000842,3,3
39,integrator,5,2,1.0e-02,1.0e-05,0.048703,3,3
40,integrator,5,2,1.0e-03,1.0e-01,0.026059,3,3
41,integrator,5,2,1.0e-03,1.0e-03,0.000768,3,3
42,integrator,5,2,1.0e-03,1.0e-05,0.074011,3,3
43,integrator,5,2,1.0e-05,1.0e-01,0.016037,3,3
44,integrator,5,2,1.0e-05,1.0e-03,0.000873,1,3
45,integrator,5,2,1.0e-05,1.0e-05,0.069732,3,3
46,integrator,5,3,5.0e-01,1.0e-01,0.002797,2,3
47,integrator,5,3,5.0e-01,1.0e-03,0.000801,3,3
48,integrator,5,3,5.0e-01,1.0e-05,0.063406,3,3
49,integrator,5,3,1.0e-01,1.0e-01,0.001191,3,3
50,integrator,5,3,1.0e-01,1.0e-03,0.000907,2,3
51,integrator,5,3,1.0e-01,1.0e-05,0.071517,3,3
52,integrator,5,3,1.0e-02,1.0e-01,0.001717,3,3
53,integrator,5,3,1.0e-02,1.0e-03,0.001205,2,3
54,integrator,5,3,1.0e-02,1.0e-05,0.073123,3,3
55,integrator,5,3,1.0e-03,1.0e-01,0.008989,2,3
56,integrator,5,3,1.0e-03,1.0e-03,0.000951,2,3
57,integrator,5,3,1.0e-03,1.0e-05,0.075285,3,3
58,integrator,5,3,1.0e-05,1.0e-01,0.001563,3,3
59,integrator,5,3,1.0e-05,1.0e-03,0.000970,1,3
60,integrator,5,3,1.0e-05,1.0e-05,0.072408,3,3
61,integrator,20,2,5.0e-01,1.0e-01,0.003354,1,3
62,integrator,20,2,5.0e-01,1.0e-03,0.000201,1,3
63,integrator,20,2,5.0e-01,1.0e-05,0.051791,3,3
64,integrator,20,2,1.0e-01,1.0e-01,0.000795,1,3
65,integrator,20,2,1.0e-01,1.0e-03,0.000542,2,3
66,integrator,20,2,1.0e-01,1.0e-05,0.041824,3,3
67,integrator,20,2,1.0e-02,1.0e-01,0.001315,2,3
68,integrator,20,2,1.0e-02,1.0e-03,0.000292,2,3
69,integrator,20,2,1.0e-02,1.0e-05,0.032256,3,3
70,integrator,20,2,1.0e-03,1.0e-01,0.001103,3,3
71,integrator,20,2,1.0e-03,1.0e-03,0.000447,2,3
72,integrator,20,2,1.0e-03,1.0e-05,0.036502,3,3
73,integrator,20,2,1.0e-05,1.0e-01,0.001326,3,3
74,integrator,20,2,1.0e-05,1.0e-03,0.000484,1,3
75,integrator,20,2,1.0e-05,1.0e-05,0.044582,3,3
76,integrator,20,3,5.0e-01,1.0e-01,0.002881,3,3
77,integrator,20,3,5.0e-01,1.0e-03,0.000593,2,3
78,integrator,20,3,5.0e-01,1.0e-05,0.073228,3,3
79,integrator,20,3,1.0e-01,1.0e-01,0.002956,3,3
80,integrator,20,3,1.0e-01,1.0e-03,0.000283,2,3
81,integrator,20,3,1.0e-01,1.0e-05,0.061182,3,3
82,integrator,20,3,1.0e-02,1.0e-01,0.001647,3,3
83,integrator,20,3,1.0e-02,1.0e-03,0.000305,2,3
84,integrator,20,3,1.0e-02,1.0e-05,0.071876,3,3
85,integrator,20,3,1.0e-03,1.0e-01,0.003910,2,3
86,integrator,20,3,1.0e-03,1.0e-03,0.000385,2,3
87,integrator,20,3,1.0e-03,1.0e-05,0.053700,3,3
88,integrator,20,3,1.0e-05,1.0e-01,0.001958,3,3
89,integrator,20,3,1.0e-05,1.0e-03,0.004684,2,3
90,integrator,20,3,1.0e-05,1.0e-05,0.049517,3,3
91,integrator,60,2,5.0e-01,1.0e-01,0.000283,1,3
92,integrator,60,2,5.0e-01,1.0e-03,nan,0,3
93,integrator,60,2,5.0e-01,1.0e-05,0.040607,3,3
94,integrator,60,2,1.0e-01,1.0e-01,nan,0,3
95,integrator,60,2,1.0e-01,1.0e-03,0.000250,2,3
96,integrator,60,2,1.0e-01,1.0e-05,0.039725,3,3
97,integrator,60,2,1.0e-02,1.0e-01,0.003470,2,3
98,integrator,60,2,1.0e-02,1.0e-03,0.000236,1,3
99,integrator,60,2,1.0e-02,1.0e-05,0.036251,3,3
100,integrator,60,2,1.0e-03,1.0e-01,0.000705,2,3
101,integrator,60,2,1.0e-03,1.0e-03,nan,0,3
102,integrator,60,2,1.0e-03,1.0e-05,0.045630,3,3
103,integrator,60,2,1.0e-05,1.0e-01,0.000332,1,3
104,integrator,60,2,1.0e-05,1.0e-03,0.000174,2,3
105,integrator,60,2,1.0e-05,1.0e-05,0.045225,3,3
106,integrator,60,3,5.0e-01,1.0e-01,0.007911,3,3
107,integrator,60,3,5.0e-01,1.0e-03,nan,0,3
