Combo_Index,Model,Sigma,Degree,Tau,LR,Mean_RMSE_Omega,Num_Success,Num_Total
84,integrator,20,3,1.0e-02,1.0e-05,0.044738,3,3
85,integrator,20,3,1.0e-03,1.0e-01,0.009404,2,3
86,integrator,20,3,1.0e-03,1.0e-03,0.002448,3,3
87,integrator,20,3,1.0e-03,1.0e-05,0.057534,3,3
88,integrator,20,3,1.0e-05,1.0e-01,0.002466,2,3
89,integrator,20,3,1.0e-05,1.0e-03,0.000399,1,3
90,integrator,20,3,1.0e-05,1.0e-05,0.051442,3,3
91,integrator,60,2,5.0e-01,1.0e-01,0.000943,1,3
92,integrator,60,2,5.0e-01,1.0e-03,0.000374,2,3
93,integrator,60,2,5.0e-01,1.0e-05,0.036048,3,3
94,integrator,60,2,1.0e-01,1.0e-01,0.000932,2,3
95,integrator,60,2,1.0e-01,1.0e-03,nan,0,3
96,integrator,60,2,1.0e-01,1.0e-05,0.044060,3,3
97,integrator,60,2,1.0e-02,1.0e-01,0.001983,3,3
98,integrator,60,2,1.0e-02,1.0e-03,nan,0,3
99,integrator,60,2,1.0e-02,1.0e-05,0.040950,3,3
100,integrator,60,2,1.0e-03,1.0e-01,0.003560,2,3
101,integrator,60,2,1.0e-03,1.0e-03,nan,0,3
102,integrator,60,2,1.0e-03,1.0e-05,0.042221,3,3
103,integrator,60,2,1.0e-05,1.0e-01,nan,0,3
104,integrator,60,2,1.0e-05,1.0e-03,0.000414,1,3
105,integrator,60,2,1.0e-05,1.0e-05,0.046577,3,3
106,integrator,60,3,5.0e-01,1.0e-01,0.001850,3,3
107,integrator,60,3,5.0e-01,1.0e-03,0.000145,1,3
108,integrator,60,3,5.0e-01,1.0e-05,0.038188,3,3
109,integrator,60,3,1.0e-01,1.0e-01,0.002397,2,3
110,integrator,60,3,1.0e-01,1.0e-03,0.000346,2,3
111,integrator,60,3,1.0e-01,1.0e-05,0.034109,3,3
112,integrator,60,3,1.0e-02,1.0e-01,0.002221,2,3
113,integrator,60,3,1.0e-02,1.0e-03,0.000241,1,3
