Combo_Index,Model,Sigma,Degree,Tau,LR,Mean_RMSE_Omega,Num_Success,Num_Total
1,integrator,0,2,5.0e-01,1.0e-01,0.017447,3,3
2,integrator,0,2,5.0e-01,1.0e-03,0.010466,2,3
3,integrator,0,2,5.0e-01,1.0e-05,0.080671,3,3
4,integrator,0,2,1.0e-01,1.0e-01,0.011717,3,3
5,integrator,0,2,1.0e-01,1.0e-03,0.011492,3,3
6,integrator,0,2,1.0e-01,1.0e-05,0.094851,3,3
7,integrator,0,2,1.0e-02,1.0e-01,0.029768,3,3
8,integrator,0,2,1.0e-02,1.0e-03,0.011479,3,3
9,integrator,0,2,1.0e-02,1.0e-05,0.079884,3,3
10,integrator,0,2,1.0e-03,1.0e-01,0.011668,3,3
11,integrator,0,2,1.0e-03,1.0e-03,0.010771,2,3
12,integrator,0,2,1.0e-03,1.0e-05,0.068224,3,3
13,integrator,0,2,1.0e-05,1.0e-01,0.011666,3,3
14,integrator,0,2,1.0e-05,1.0e-03,0.010475,2,3
15,integrator,0,2,1.0e-05,1.0e-05,0.080723,3,3
16,integrator,0,3,5.0e-01,1.0e-01,0.010907,2,3
17,integrator,0,3,5.0e-01,1.0e-03,0.011473,3,3
18,integrator,0,3,5.0e-01,1.0e-05,0.074080,3,3
19,integrator,0,3,1.0e-01,1.0e-01,0.024550,2,3
20,integrator,0,3,1.0e-01,1.0e-03,0.010468,2,3
21,integrator,0,3,1.0e-01,1.0e-05,0.088071,3,3
22,integrator,0,3,1.0e-02,1.0e-01,0.026757,1,3
23,integrator,0,3,1.0e-02,1.0e-03,0.010501,2,3
24,integrator,0,3,1.0e-02,1.0e-05,0.083288,3,3
25,integrator,0,3,1.0e-03,1.0e-01,0.011738,3,3
26,integrator,0,3,1.0e-03,1.0e-03,0.010946,2,3
27,integrator,0,3,1.0e-03,1.0e-05,0.073082,3,3
28,integrator,0,3,1.0e-05,1.0e-01,0.018424,2,3
29,integrator,0,3,1.0e-05,1.0e-03,0.010458,2,3
30,integrator,0,3,1.0e-05,1.0e-05,0.078304,3,3
31,integrator,5,2,5.0e-01,1.0e-01,0.006482,2,3
32,integrator,5,2,5.0e-01,1.0e-03,0.000844,2,3
33,integrator,5,2,5.0e-01,1.0e-05,0.063502,3,3
34,integrator,5,2,1.0e-01,1.0e-01,0.001969,3,3
35,integrator,5,2,1.0e-01,1.0e-03,0.000842,3,3
36,integrator,5,2,1.0e-01,1.0e-05,0.053436,3,3
37,integrator,5,2,1.0e-02,1.0e-01,0.001222,1,3
38,integrator,5,2,1.0e-02,1.0e-03,0.001369,2,3
39,integrator,5,2,1.0e-02,1.0e-05,0.071930,3,3
40,integrator,5,2,1.0e-03,1.0e-01,0.005254,3,3
41,integrator,5,2,1.0e-03,1.0e-03,0.001084,2,3
42,integrator,5,2,1.0e-03,1.0e-05,0.082734,3,3
43,integrator,5,2,1.0e-05,1.0e-01,0.004064,2,3
44,integrator,5,2,1.0e-05,1.0e-03,0.000974,1,3
45,integrator,5,2,1.0e-05,1.0e-05,0.058894,3,3
46,integrator,5,3,5.0e-01,1.0e-01,0.005586,3,3
47,integrator,5,3,5.0e-01,1.0e-03,0.001000,2,3
48,integrator,5,3,5.0e-01,1.0e-05,0.068593,3,3
49,integrator,5,3,1.0e-01,1.0e-01,0.012391,3,3
50,integrator,5,3,1.0e-01,1.0e-03,0.000904,2,3
51,integrator,5,3,1.0e-01,1.0e-05,0.067099,3,3
52,integrator,5,3,1.0e-02,1.0e-01,0.001830,2,3
53,integrator,5,3,1.0e-02,1.0e-03,0.000909,3,3
54,integrator,5,3,1.0e-02,1.0e-05,0.068704,3,3
55,integrator,5,3,1.0e-03,1.0e-01,0.001672,3,3
56,integrator,5,3,1.0e-03,1.0e-03,0.001043,2,3
57,integrator,5,3,1.0e-03,1.0e-05,0.088129,3,3
58,integrator,5,3,1.0e-05,1.0e-01,0.001176,1,3
59,integrator,5,3,1.0e-05,1.0e-03,0.001034,2,3
60,integrator,5,3,1.0e-05,1.0e-05,0.072755,3,3
61,integrator,20,2,5.0e-01,1.0e-01,0.003101,3,3
62,integrator,20,2,5.0e-01,1.0e-03,0.000306,2,3
63,integrator,20,2,5.0e-01,1.0e-05,0.056478,3,3
64,integrator,20,2,1.0e-01,1.0e-01,0.000704,1,3
65,integrator,20,2,1.0e-01,1.0e-03,0.000431,2,3
66,integrator,20,2,1.0e-01,1.0e-05,0.059652,3,3
67,integrator,20,2,1.0e-02,1.0e-01,0.004499,2,3
68,integrator,20,2,1.0e-02,1.0e-03,0.002288,3,3
69,integrator,20,2,1.0e-02,1.0e-05,0.064254,3,3
70,integrator,20,2,1.0e-03,1.0e-01,0.001651,3,3
71,integrator,20,2,1.0e-03,1.0e-03,0.000424,2,3
72,integrator,20,2,1.0e-03,1.0e-05,0.053827,3,3
73,integrator,20,2,1.0e-05,1.0e-01,0.002242,2,3
74,integrator,20,2,1.0e-05,1.0e-03,0.000719,1,3
