Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
17500,2024-10-19 18:25:00,nan,nan,nan,-0.001 1 + -0.001 theta + 0.995 omega + -0.001 theta omega + -0.033 omega^2,-0.001 1 + -0.001 theta + -0.010 omega + -0.002 theta omega + -0.060 omega^2,-1.1398822995e-03,-1.1754365461e-03,-1.0201424442e-02,-7.6886662026e-05,-1.5758252408e-03,-6.0129738656e-02
17501,2024-10-19 18:30:00,nan,nan,nan,0.001 1 + 0.986 omega + -0.004 theta omega + -0.029 omega^2,0.002 1 + 0.001 theta + -0.028 omega + -0.008 theta omega + -0.067 omega^2,2.2576716666e-03,9.5503536877e-04,-2.7730705629e-02,1.2519468534e-04,-8.2820037171e-03,-6.7497747617e-02
17502,2024-10-19 18:35:00,0.051728,1.519488,1.075063,0.001 1 + 0.997 omega + -0.034 omega^2,0.003 1 + -0.007 omega + 0.001 theta omega + -0.069 omega^2,2.8873927944e-03,8.5768317018e-05,-7.0930244278e-03,-1.9770718567e-05,5.9415332912e-04,-6.9234486377e-02
17503,2024-10-19 18:40:00,nan,nan,nan,-0.040 1 + -0.001 theta + 0.809 omega + -0.003 theta omega + -0.219 omega^2,-0.080 1 + -0.003 theta + -0.382 omega + -0.006 theta omega + -0.443 omega^2,-8.0371299866e-02,-2.6986373636e-03,-3.8171585273e-01,-2.2001238131e-05,-6.3638905900e-03,-4.4307826542e-01
17504,2024-10-19 18:45:00,0.084185,2.662107,1.883335,0.001 1 + 0.997 omega + 0.027 omega^2,0.002 1 + -0.006 omega + 0.001 theta omega + 0.058 omega^2,1.5198653544e-03,-1.4216113641e-04,-5.6192804747e-03,-2.0092322067e-05,6.6616735872e-04,5.7838100062e-02
17505,2024-10-19 18:50:00,0.098841,4.049396,2.864209,0.993 omega + -0.001 theta omega + 0.007 omega^2,0.001 theta + -0.015 omega + -0.002 theta omega + 0.007 omega^2,-8.3560339686e-05,5.7525773766e-04,-1.5116690240e-02,5.4683991165e-05,-1.6450738229e-03,6.7417381613e-03
17506,2024-10-19 18:55:00,nan,nan,nan,0.002 1 + 1.000 omega + 0.002 theta omega + -0.159 omega^2,0.003 1 + -0.001 theta + 0.004 theta omega + -0.310 omega^2,3.2753510625e-03,-6.4490908932e-04,3.2260063082e-04,-5.8851784431e-05,3.7549802959e-03,-3.0972120586e-01
17507,2024-10-19 19:00:00,0.191049,9.116567,6.447802,0.001 1 + -0.001 theta + 1.002 omega + 0.001 theta omega + -0.142 omega^2,0.003 1 + -0.001 theta + 0.005 omega + 0.002 theta omega + -0.284 omega^2,2.5396351644e-03,-1.1431922768e-03,5.3093668005e-03,1.0553646038e-04,2.4110269611e-03,-2.8394656958e-01
17508,2024-10-19 19:05:00,nan,nan,nan,1.003 omega + -0.031 omega^2,-0.001 theta + 0.006 omega + -0.065 omega^2,-1.3335155120e-04,-5.8181942257e-04,6.3285927144e-03,-1.6687348037e-05,3.7285264190e-05,-6.4886115961e-02
17509,2024-10-19 19:10:00,0.152116,5.665443,4.007517,0.002 1 + 0.001 theta + 0.989 omega + -0.002 theta omega + -0.049 omega^2,0.003 1 + 0.002 theta + -0.021 omega + -0.004 theta omega + -0.094 omega^2,3.1977509789e-03,2.4900923226e-03,-2.1351467209e-02,3.0465611202e-04,-3.7739180526e-03,-9.4033633701e-02
17510,2024-10-19 19:15:00,0.190565,7.584757,5.364926,1.005 omega + -0.001 omega^2,-0.001 theta + 0.013 omega + 0.008 omega^2,-3.9317103375e-04,-8.8227205900e-04,1.2887355200e-02,-7.5376961161e-05,2.1009091690e-04,8.2749067272e-03
17511,2024-10-19 19:20:00,0.030630,2.143022,1.515500,0.002 1 + 0.997 omega + 0.002 omega^2,0.004 1 + -0.001 theta + -0.006 omega + 0.001 theta omega + 0.007 omega^2,4.3505767182e-03,-6.5120467934e-04,-6.1782099229e-03,1.4644472189e-05,8.8658238684e-04,7.0670549459e-03
17512,2024-10-19 19:25:00,0.015904,2.224937,1.573308,0.081 1 + 0.001 theta + 1.450 omega + 0.002 theta omega + 0.614 omega^2,0.157 1 + 0.001 theta + 0.872 omega + 0.004 theta omega + 1.187 omega^2,1.5701429138e-01,1.2644611074e-03,8.7227024294e-01,1.4390740069e-06,3.8837946959e-03,1.1868748624e+00
17513,2024-10-19 19:30:00,0.028252,3.214354,2.272979,0.016 1 + 1.100 omega + 0.001 theta omega + 0.148 omega^2,0.032 1 + 0.001 theta + 0.195 omega + 0.003 theta omega + 0.285 omega^2,3.2227985578e-02,7.7861203770e-04,1.9543290851e-01,3.9949734088e-06,2.6097699072e-03,2.8454484649e-01
17514,2024-10-19 19:35:00,0.022452,2.187124,1.546611,0.001 1 + 1.010 omega + 0.001 theta omega + -0.055 omega^2,0.002 1 + 0.020 omega + 0.002 theta omega + -0.106 omega^2,1.7764696683e-03,-3.6544522373e-04,2.0110571598e-02,-4.2820482112e-06,1.8011852646e-03,-1.0633131736e-01
