Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
91000,2025-07-07 02:00:00,nan,nan,nan,-0.072 1 + 0.001 theta + 1.579 omega + -0.005 theta omega + -1.144 omega^2,-0.146 1 + 0.002 theta + 1.167 omega + -0.009 theta omega + -2.301 omega^2,-1.4586053859e-01,2.2317191386e-03,1.1671224184e+00,-6.9900902798e-06,-9.4965736520e-03,-2.3012081730e+00
91001,2025-07-07 02:05:00,0.014675,0.783044,0.553793,0.004 1 + 0.933 omega + -0.001 theta omega + 0.242 omega^2,0.008 1 + -0.125 omega + -0.001 theta omega + 0.456 omega^2,8.0271919619e-03,2.4477707228e-04,-1.2511489445e-01,1.9807802248e-07,-1.3544548637e-03,4.5598129052e-01
91002,2025-07-07 02:10:00,0.061556,10.569632,7.473985,-0.007 1 + 1.041 omega + -0.044 omega^2,-0.015 1 + 0.098 omega + -0.001 theta omega + -0.119 omega^2,-1.5090187526e-02,9.6834048335e-05,9.8174789964e-02,1.3675203732e-06,-8.4426905999e-04,-1.1913510414e-01
91003,2025-07-07 02:15:00,nan,nan,nan,-0.077 1 + 0.001 theta + 1.460 omega + -0.004 theta omega + -0.673 omega^2,-0.150 1 + 0.003 theta + 0.895 omega + -0.008 theta omega + -1.304 omega^2,-1.4971369022e-01,2.5964296170e-03,8.9548264932e-01,-9.5847506426e-06,-8.3224338791e-03,-1.3037758218e+00
91004,2025-07-07 02:20:00,nan,nan,nan,-0.004 1 + 1.019 omega + -0.001 theta omega + 0.028 omega^2,-0.009 1 + 0.042 omega + -0.002 theta omega + 0.053 omega^2,-9.0689657374e-03,2.9886060928e-04,4.2416111430e-02,-5.2585012280e-08,-1.6163202227e-03,5.2992076951e-02
91005,2025-07-07 02:25:00,0.007507,0.205079,0.145110,-0.007 1 + 1.035 omega + -0.001 theta omega + -0.017 omega^2,-0.015 1 + 0.073 omega + -0.002 theta omega + -0.037 omega^2,-1.5119662669e-02,4.8120066040e-04,7.3091138588e-02,4.4876306303e-07,-2.3424373305e-03,-3.7209368200e-02
91006,2025-07-07 02:30:00,0.017126,2.250040,1.591065,0.019 1 + 0.787 omega + 0.001 theta omega + 0.583 omega^2,0.038 1 + -0.429 omega + 0.001 theta omega + 1.180 omega^2,3.8116093536e-02,-1.9157309575e-04,-4.2915946201e-01,-1.2945152082e-06,1.4788263927e-03,1.1798234543e+00
91007,2025-07-07 02:35:00,0.019793,1.059091,0.749021,-0.005 1 + 1.051 omega + -0.002 theta omega + -0.123 omega^2,-0.010 1 + 0.001 theta + 0.101 omega + -0.004 theta omega + -0.236 omega^2,-9.5949562810e-03,5.2738355314e-04,1.0120834683e-01,-4.8457206277e-06,-3.5884870349e-03,-2.3629123913e-01
91008,2025-07-07 02:40:00,0.005382,0.133437,0.094431,0.001 1 + 0.992 omega + 0.028 omega^2,0.002 1 + -0.016 omega + 0.066 omega^2,2.1576670599e-03,-4.2960584971e-05,-1.6421287689e-02,7.7127854038e-07,-1.4567325874e-04,6.5809689383e-02
91009,2025-07-07 02:45:00,nan,nan,nan,0.007 1 + 0.903 omega + -0.001 theta omega + 0.288 omega^2,0.014 1 + -0.189 omega + -0.002 theta omega + 0.565 omega^2,1.4035626112e-02,4.7181908604e-04,-1.8906420975e-01,9.3358284986e-07,-2.1769327673e-03,5.6477660502e-01
