Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
37000,2024-12-31 01:10:00,0.020583,0.355242,0.251615,-0.002 1 + 0.001 theta + 1.015 omega + 0.004 theta omega + 0.336 omega^2,-0.003 1 + 0.002 theta + 0.031 omega + 0.007 theta omega + 0.670 omega^2,-3.0113879392e-03,1.5670217732e-03,3.0610153416e-02,3.7171731277e-04,7.1336981162e-03,6.7003936280e-01
37001,2024-12-31 01:15:00,0.036612,2.954921,2.089605,0.001 1 + 0.992 omega + 0.035 omega^2,0.002 1 + -0.015 omega + 0.075 omega^2,2.2611504920e-03,-1.4873626999e-04,-1.5230324228e-02,-6.2182358679e-07,3.6153782187e-04,7.5157441130e-02
37002,2024-12-31 01:20:00,0.019444,0.418569,0.296292,0.001 1 + 1.000 omega + 0.001 theta omega + -0.049 omega^2,0.002 1 + 0.001 omega + 0.002 theta omega + -0.092 omega^2,1.9706119159e-03,-2.8512582050e-04,1.4029990482e-03,1.4812283661e-07,1.9203618543e-03,-9.1942055882e-02
37003,2024-12-31 01:25:00,0.040650,1.870876,1.323222,0.002 1 + 0.972 omega + 0.072 omega^2,0.003 1 + -0.052 omega + 0.001 theta omega + 0.135 omega^2,3.0147467722e-03,-2.9706769640e-05,-5.2402495441e-02,-1.5816014168e-07,7.3040018486e-04,1.3477914424e-01
37004,2024-12-31 01:30:00,0.039663,3.759523,2.658532,-0.002 1 + 1.014 omega + -0.020 omega^2,-0.005 1 + 0.028 omega + -0.001 theta omega + -0.037 omega^2,-4.5755342493e-03,2.6732816756e-04,2.7987699812e-02,-2.3162355391e-06,-9.3684516049e-04,-3.6873076729e-02
37005,2024-12-31 01:35:00,nan,nan,nan,-0.003 1 + 0.001 theta + 1.019 omega + -0.001 theta omega + -0.043 omega^2,-0.006 1 + 0.002 theta + 0.041 omega + -0.003 theta omega + -0.090 omega^2,-6.3798578788e-03,1.6814078750e-03,4.1350012491e-02,-7.8368161605e-05,-2.9616950532e-03,-8.9993312227e-02
37006,2024-12-31 01:40:00,0.070253,1.646883,1.165581,0.002 1 + 0.965 omega + 0.009 theta omega + 0.016 omega^2,0.004 1 + -0.001 theta + -0.067 omega + 0.018 theta omega + 0.033 omega^2,3.8742272636e-03,-8.1150348345e-04,-6.7200774562e-02,-9.4618336344e-05,1.8474443299e-02,3.3463681626e-02
37007,2024-12-31 01:45:00,0.051849,4.036953,2.854793,0.001 1 + 1.006 omega + 0.001 theta omega + -0.078 omega^2,0.003 1 + 0.013 omega + 0.001 theta omega + -0.154 omega^2,2.7031510261e-03,-4.1097833140e-04,1.3214972824e-02,5.9844377477e-06,1.4122665974e-03,-1.5388864459e-01
37008,2024-12-31 01:50:00,0.027972,0.714421,0.505559,1.023 omega + -0.066 omega^2,0.001 1 + -0.001 theta + 0.048 omega + -0.132 omega^2,6.0111517494e-04,-5.3330623504e-04,4.7728861980e-02,1.4535927384e-05,-3.6423133731e-04,-1.3164351278e-01
37009,2024-12-31 01:55:00,0.046793,3.983290,2.816806,0.001 1 + 0.987 omega + 0.086 omega^2,0.001 1 + -0.021 omega + 0.170 omega^2,1.1259734450e-03,9.7358347518e-06,-2.1332870587e-02,-5.1202518292e-06,-4.4917285540e-05,1.6995921202e-01
37010,2024-12-31 02:00:00,0.035268,2.064811,1.460255,0.002 1 + 1.025 omega + -0.186 omega^2,0.004 1 + -0.001 theta + 0.050 omega + 0.001 theta omega + -0.371 omega^2,3.5536267169e-03,-6.9716872975e-04,4.9907077518e-02,2.0634374398e-05,5.8831248981e-04,-3.7099646396e-01
37011,2024-12-31 02:05:00,0.039808,5.736944,4.056729,1.012 omega + 0.001 theta omega + -0.076 omega^2,0.027 omega + 0.001 theta omega + -0.163 omega^2,4.1988590169e-04,-2.5876009732e-04,2.7144444419e-02,1.0666114922e-06,1.3259017122e-03,-1.6334398832e-01
37012,2024-12-31 02:10:00,nan,nan,nan,0.001 1 + 1.025 omega + 0.003 theta omega + -0.249 omega^2,0.002 1 + -0.001 theta + 0.049 omega + 0.006 theta omega + -0.484 omega^2,2.2599564608e-03,-5.7713238297e-04,4.9077760403e-02,-1.0335643408e-05,5.7257339316e-03,-4.8412870863e-01
37013,2024-12-31 02:15:00,0.016053,2.024805,1.431798,0.021 1 + 0.774 omega + -0.001 theta omega + 0.599 omega^2,0.042 1 + -0.466 omega + -0.002 theta omega + 1.237 omega^2,4.2272573755e-02,4.2172115729e-04,-4.6558712350e-01,-1.5287768478e-06,-1.5931915080e-03,1.2369355179e+00
37014,2024-12-31 02:20:00,nan,nan,nan,-0.046 1 + 0.001 theta + 1.398 omega + -0.003 theta omega + -0.826 omega^2,-0.090 1 + 0.001 theta + 0.788 omega + -0.006 theta omega + -1.631 omega^2,-9.0188552189e-02,1.1005190686e-03,7.8761507198e-01,2.1245367553e-07,-6.0549940090e-03,-1.6310539018e+00
37015,2024-12-31 02:25:00,0.071266,3.424983,2.422353,0.994 omega + 0.001 theta omega + 0.040 omega^2,-0.012 omega + 0.001 theta omega + 0.075 omega^2,-4.1739998274e-04,5.8289146724e-05,-1.1943092373e-02,-2.0973083376e-05,1.0717095392e-03,7.4912864960e-02
37016,2024-12-31 02:30:00,0.061494,1.614965,1.142780,-0.002 1 + -0.001 theta + 1.004 omega + 0.001 theta omega + 0.084 omega^2,-0.004 1 + -0.001 theta + 0.008 omega + 0.002 theta omega + 0.168 omega^2,-3.9601888350e-03,-1.1750672815e-03,8.0194023653e-03,-6.6020777184e-05,2.2224520312e-03,1.6809228957e-01
37017,2024-12-31 02:35:00,0.032795,1.031581,0.729807,1.000 omega + -0.007 omega^2,0.001 omega + 0.001 theta omega + -0.007 omega^2,-2.8909789124e-04,-2.6667644571e-04,1.1101963789e-03,7.1275199622e-07,6.4175067712e-04,-7.1664516636e-03
37018,2024-12-31 02:45:00,0.048265,1.538361,1.088321,0.001 1 + 0.994 omega + 0.001 theta omega + 0.012 omega^2,0.003 1 + -0.009 omega + 0.001 theta omega + 0.032 omega^2,2.5591210625e-03,-4.1392554927e-04,-9.4051853080e-03,6.8591390335e-06,1.2113080887e-03,3.1743031582e-02
37019,2024-12-31 02:50:00,0.016345,1.066513,0.754227,-0.001 1 + 1.002 omega + 0.061 omega^2,-0.002 1 + 0.005 omega + 0.117 omega^2,-2.2834396434e-03,-2.9634761559e-04,4.6462421533e-03,-1.0656533193e-05,-2.5686797036e-04,1.1687353861e-01
37020,2024-12-31 02:55:00,0.040860,1.173588,0.830355,-0.001 1 + 1.006 omega + 0.025 omega^2,-0.001 1 + 0.014 omega + 0.049 omega^2,-9.9845792072e-04,-1.8618938588e-05,1.3949359748e-02,3.2755914950e-06,4.4779946724e-04,4.9264260611e-02
37021,2024-12-31 03:00:00,0.035542,2.231637,1.578206,0.006 1 + 1.075 omega + 0.003 theta omega + 0.157 omega^2,0.013 1 + 0.001 theta + 0.159 omega + 0.006 theta omega + 0.325 omega^2,1.3031064117e-02,7.9262266490e-04,1.5899188703e-01,1.0784759868e-05,5.8068275837e-03,3.2516545450e-01
37022,2024-12-31 03:05:00,nan,nan,nan,-0.001 1 + 1.032 omega + -0.001 theta omega + 0.156 omega^2,-0.002 1 + -0.001 theta + 0.066 omega + -0.002 theta omega + 0.319 omega^2,-1.6285684680e-03,-7.8413155790e-04,6.5597729128e-02,-1.2122017223e-05,-1.9072871581e-03,3.1878320948e-01
37023,2024-12-31 03:10:00,0.100012,4.144309,2.931322,0.003 1 + 0.985 omega + 0.001 theta omega + 0.009 omega^2,0.006 1 + -0.029 omega + 0.002 theta omega + 0.024 omega^2,5.8550398996e-03,-3.8482775378e-04,-2.8707727889e-02,-7.7246919610e-07,1.6188966806e-03,2.3705661845e-02
37024,2024-12-31 03:15:00,0.074986,1.997100,1.413158,0.001 1 + 1.001 omega + 0.001 omega^2,0.001 1 + 0.003 omega + 0.007 omega^2,1.1591569181e-03,-2.1524967901e-04,2.8807071022e-03,-1.0051555633e-05,1.4531336356e-04,6.8963419378e-03
