Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
41000,2025-01-13 23:05:00,0.113457,4.306189,3.045992,0.996 omega + 0.005 omega^2,0.001 1 + -0.004 omega + -0.001 theta omega + 0.021 omega^2,6.3215243066e-04,2.9015266541e-04,-3.8582736861e-03,1.7686555650e-05,-5.0775079251e-04,2.0540407254e-02
41001,2025-01-13 23:10:00,0.018363,0.908430,0.642488,-0.001 1 + 0.999 omega + -0.029 omega^2,-0.001 1 + 0.001 theta omega + -0.067 omega^2,-1.3691325556e-03,-1.8562204257e-04,-2.7316299945e-04,-6.3949800985e-06,6.6528788955e-04,-6.6715647199e-02
41002,2025-01-13 23:15:00,0.041923,4.979310,3.521029,0.994 omega + 0.001 theta omega + -0.120 omega^2,-0.007 omega + 0.003 theta omega + -0.245 omega^2,2.9404869437e-04,2.4970526706e-04,-7.2700925510e-03,8.5422148989e-06,2.5532866154e-03,-2.4532675521e-01
41003,2025-01-13 23:20:00,0.039839,4.530114,3.203398,0.997 omega + -0.001 theta omega + 0.012 omega^2,-0.004 omega + -0.001 theta omega + 0.019 omega^2,3.8078114847e-04,1.6695868274e-04,-4.4523204275e-03,1.1221445895e-05,-1.0721452348e-03,1.8828209308e-02
41004,2025-01-13 23:25:00,0.064513,6.673413,4.719036,0.997 omega + -0.024 omega^2,-0.003 omega + -0.035 omega^2,3.2145961414e-04,9.7143022313e-05,-3.4425122955e-03,3.5276081414e-06,1.1901905081e-04,-3.5170531444e-02
41005,2025-01-13 23:30:00,0.032098,3.308130,2.339311,0.001 1 + 1.036 omega + 0.002 theta omega + 0.089 omega^2,0.003 1 + 0.072 omega + 0.003 theta omega + 0.184 omega^2,3.0676361654e-03,2.3049137493e-06,7.2440857860e-02,-9.2535115695e-06,3.3601882683e-03,1.8394073359e-01
41006,2025-01-13 23:35:00,nan,nan,nan,0.002 1 + 0.001 theta + 1.017 omega + 0.002 theta omega + 0.090 omega^2,0.004 1 + 0.002 theta + 0.037 omega + 0.003 theta omega + 0.182 omega^2,3.8409144467e-03,1.6263833274e-03,3.7154034689e-02,1.1873657612e-04,3.4740614617e-03,1.8249735635e-01
41007,2025-01-13 23:40:00,nan,nan,nan,0.001 theta + 1.006 omega + -0.002 theta omega + -0.065 omega^2,-0.001 1 + 0.001 theta + 0.015 omega + -0.005 theta omega + -0.143 omega^2,-6.5538281835e-04,1.2440980201e-03,1.5183450185e-02,-3.0061362161e-04,-4.9465547170e-03,-1.4280941209e-01
41008,2025-01-13 23:45:00,0.021575,1.020259,0.721593,-0.001 1 + 0.993 omega + -0.031 omega^2,-0.002 1 + -0.010 omega + -0.064 omega^2,-1.8512516008e-03,-3.8853684396e-04,-1.0347463683e-02,-2.1368262330e-05,1.1440056363e-04,-6.4286153620e-02
41009,2025-01-13 23:50:00,0.063993,2.721507,1.924928,-0.001 1 + 1.000 omega + 0.001 theta omega + -0.001 omega^2,-0.002 1 + 0.002 omega + 0.001 theta omega + -0.007 omega^2,-1.8451794085e-03,-2.7171912903e-04,1.8788942540e-03,-4.6504605279e-06,1.0158756722e-03,-7.1892597227e-03
41010,2025-01-13 23:55:00,nan,nan,nan,1.000 omega + -0.002 theta omega + 0.031 omega^2,-0.001 1 + 0.002 omega + -0.003 theta omega + 0.058 omega^2,-5.0036056471e-04,2.1859054551e-05,1.6774866714e-03,3.0236919126e-05,-3.2400484392e-03,5.8262128688e-02
41011,2025-01-14 00:00:00,0.020492,0.521475,0.369023,0.001 1 + 0.988 omega + 0.002 theta omega + -0.156 omega^2,0.002 1 + -0.001 theta + -0.022 omega + 0.005 theta omega + -0.301 omega^2,2.1817923320e-03,-5.3307886740e-04,-2.1629597958e-02,-4.3562641542e-05,5.0891888246e-03,-3.0078351669e-01
41012,2025-01-14 00:05:00,0.649073,24.321244,17.203840,0.996 omega + -0.001 theta omega + 0.032 omega^2,-0.007 omega + -0.002 theta omega + 0.068 omega^2,-8.3036964444e-06,4.6821806848e-05,-7.1010992048e-03,7.2260923815e-06,-2.4309946341e-03,6.7640903462e-02
41013,2025-01-14 00:10:00,0.045538,1.472740,1.041882,0.002 1 + 1.009 omega + -0.003 omega^2,0.005 1 + 0.022 omega + 0.001 theta omega + 0.001 omega^2,4.5141463485e-03,3.4160057996e-04,2.2039441366e-02,6.3372593665e-06,9.3171688305e-04,1.4329342298e-03
41014,2025-01-14 00:15:00,0.055735,4.591865,3.247178,0.001 1 + 1.025 omega + 0.001 theta omega + 0.058 omega^2,0.002 1 + 0.053 omega + 0.002 theta omega + 0.128 omega^2,2.4204105423e-03,-6.7285135905e-05,5.3072068096e-02,-9.1237099578e-06,1.7804438665e-03,1.2842297617e-01
41015,2025-01-14 00:20:00,0.029861,0.898294,0.635541,-0.001 1 + 0.994 omega + -0.015 omega^2,-0.001 1 + -0.007 omega + 0.001 theta omega + -0.021 omega^2,-9.7784750734e-04,1.3325886130e-04,-7.2019988475e-03,1.0099382015e-05,6.0676624373e-04,-2.1102753301e-02
41016,2025-01-14 00:25:00,0.147098,19.084369,13.495087,0.001 1 + 0.001 theta + 1.006 omega + 0.002 theta omega + -0.010 omega^2,0.002 1 + 0.001 theta + 0.014 omega + 0.003 theta omega + -0.017 omega^2,2.4903639848e-03,9.4012670726e-04,1.4118449361e-02,7.8967197294e-06,3.2859057527e-03,-1.7110774637e-02
41017,2025-01-14 00:30:00,0.048971,5.601641,3.961110,0.001 1 + 0.984 omega + -0.001 theta omega + -0.078 omega^2,0.001 1 + -0.032 omega + -0.001 theta omega + -0.151 omega^2,1.1472130017e-03,-1.0240807784e-04,-3.1700394968e-02,-5.8205621456e-08,-1.0055500190e-03,-1.5117240364e-01
41018,2025-01-14 00:35:00,0.127134,8.631952,6.104374,0.001 1 + 0.995 omega + 0.014 omega^2,0.003 1 + -0.008 omega + 0.026 omega^2,2.6866330373e-03,-4.3358633054e-04,-7.9601123092e-03,1.5004042057e-05,-8.7181468853e-05,2.5619307812e-02
41019,2025-01-14 00:40:00,0.270159,18.259090,12.912539,0.001 1 + 1.012 omega + -0.001 theta omega + -0.056 omega^2,0.001 1 + -0.001 theta + 0.026 omega + -0.002 theta omega + -0.117 omega^2,1.0535896172e-03,-5.7201095724e-04,2.6139731798e-02,5.2565075076e-05,-1.7545273606e-03,-1.1721688961e-01
41020,2025-01-14 00:45:00,0.042885,1.723204,1.218866,0.001 1 + 0.990 omega + 0.001 theta omega + -0.035 omega^2,0.003 1 + -0.021 omega + 0.002 theta omega + -0.085 omega^2,2.5428681673e-03,-2.4432360923e-04,-2.1111139400e-02,-8.1182390240e-06,1.7724494485e-03,-8.5020628079e-02
41021,2025-01-14 00:50:00,0.094911,1.421896,1.007670,-0.001 theta + 1.004 omega + 0.008 theta omega + 0.029 omega^2,-0.002 theta + 0.011 omega + 0.015 theta omega + 0.069 omega^2,1.3778457329e-04,-2.0824176898e-03,1.0697339916e-02,6.5607170866e-05,1.4803082171e-02,6.9296760870e-02
41022,2025-01-14 00:55:00,0.056049,5.627662,3.979555,-0.001 1 + 0.990 omega + 0.113 omega^2,-0.003 1 + 0.001 theta + -0.017 omega + -0.001 theta omega + 0.214 omega^2,-2.6884901015e-03,5.0447551537e-04,-1.7273502035e-02,-1.6947289560e-05,-7.5713178563e-04,2.1440147776e-01
41023,2025-01-14 01:00:00,0.017145,0.517349,0.366022,0.001 1 + 1.002 omega + 0.009 omega^2,0.011 omega + -0.001 theta omega + 0.001 omega^2,3.3641031328e-04,-4.8446212477e-05,1.0991434592e-02,1.5298984904e-06,-9.0647029013e-04,9.7036511266e-04
41024,2025-01-14 01:05:00,0.056583,5.898814,4.171283,0.997 omega + -0.028 omega^2,-0.001 1 + -0.003 omega + 0.001 theta omega + -0.063 omega^2,-7.5848358900e-04,2.8273807371e-04,-3.3199117453e-03,-1.5839279547e-05,1.0385813421e-03,-6.2530733399e-02
41025,2025-01-14 01:10:00,0.040541,2.290794,1.620090,-0.001 1 + 0.994 omega + 0.089 omega^2,-0.002 1 + -0.005 omega + 0.160 omega^2,-2.3561830680e-03,4.5213815610e-04,-4.9724879646e-03,-2.2712727331e-05,4.2359164090e-05,1.5993655896e-01
41026,2025-01-14 01:15:00,0.045964,2.561963,1.811873,1.025 omega + -0.001 theta omega + -0.179 omega^2,-0.001 1 + 0.058 omega + -0.001 theta omega + -0.377 omega^2,-1.0366046457e-03,-3.2045461332e-04,5.8128494630e-02,2.6699798809e-05,-1.2567544901e-03,-3.7747409142e-01
41027,2025-01-14 01:20:00,0.031076,1.181925,0.836036,0.002 1 + 0.976 omega + 0.001 theta omega + 0.062 omega^2,0.005 1 + -0.055 omega + 0.002 theta omega + 0.147 omega^2,4.8837607388e-03,-3.8687722506e-04,-5.5016333893e-02,5.6604606113e-06,2.1398521170e-03,1.4717247003e-01
41028,2025-01-14 01:25:00,0.047431,4.915916,3.476239,0.996 omega + -0.003 theta omega + 0.158 omega^2,-0.004 omega + -0.005 theta omega + 0.315 omega^2,-5.8642403185e-05,1.8240864737e-04,-4.4434295301e-03,1.0062500793e-05,-5.2573554461e-03,3.1491902242e-01
41029,2025-01-14 01:30:00,0.031519,2.370840,1.676585,-0.003 1 + 1.049 omega + -0.001 theta omega + -0.220 omega^2,-0.007 1 + 0.103 omega + -0.003 theta omega + -0.425 omega^2,-6.5936377896e-03,2.3355888339e-04,1.0255973937e-01,5.5153318294e-06,-2.8042930871e-03,-4.2494977686e-01
41030,2025-01-14 01:35:00,0.032704,4.421609,3.126635,-0.004 1 + 1.045 omega + -0.004 theta omega + -0.054 omega^2,-0.009 1 + 0.001 theta + 0.092 omega + -0.008 theta omega + -0.110 omega^2,-8.5559563959e-03,9.1510089349e-04,9.1824846392e-02,-1.4525187983e-05,-7.9845665057e-03,-1.1049371042e-01
41031,2025-01-14 01:40:00,0.058571,2.407066,1.702556,0.002 1 + 0.960 omega + 0.002 theta omega + 0.143 omega^2,0.004 1 + -0.079 omega + 0.004 theta omega + 0.292 omega^2,3.6975735736e-03,-1.3948262383e-04,-7.8914155008e-02,-9.5082326736e-06,3.7283971886e-03,2.9189030529e-01
41032,2025-01-14 01:45:00,0.131239,8.482497,5.998749,0.002 1 + 1.019 omega + -0.001 theta omega + -0.097 omega^2,0.004 1 + -0.001 theta + 0.042 omega + -0.002 theta omega + -0.201 omega^2,3.8637863819e-03,-9.7538586922e-04,4.1588080832e-02,4.4950469567e-05,-1.5237193257e-03,-2.0116796379e-01
41033,2025-01-14 01:50:00,0.078057,2.608358,1.845214,-0.003 1 + -0.001 theta + 1.006 omega + 0.002 theta omega + 0.109 omega^2,-0.005 1 + -0.002 theta + 0.014 omega + 0.004 theta omega + 0.214 omega^2,-5.0980025189e-03,-1.8346711924e-03,1.3618839426e-02,-4.5470605130e-05,3.6408066922e-03,2.1439413031e-01
41034,2025-01-14 01:55:00,0.022426,0.618836,0.437871,0.003 1 + 0.958 omega + 0.001 theta omega + 0.112 omega^2,0.006 1 + -0.074 omega + 0.001 theta omega + 0.209 omega^2,5.7709121877e-03,-3.9451748552e-05,-7.3766481520e-02,-5.9871961719e-06,1.1787873115e-03,2.0942367733e-01
