Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
18700,2024-10-23 22:45:00,nan,nan,nan,5202.3066,17,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
18701,2024-10-23 22:50:00,0.005814,0.268741,0.190073,1.0786,1621,0,1.00000omega,-0.001191 + -0.00046theta + -0.00279omega + -0.00010theta^2 + 0.00018theta omega + 0.00022omega^2
18702,2024-10-23 22:55:00,0.007724,0.558428,0.394906,3.8813,3238,0,1.00000omega,-0.000691 + 0.00225theta + -0.00201omega + 0.00018theta^2 + -0.00027theta omega + 0.00021omega^2
18703,2024-10-23 23:00:00,0.004752,0.061571,0.043667,-0.4184,1638,0,1.00000omega,-0.000791 + 0.00028theta + -0.00037omega + -0.00017theta^2 + 0.00049theta omega + -0.00107omega^2
18704,2024-10-23 23:05:00,nan,nan,nan,-809431692973049424988078080.0000,2192,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
18705,2024-10-23 23:10:00,0.005155,0.091629,0.064894,-1.7150,989,0,1.00000omega,0.000811 + -0.00672theta + 0.00029omega + -0.00406theta^2 + -0.00050theta omega + -0.00325omega^2
18706,2024-10-23 23:15:00,0.004580,0.031671,0.022627,-2.3283,1983,0,1.00000omega,-0.004201 + -0.01169theta + 0.00350omega + -0.00132theta^2 + 0.01016theta omega + -0.00365omega^2
18707,2024-10-23 23:20:00,0.004681,0.074524,0.052800,-1.4779,1646,0,1.00000omega,0.058891 + -0.66784theta + 0.00380omega + -0.37887theta^2 + 0.00156theta omega + -0.00417omega^2
18708,2024-10-23 23:25:00,0.004403,0.045355,0.032221,-2.6273,1644,0,1.00000omega,0.006721 + -3.04107theta + -0.00030omega + 0.21561theta^2 + -0.01409theta omega + -0.08648omega^2
18709,2024-10-23 23:30:00,0.343083,11.717279,8.288918,-460948338900992.0000,1425,0,1.00000omega,-0.018831 + -0.56520theta + 0.00057omega + -0.00245theta^2 + 0.00146theta omega + 0.01083omega^2
18710,2024-10-23 23:35:00,nan,nan,nan,442.9091,17,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
18711,2024-10-23 23:40:00,0.004735,0.129590,0.091695,-5.2248,1820,0,1.00000omega,0.001181 + -0.41791theta + 0.02570omega + 0.35013theta^2 + 0.00955theta omega + -0.14508omega^2
18712,2024-10-23 23:45:00,0.008902,0.572640,0.404967,6.7535,1436,0,1.00000omega,0.000781 + -0.00019theta + -0.00143omega + -0.00004theta^2 + 0.00015theta omega + -0.00031omega^2
18713,2024-10-23 23:50:00,0.022395,0.528381,0.373958,184.5895,148,5,1.00000omega,-0.002471 + -0.01880theta + -0.00231omega + 0.00003theta^2 + -0.00189theta omega + -0.00026omega^2
18714,2024-10-23 23:55:00,0.004295,0.139926,0.098989,-2.4487,2592,0,1.00000omega,0.007671 + -0.04243theta + -0.00637omega + -0.05047theta^2 + 0.21706theta omega + 0.01262omega^2
18715,2024-10-24 00:00:00,0.005771,0.125910,0.089125,-1.0299,1286,0,1.00000omega,0.002571 + -0.00350theta + 0.01299omega + -0.00008theta^2 + -0.00138theta omega + -0.00051omega^2
18716,2024-10-24 00:05:00,0.006785,0.220803,0.156205,9.6738,2008,0,1.00000omega,-0.002091 + 0.00066theta + -0.00103omega + 0.00003theta^2 + -0.00016theta omega + -0.00016omega^2
18717,2024-10-24 00:10:00,nan,nan,nan,169.8512,101,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
18718,2024-10-24 00:15:00,0.023588,0.703094,0.497442,-586.1890,562,0,1.00000omega,0.001611 + -0.00117theta + -0.02313omega + -0.00096theta^2 + 0.00161theta omega + 0.00168omega^2
18719,2024-10-24 00:20:00,0.004973,0.092921,0.065799,-1.3300,1664,0,1.00000omega,0.013601 + -0.00142theta + -0.01079omega + 0.00136theta^2 + 0.00026theta omega + 0.00268omega^2
18720,2024-10-24 00:25:00,0.013976,0.256270,0.181479,-1.7068,1764,0,1.00000omega,0.031941 + 0.01023theta + -0.00262omega + -0.00211theta^2 + -0.02572theta omega + -0.00222omega^2
18721,2024-10-24 00:30:00,nan,nan,nan,6731.9990,17,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
18722,2024-10-24 00:35:00,0.004066,0.031906,0.022743,-2.7797,1484,0,1.00000omega,0.006011 + -1.86857theta + -0.00169omega + 0.05215theta^2 + -0.37747theta omega + 0.01317omega^2
18723,2024-10-24 00:40:00,0.004569,0.077462,0.054869,-2.5924,1358,0,1.00000omega,0.043291 + -0.13477theta + 0.00256omega + 0.00408theta^2 + 0.01616theta omega + 0.00081omega^2
18724,2024-10-24 00:45:00,0.005112,0.042937,0.030576,-0.6514,1647,5,1.00000omega,0.000751 + 0.00022theta + 0.00084omega + 0.00003theta^2 + 0.00006theta omega + -0.00012omega^2
18725,2024-10-24 00:50:00,0.008575,0.152890,0.108279,-0.4469,1398,0,1.00000omega,-0.003831 + -0.00078theta + -0.00291omega + -0.00048theta^2 + 0.00084theta omega + -0.00102omega^2
18726,2024-10-24 00:55:00,0.910848,11.076930,7.859008,-89123213803520.0000,1746,0,1.00000omega,-0.013611 + -0.55412theta + -0.00312omega + -0.00043theta^2 + 0.00184theta omega + -0.00024omega^2
18727,2024-10-24 01:00:00,nan,nan,nan,56.1332,22,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
18728,2024-10-24 01:05:00,nan,nan,nan,629.8833,28,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
18729,2024-10-24 01:10:00,0.024483,0.231797,0.164817,21.0403,53,5,1.00000omega,-0.000291 + -0.30574theta + 0.00474omega + -0.02620theta^2 + -0.03362theta omega + 0.00418omega^2
18730,2024-10-24 01:15:00,0.003951,0.029499,0.021045,-1.0102,1601,0,1.00000omega,-0.001961 + 0.00273theta + 0.00338omega + -0.00343theta^2 + -0.00023theta omega + -0.00260omega^2
18731,2024-10-24 01:20:00,nan,nan,nan,142.6732,45,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
18732,2024-10-24 01:25:00,nan,nan,nan,7.7356,66,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
18733,2024-10-24 01:30:00,0.004386,0.050373,0.035754,-2.2812,1686,1,1.00000omega,-0.000121 + -0.00639theta + -0.01134omega + -0.00183theta^2 + -0.00295theta omega + 0.00140omega^2
18734,2024-10-24 01:35:00,0.003987,0.185196,0.130984,-0.7434,2396,0,1.00000omega,-0.000621 + 0.00108theta + 0.00283omega + -0.00063theta^2 + -0.00031theta omega + -0.00014omega^2
18735,2024-10-24 01:40:00,nan,nan,nan,32.2452,56,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
18736,2024-10-24 01:45:00,0.005516,0.193782,0.137080,-112268279808.0000,1721,0,1.00000omega,-0.000631 + 0.00187theta + -0.00034omega + 0.00009theta^2 + -0.00098theta omega + -0.00069omega^2
18737,2024-10-24 01:50:00,nan,nan,nan,49592.7344,16,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
18738,2024-10-24 01:55:00,0.037461,0.696441,0.493170,-30182.5430,708,0,1.00000omega,0.017431 + -0.00173theta + 0.00042omega + -0.00004theta^2 + -0.00098theta omega + 0.00708omega^2
18739,2024-10-24 02:00:00,0.014922,0.508276,0.359560,8.5209,2547,0,1.00000omega,-0.008331 + -0.09637theta + -0.00189omega + -0.00325theta^2 + 0.00061theta omega + -0.00644omega^2
18740,2024-10-24 02:05:00,0.161263,3.512978,2.486666,-6293097.0000,903,0,1.00000omega,-0.028311 + -0.35328theta + 0.02448omega + 0.04901theta^2 + -0.00655theta omega + -0.01405omega^2
18741,2024-10-24 02:10:00,0.012391,0.757828,0.535937,-8294800308270215927153135976448.0000,1471,5,1.00000omega,0.007141 + -0.00047theta + -0.00090omega + 0.00022theta^2 + -0.00006theta omega + 0.00006omega^2
18742,2024-10-24 02:15:00,nan,nan,nan,14.8702,81,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
18743,2024-10-24 02:20:00,nan,nan,nan,366.8762,39,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
