Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
46420,2025-02-01 19:45:00,0.022715,0.365262,0.258778,-77922.4609,1045,0,1.00000omega,0.000111 + -0.00028theta + -0.00408omega + -0.00003theta^2 + 0.00653theta omega + -0.00088omega^2
46421,2025-02-01 19:50:00,nan,nan,nan,1962.2268,18,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
46422,2025-02-01 19:55:00,0.006779,0.158319,0.112051,-3.2716,705,0,1.00000omega,-0.004641 + 0.00117theta + -0.00201omega + -0.00092theta^2 + -0.00057theta omega + 0.00488omega^2
46423,2025-02-01 20:00:00,nan,nan,nan,72.4462,57,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
46424,2025-02-01 20:05:00,0.011772,0.094262,0.067171,-1.0532,1317,0,1.00000omega,-0.036281 + -0.00150theta + -0.01400omega + -0.00027theta^2 + 0.00974theta omega + -0.00159omega^2
46425,2025-02-01 20:10:00,0.005403,0.039563,0.028235,-0.8999,970,0,1.00000omega,-0.000771 + -0.02251theta + 0.00126omega + -0.01168theta^2 + 0.00343theta omega + 0.00679omega^2
46426,2025-02-01 20:15:00,0.010642,0.295741,0.209256,-41.3694,2114,0,1.00000omega,0.000141 + 0.00124theta + 0.01005omega + -0.00129theta^2 + 0.00454theta omega + -0.00939omega^2
46427,2025-02-01 20:20:00,0.065045,2.101986,1.487040,939.7796,28,5,1.00000omega,0.002221 + 0.00005theta + -0.00380omega + 0.00009theta^2 + -0.00005theta omega + 0.00021omega^2
46428,2025-02-01 20:25:00,nan,nan,nan,94.0792,26,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
46429,2025-02-01 20:30:00,0.007165,0.283172,0.200297,-4823.6240,3233,1,1.00000omega,0.000651 + 0.00032theta + -0.00626omega + 0.00025theta^2 + 0.00083theta omega + 0.00442omega^2
46430,2025-02-01 20:35:00,0.005430,0.153455,0.108577,-1.1421,1749,0,1.00000omega,0.000631 + -0.08589theta + -0.00453omega + 0.00005theta^2 + -0.00074theta omega + 0.00121omega^2
46431,2025-02-01 20:40:00,0.004490,0.071762,0.050842,-1.9308,902,0,1.00000omega,0.000991 + -0.86988theta + -0.00538omega + 0.01785theta^2 + 0.01307theta omega + -0.00171omega^2
46432,2025-02-01 20:45:00,0.004238,0.119784,0.084753,-1.7938,1669,0,1.00000omega,0.000721 + -0.00641theta + 0.00304omega + -0.00154theta^2 + -0.00309theta omega + 0.02764omega^2
46433,2025-02-01 20:50:00,nan,nan,nan,181.3676,51,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
46434,2025-02-01 20:55:00,0.003970,0.037340,0.026552,-1.7908,1325,0,1.00000omega,-0.013591 + -0.61105theta + -0.01044omega + -0.00647theta^2 + -0.00910theta omega + -0.01139omega^2
