Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
73197,2025-05-06 04:25:00,1.860365,46.617268,32.989624,-68605458239193088.0000,1763,0,1.00000omega,0.002051 + -0.00071theta + -0.00065omega + -0.00000theta^2 + 0.00001theta omega + -0.00001omega^2
73198,2025-05-06 04:30:00,0.014438,0.828511,0.585934,-74863985124126096359424.0000,1641,0,1.00000omega,-0.003051 + -0.00294theta + -0.04656omega + 0.00050theta^2 + -0.00030theta omega + 0.00008omega^2
73199,2025-05-06 04:35:00,nan,nan,nan,174.6606,41,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73200,2025-05-06 04:40:00,0.006306,0.040644,0.029084,-1.2727,1668,0,1.00000omega,0.029491 + -2.04857theta + 0.02464omega + -0.01617theta^2 + 0.01605theta omega + 0.00577omega^2
73201,2025-05-06 04:45:00,0.006166,0.081041,0.057470,-2.6238,2099,0,1.00000omega,-0.002591 + -0.57694theta + -0.41009omega + -0.06035theta^2 + -0.02328theta omega + -0.04563omega^2
73202,2025-05-06 04:50:00,0.005061,0.032372,0.023169,-1.4333,1060,0,1.00000omega,-0.187781 + -3.80868theta + 0.00428omega + -0.00167theta^2 + -0.00244theta omega + -0.06137omega^2
73203,2025-05-06 04:55:00,0.006409,0.031252,0.022558,-1.2331,1378,0,1.00000omega,0.012561 + -0.00167theta + 0.00049omega + -0.00074theta^2 + 0.00224theta omega + 0.00134omega^2
73204,2025-05-06 05:00:00,0.005830,0.170983,0.120974,0.1041,1975,0,1.00000omega,-0.000131 + 0.00011theta + 0.00041omega + 0.00000theta^2 + 0.00010theta omega + -0.00021omega^2
73205,2025-05-06 05:05:00,0.009306,0.399774,0.282759,-9.3638,845,0,1.00000omega,0.000801 + -2.06006theta + -0.03335omega + 0.02474theta^2 + -0.02084theta omega + -0.07187omega^2
73206,2025-05-06 05:10:00,0.037486,0.446640,0.316932,-4460111.0000,1022,0,1.00000omega,0.001081 + -0.00096theta + -0.00009omega + -0.00250theta^2 + -0.00068theta omega + 0.00103omega^2
73207,2025-05-06 05:15:00,0.007333,0.235197,0.166390,-9.4397,1719,0,1.00000omega,0.002741 + -0.46459theta + -0.01674omega + 0.00203theta^2 + -0.00784theta omega + 0.00550omega^2
73208,2025-05-06 05:20:00,0.018578,0.539807,0.381927,-2.3658,1639,0,1.00000omega,-0.000211 + -0.00239theta + 0.00226omega + -0.00032theta^2 + -0.01704theta omega + -0.00088omega^2
73209,2025-05-06 05:25:00,0.009816,0.271675,0.192229,0.5597,1434,0,1.00000omega,-0.003711 + -0.00128theta + 0.00018omega + 0.00007theta^2 + -0.00016theta omega + 0.00018omega^2
73210,2025-05-06 05:30:00,nan,nan,nan,142.5588,38,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73211,2025-05-06 05:35:00,0.007696,0.212127,0.150095,-7.6851,1737,0,1.00000omega,-0.003291 + 0.00181theta + -0.00178omega + 0.00063theta^2 + 0.00253theta omega + 0.00281omega^2
73212,2025-05-06 05:40:00,0.006894,0.121288,0.085902,0.8667,1096,0,1.00000omega,0.007161 + -0.00061theta + 0.00066omega + 0.00114theta^2 + 0.00054theta omega + -0.00115omega^2
73213,2025-05-06 05:45:00,0.005102,0.072826,0.051622,-2.5066,1517,0,1.00000omega,-0.001011 + -0.00186theta + -0.00083omega + 0.00042theta^2 + -0.00278theta omega + -0.00070omega^2
73214,2025-05-06 05:50:00,0.012340,0.292966,0.207342,-36.0229,804,0,1.00000omega,0.016271 + -2.68953theta + -0.02022omega + 0.00541theta^2 + 1.79399theta omega + -0.01927omega^2
73215,2025-05-06 05:55:00,0.006100,0.106066,0.075124,-1.1894,1774,0,1.00000omega,0.005041 + 0.01096theta + 0.00048omega + -0.00004theta^2 + -0.00186theta omega + 0.00169omega^2
73216,2025-05-06 06:00:00,0.006275,0.091174,0.064623,-1.4859,2233,1,1.00000omega,-0.005521 + 0.00046theta + -0.00596omega + 0.00001theta^2 + -0.00022theta omega + 0.00092omega^2
73217,2025-05-06 06:05:00,0.020000,0.455872,0.322660,-860.7981,1012,1,1.00000omega,0.002911 + -0.17875theta + 0.01746omega + -0.00159theta^2 + -0.00001theta omega + 0.00082omega^2
73218,2025-05-06 06:10:00,nan,nan,nan,2858.9041,5,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73219,2025-05-06 06:15:00,0.007502,0.029942,0.021827,-1.8262,1306,0,1.00000omega,0.003631 + -0.00111theta + -0.00115omega + 0.00015theta^2 + -0.00024theta omega + 0.00101omega^2
73220,2025-05-06 06:20:00,0.455212,12.123823,8.578877,-1502962122752.0000,1437,0,1.00000omega,-0.011221 + -0.41950theta + -0.63625omega + -0.02654theta^2 + 0.01536theta omega + 0.03272omega^2
73221,2025-05-06 06:25:00,0.006093,0.194670,0.137720,0.5576,2702,0,1.00000omega,-0.002671 + 0.00026theta + -0.02116omega + -0.00004theta^2 + 0.00044theta omega + 0.00088omega^2
73222,2025-05-06 06:30:00,0.008525,0.082128,0.058386,3.4064,2219,0,1.00000omega,0.004061 + -0.00141theta + -0.00017omega + -0.00002theta^2 + -0.00013theta omega + -0.00042omega^2
73223,2025-05-06 06:35:00,0.073222,1.750608,1.238949,973.7128,28,5,1.00000omega,0.000981 + -0.00033theta + 0.00464omega + -0.00007theta^2 + -0.00000theta omega + 0.00080omega^2
73224,2025-05-06 06:40:00,0.045808,0.462218,0.328438,67.4811,35,5,1.00000omega,-0.006031 + -0.00984theta + 0.00373omega + -0.00952theta^2 + 0.00125theta omega + -0.03893omega^2
73225,2025-05-06 06:45:00,0.067517,0.944601,0.669638,170.3067,23,5,1.00000omega,0.003151 + -0.00408theta + 0.00352omega + 0.01818theta^2 + 0.00159theta omega + 0.00220omega^2
73226,2025-05-06 06:50:00,nan,nan,nan,69.5402,58,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73227,2025-05-06 06:55:00,0.025811,1.327678,0.938988,-134563397369856.0000,1489,5,1.00000omega,-0.001051 + 0.00834theta + 0.00214omega + 0.00013theta^2 + -0.00130theta omega + 0.00063omega^2
73228,2025-05-06 07:00:00,0.040110,0.800622,0.566836,158.8192,70,5,1.00000omega,-0.000601 + 0.00041theta + -0.00892omega + -0.00003theta^2 + 0.00012theta omega + -0.00098omega^2
73229,2025-05-06 07:05:00,0.008936,0.279120,0.197469,-566.8365,1281,0,1.00000omega,0.011261 + -0.03468theta + -0.00755omega + 0.01013theta^2 + -0.00583theta omega + -0.00249omega^2
73230,2025-05-06 07:10:00,0.005647,0.078133,0.055392,-2.5403,1167,0,1.00000omega,0.011801 + -0.84682theta + 0.00425omega + 0.00126theta^2 + -0.01167theta omega + 0.01988omega^2
73231,2025-05-06 07:15:00,nan,nan,nan,1053.4690,23,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73232,2025-05-06 07:20:00,nan,nan,nan,54.2768,74,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73233,2025-05-06 07:25:00,0.004678,0.099610,0.070512,-1.5214,1264,0,1.00000omega,-0.004001 + 0.00032theta + 0.00436omega + -0.00000theta^2 + 0.00244theta omega + 0.00162omega^2
73234,2025-05-06 07:30:00,nan,nan,nan,336.1089,27,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73235,2025-05-06 07:35:00,nan,nan,nan,46901.9922,5,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73236,2025-05-06 07:40:00,nan,nan,nan,191.4969,18,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
