Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2,Coeff_Theta3,Coeff_Theta2Omega,Coeff_ThetaOmega2,Coeff_Omega3
60123,2025-03-21 12:30:00,nan,nan,nan,0.001 1 + -0.001 theta + 0.998 omega + -0.001 theta^2 + -0.005 theta omega + -0.140 omega^2 + -0.001 theta^2 omega + -0.028 theta omega^2 + 0.527 omega^3,0.001 1 + -0.002 theta + 0.003 omega + -0.001 theta^2 + -0.012 theta omega + -0.295 omega^2 + -0.002 theta^2 omega + -0.062 theta omega^2 + 0.398 omega^3,1.3341232419e-03,-2.3834940987e-03,3.2098439271e-03,-1.1190253429e-03,-1.1924562962e-02,-2.9538000929e-01,-1.1567686813e-04,-1.7014042705e-03,-6.2265833822e-02,3.9816270910e-01
60124,2025-03-21 12:35:00,0.036975,2.147494,1.518732,0.044 1 + -0.004 theta + 0.162 omega + 0.068 theta omega + 3.659 omega^2 + -0.001 theta^2 omega + -0.249 theta omega^2 + 2.211 omega^3,0.091 1 + -0.008 theta + -1.733 omega + 0.141 theta omega + 7.572 omega^2 + -0.002 theta^2 omega + -0.517 theta omega^2 + 4.625 omega^3,9.0583028995e-02,-7.8209594276e-03,-1.7326582762e+00,3.7893820567e-05,1.4118388492e-01,7.5720437688e+00,5.9740611766e-06,-2.0163500801e-03,-5.1718673666e-01,4.6249088959e+00
60125,2025-03-21 12:40:00,0.072174,6.458023,4.566797,0.984 omega + -0.005 theta omega + 0.764 omega^2 + 0.015 theta omega^2 + -4.402 omega^3,0.001 1 + -0.001 theta + -0.021 omega + -0.011 theta omega + 1.427 omega^2 + 0.030 theta omega^2 + -8.306 omega^3,6.3903012775e-04,-5.3599128250e-04,-2.0878579724e-02,1.0162348073e-04,-1.1008974096e-02,1.4268657781e+00,-3.3678265125e-06,2.1638021245e-04,3.0270194270e-02,-8.3059087627e+00
60126,2025-03-21 12:45:00,0.096865,7.275286,5.144860,0.998 omega + -0.003 theta omega + 0.455 omega^2 + 0.051 theta omega^2 + -4.426 omega^3,-0.007 omega + -0.006 theta omega + 0.904 omega^2 + 0.092 theta omega^2 + -8.374 omega^3,-4.8753023787e-04,2.6344781197e-04,-7.0090399150e-03,-3.5108221855e-05,-6.0587294932e-03,9.0417543122e-01,2.3574288006e-06,-3.8651247956e-04,9.1719439523e-02,-8.3736001484e+00
60127,2025-03-21 12:50:00,0.014486,0.357083,0.252704,1.001 omega + -0.005 theta omega + 0.181 omega^2 + -0.061 theta omega^2 + 2.901 omega^3,-0.001 theta + 0.003 omega + -0.009 theta omega + 0.483 omega^2 + 0.001 theta^2 omega + -0.133 theta omega^2 + 5.671 omega^3,2.1607659493e-04,-7.9711532102e-04,2.8501686665e-03,3.4741107249e-04,-9.0837642212e-03,4.8255819064e-01,-2.6471693726e-05,6.2851947480e-04,-1.3280709410e-01,5.6714675936e+00
60128,2025-03-21 12:55:00,0.110334,5.330784,3.770241,-0.002 1 + 0.967 omega + 0.004 theta omega + 0.714 omega^2 + -0.054 theta omega^2 + -0.910 omega^3,-0.006 1 + 0.001 theta + -0.047 omega + 0.005 theta omega + 1.409 omega^2 + -0.105 theta omega^2 + -1.839 omega^3,-6.2941745116e-03,6.7150774358e-04,-4.7255942138e-02,7.3000900276e-05,4.9191493331e-03,1.4088532937e+00,-6.2346460654e-06,-1.0969293153e-04,-1.0525959131e-01,-1.8387656607e+00
60129,2025-03-21 13:00:00,0.016607,2.103974,1.487781,-0.066 1 + 0.002 theta + -0.225 omega + 0.014 theta omega + -7.243 omega^2 + 0.021 theta omega^2 + -13.292 omega^3,-0.131 1 + 0.003 theta + -2.429 omega + 0.028 theta omega + -14.460 omega^2 + 0.044 theta omega^2 + -26.698 omega^3,-1.3067239932e-01,2.9969333090e-03,-2.4293284356e+00,4.6203590792e-06,2.8224282742e-02,-1.4459642056e+01,-2.4207994876e-07,1.5388455085e-04,4.3571713431e-02,-2.6697737362e+01
60130,2025-03-21 13:05:00,0.033077,0.908161,0.642593,0.024 1 + 0.001 theta + 1.254 omega + 0.014 theta omega + 0.536 omega^2 + 0.037 theta omega^2 + -0.487 omega^3,0.048 1 + 0.002 theta + 0.520 omega + 0.028 theta omega + 1.124 omega^2 + 0.073 theta omega^2 + -0.880 omega^3,4.8027688619e-02,2.2512887377e-03,5.2039201051e-01,-1.5145907808e-05,2.8417834411e-02,1.1237986090e+00,-1.7918837966e-07,1.1554505250e-05,7.2993277759e-02,-8.8015009109e-01
60131,2025-03-21 13:10:00,0.010395,0.266938,0.188897,-0.011 1 + -0.001 theta + 0.917 omega + -0.003 theta omega + -0.115 omega^2 + -0.004 theta omega^2 + 0.236 omega^3,-0.022 1 + -0.001 theta + -0.161 omega + -0.006 theta omega + -0.110 omega^2 + -0.006 theta omega^2 + 0.844 omega^3,-2.1670521481e-02,-1.2665702834e-03,-1.6054932582e-01,-3.6970868141e-05,-5.6220516558e-03,-1.0992189467e-01,-5.7371352693e-07,-4.0404887263e-05,-5.6670417794e-03,8.4417044613e-01
60132,2025-03-21 13:15:00,0.079706,2.855709,2.020078,-0.001 1 + -0.002 theta + 1.016 omega + -0.022 theta omega + -0.129 omega^2 + -0.001 theta^2 omega + 0.039 theta omega^2 + -4.944 omega^3,-0.001 1 + -0.003 theta + 0.036 omega + -0.044 theta omega + -0.277 omega^2 + -0.002 theta^2 omega + 0.078 theta omega^2 + -10.030 omega^3,-1.0930284773e-03,-3.2143377948e-03,3.6078723485e-02,3.1317177553e-05,-4.3920962407e-02,-2.7740343141e-01,5.5686526342e-06,-1.8918130245e-03,7.7944549460e-02,-1.0029706418e+01
