Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
93500,2025-07-15 18:45:00,0.064084,5.054934,3.574665,0.997 omega + -0.002 theta omega + 0.124 omega^2,0.001 1 + -0.004 omega + -0.004 theta omega + 0.238 omega^2,7.5706306827e-04,6.4961837258e-06,-4.1671428142e-03,1.2384468841e-05,-3.6168035598e-03,2.3809659250e-01
93501,2025-07-15 18:50:00,0.032692,2.142987,1.515497,-0.006 1 + 1.065 omega + -0.002 theta omega + -0.144 omega^2,-0.013 1 + 0.131 omega + -0.004 theta omega + -0.285 omega^2,-1.2940377329e-02,4.9766707012e-04,1.3108416994e-01,-1.4678134604e-06,-3.7059540861e-03,-2.8494771301e-01
93502,2025-07-15 18:55:00,0.049109,5.133731,3.630262,-0.008 1 + 1.096 omega + -0.002 theta omega + -0.211 omega^2,-0.016 1 + 0.193 omega + -0.004 theta omega + -0.422 omega^2,-1.5979348692e-02,2.3014831738e-04,1.9280485670e-01,4.9239376138e-06,-3.5969543599e-03,-4.2164889803e-01
93503,2025-07-15 19:00:00,0.012096,0.311354,0.220326,-0.001 1 + 0.989 omega + -0.001 theta omega + 0.127 omega^2,-0.003 1 + -0.015 omega + -0.001 theta omega + 0.244 omega^2,-2.8063638019e-03,3.7235256426e-04,-1.5156589337e-02,-8.6009444243e-06,-1.2522877534e-03,2.4367443100e-01
93504,2025-07-15 19:05:00,nan,nan,nan,-0.020 1 + 0.001 theta + 1.191 omega + -0.008 theta omega + -0.297 omega^2,-0.042 1 + 0.003 theta + 0.397 omega + -0.017 theta omega + -0.625 omega^2,-4.2211440459e-02,2.5473612642e-03,3.9698550479e-01,-2.3776069174e-05,-1.6765237278e-02,-6.2491987203e-01
93505,2025-07-15 19:10:00,0.012459,0.233985,0.165687,0.002 1 + 0.976 omega + 0.001 theta omega + 0.034 omega^2,0.004 1 + -0.043 omega + 0.001 theta omega + 0.067 omega^2,4.0312211127e-03,8.9669449581e-06,-4.3448658320e-02,-7.1342387202e-06,1.2762052309e-03,6.7367808603e-02
93506,2025-07-15 19:15:00,0.011507,0.292042,0.206665,0.004 1 + 1.042 omega + 0.001 theta omega + 0.075 omega^2,0.007 1 + 0.086 omega + 0.002 theta omega + 0.158 omega^2,7.3682374934e-03,7.5369606226e-05,8.5545035774e-02,-3.1646192465e-06,1.5774170875e-03,1.5761555089e-01
93507,2025-07-15 19:20:00,nan,nan,nan,0.031 1 + 0.001 theta + 1.205 omega + 0.005 theta omega + 0.275 omega^2,0.063 1 + 0.003 theta + 0.415 omega + 0.011 theta omega + 0.554 omega^2,6.3445659474e-02,3.0110449996e-03,4.1471498795e-01,3.4328103547e-05,1.1072509763e-02,5.5376527457e-01
93508,2025-07-15 19:25:00,0.012350,0.307356,0.217509,0.001 1 + 1.001 omega + -0.004 omega^2,0.002 1 + 0.002 omega + -0.001 omega^2,1.5457860600e-03,-1.4890236187e-04,2.0082957114e-03,2.1188559954e-06,4.3677537262e-05,-8.0226778203e-04
93509,2025-07-15 19:30:00,0.015281,0.421989,0.298587,0.999 omega + 0.001 theta omega + -0.043 omega^2,-0.001 omega + 0.003 theta omega + -0.088 omega^2,2.6551304409e-04,-4.1845133946e-04,-1.2299893583e-03,-6.0622438142e-06,2.5721296990e-03,-8.7899194407e-02
93510,2025-07-15 19:35:00,0.019076,1.626259,1.150018,0.992 omega + -0.003 theta omega + 0.195 omega^2,-0.001 1 + -0.016 omega + -0.006 theta omega + 0.421 omega^2,-5.8456429718e-04,3.8351704710e-04,-1.6413294496e-02,7.3371061838e-06,-5.9002572025e-03,4.2137585072e-01
93511,2025-07-15 19:40:00,0.025832,0.953796,0.674683,0.998 omega + -0.020 omega^2,0.001 1 + -0.004 omega + -0.043 omega^2,8.2933885181e-04,-2.6381561286e-05,-3.9363220331e-03,-1.0975163443e-05,1.3385920019e-04,-4.2529521422e-02
93512,2025-07-15 19:45:00,0.015841,1.149220,0.812698,1.002 omega + -0.002 theta omega + 0.070 omega^2,0.001 1 + 0.006 omega + -0.003 theta omega + 0.132 omega^2,8.5276426108e-04,-1.2915133046e-04,5.6592561508e-03,1.6623598479e-05,-3.2989992480e-03,1.3217747584e-01
