Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
69519,2025-04-23 07:45:00,0.030171,1.338861,0.946958,1.015 omega + -0.039 omega^2,0.001 1 + 0.033 omega + -0.001 theta omega + -0.082 omega^2,7.9783157160e-04,-3.3738002234e-04,3.2504620251e-02,1.0640989570e-05,-7.2850577874e-04,-8.2218883809e-02
69520,2025-04-23 07:50:00,nan,nan,nan,-0.001 1 + 1.012 omega + 0.106 omega^2,-0.003 1 + 0.024 omega + -0.001 theta omega + 0.210 omega^2,-2.7399734123e-03,-2.8126484845e-04,2.4023178111e-02,-6.9665400775e-06,-9.1135398084e-04,2.1040678222e-01
69521,2025-04-23 07:55:00,0.020779,0.498789,0.353003,-0.023 1 + -0.001 theta + 0.870 omega + -0.004 theta omega + -0.133 omega^2,-0.045 1 + -0.003 theta + -0.253 omega + -0.008 theta omega + -0.253 omega^2,-4.4951979453e-02,-2.5257457176e-03,-2.5299033380e-01,-3.1174446030e-05,-8.1202783362e-03,-2.5339130415e-01
69522,2025-04-23 08:00:00,0.062967,3.940663,2.786825,0.001 1 + 1.006 omega + -0.001 theta omega + -0.021 omega^2,0.002 1 + 0.013 omega + -0.002 theta omega + -0.045 omega^2,1.8206658816e-03,-1.7230947799e-04,1.2556228552e-02,-1.4238554615e-05,-2.0755603184e-03,-4.5442992971e-02
69523,2025-04-23 08:05:00,nan,nan,nan,0.001 1 + -0.001 theta + 1.006 omega + 0.003 theta omega + -0.163 omega^2,0.003 1 + -0.001 theta + 0.012 omega + 0.006 theta omega + -0.316 omega^2,2.9469513227e-03,-1.0976267847e-03,1.2202458840e-02,3.4444766113e-05,6.4079718104e-03,-3.1566961032e-01
69524,2025-04-23 08:10:00,0.020383,0.621413,0.439642,0.975 omega + -0.001 theta omega + -0.098 omega^2,-0.001 1 + -0.060 omega + -0.003 theta omega + -0.220 omega^2,-1.4959819684e-03,4.4291603455e-05,-5.9588185454e-02,1.4259330708e-05,-3.4728165102e-03,-2.2041763106e-01
69525,2025-04-23 08:15:00,0.033099,1.125835,0.796430,0.001 1 + -0.001 theta + 0.999 omega + -0.002 theta omega + 0.116 omega^2,0.001 1 + -0.002 theta + -0.001 omega + -0.004 theta omega + 0.216 omega^2,1.1253049623e-03,-1.6964901127e-03,-1.2179292836e-03,2.2030342470e-04,-3.7055099069e-03,2.1622595765e-01
69526,2025-04-23 08:20:00,0.053515,5.467225,3.866097,1.039 omega + -0.001 theta omega + 0.164 omega^2,-0.001 theta + 0.080 omega + -0.001 theta omega + 0.330 omega^2,-1.0392443787e-04,-5.7180622546e-04,7.9547558667e-02,-6.8971809720e-06,-1.2819017231e-03,3.3018242667e-01
69527,2025-04-23 08:25:00,0.062720,5.118204,3.619388,-0.002 1 + 0.962 omega + -0.002 theta omega + -0.128 omega^2,-0.004 1 + -0.076 omega + -0.003 theta omega + -0.258 omega^2,-3.6269397882e-03,-1.5559538019e-04,-7.5562217880e-02,5.5368014518e-06,-3.0573760034e-03,-2.5847291340e-01
69528,2025-04-23 08:30:00,0.061996,4.883212,3.453230,1.006 omega + 0.056 omega^2,0.011 omega + -0.001 theta omega + 0.105 omega^2,-1.1522464218e-04,-3.3543769407e-04,1.1417167766e-02,-3.0733744495e-05,-7.8455386406e-04,1.0518237165e-01
