Chunk_Index,Chunk_Start_Time,RMSE_Omega,Is_Unstable,P0_Effective,Omega_Std,Omega_Mean
0,2024-08-15 01:00:00,0.12689846,0,-2.27709390e-03,1.13986300e-01,-5.13718628e-02
1,2024-08-15 02:00:00,0.10204014,0,6.03179220e-04,9.72724557e-02,2.32228149e-02
2,2024-08-15 03:00:00,0.09445239,0,5.88673794e-04,9.55140389e-02,1.30478495e-02
3,2024-08-15 04:00:00,0.10895838,0,-2.23375199e-03,1.21785549e-01,-3.89195384e-02
4,2024-08-15 05:00:00,0.09262313,0,1.05686287e-05,9.45856661e-02,-1.45133368e-02
5,2024-08-15 06:00:00,0.10056098,0,-4.19869175e-04,9.32530236e-02,-1.67966340e-02
6,2024-08-15 07:00:00,0.08840181,0,4.51124200e-04,8.71653366e-02,1.17081250e-02
7,2024-08-15 08:00:00,0.08447735,0,1.10003030e-03,8.08724872e-02,2.96687198e-02
8,2024-08-15 09:00:00,0.07447106,0,1.02452981e-03,6.98623724e-02,2.48137255e-02
9,2024-08-15 10:00:00,0.07363717,0,6.34617388e-04,7.47273830e-02,1.41963001e-02
10,2024-08-15 11:00:00,0.08394006,0,9.30782432e-05,8.34108942e-02,-5.75802235e-03
11,2024-08-15 12:00:00,0.08626748,0,5.25001397e-04,8.82856456e-02,8.85318581e-03
12,2024-08-15 13:00:00,0.10342194,0,2.66614241e-04,1.03625019e-01,1.05329227e-02
13,2024-08-15 14:00:00,0.08674848,0,2.34277960e-04,8.82443255e-02,1.05992466e-02
14,2024-08-15 15:00:00,0.13375264,0,-1.83866764e-03,1.11034114e-01,-5.44447090e-02
15,2024-08-15 16:00:00,0.08865024,0,4.06018454e-04,9.08279198e-02,1.12707533e-02
16,2024-08-15 17:00:00,0.10359490,0,1.60574226e-03,1.07067823e-01,3.17318324e-02
17,2024-08-15 18:00:00,0.12677566,0,2.41134298e-03,9.61222683e-02,6.99208363e-02
18,2024-08-15 19:00:00,0.09871282,0,3.27180061e-03,7.04540294e-02,8.00038920e-02
19,2024-08-15 20:00:00,0.09690647,0,1.21446672e-03,9.92779389e-02,2.22444179e-02
20,2024-08-15 21:00:00,0.10543518,0,-2.52096935e-04,1.08707367e-01,4.17044031e-03
21,2024-08-15 22:00:00,0.09193093,0,1.19636448e-04,9.17091090e-02,3.08082726e-03
22,2024-08-15 23:00:00,0.12445190,0,2.47256076e-03,8.42642295e-02,8.02682472e-02
23,2024-08-16 00:00:00,0.09424388,0,2.76968471e-03,8.44490266e-02,5.64560749e-02
24,2024-08-16 01:00:00,0.08696799,0,-2.53308109e-04,8.55793161e-02,-3.59772028e-03
25,2024-08-16 02:00:00,0.09979995,0,5.12389960e-04,9.70881222e-02,3.16544454e-02
26,2024-08-16 03:00:00,0.09991773,0,9.99449004e-04,8.78521859e-02,2.99498018e-02
27,2024-08-16 04:00:00,0.08890929,0,-1.12295071e-03,9.92966867e-02,-1.41881731e-02
28,2024-08-16 05:00:00,0.11872840,0,3.03019611e-03,7.36949556e-02,9.16079104e-02
29,2024-08-16 06:00:00,0.08417286,0,2.39183611e-03,9.02716452e-02,4.29419726e-02
30,2024-08-16 07:00:00,0.09566710,0,-5.50705227e-04,9.72376250e-02,-3.89702135e-03
31,2024-08-16 08:00:00,0.11956031,0,3.54554116e-03,1.04914810e-01,7.40319073e-02
32,2024-08-16 09:00:00,0.12583735,0,7.63950618e-04,1.18420485e-01,2.72449858e-02
33,2024-08-16 10:00:00,0.15619731,0,4.40996720e-03,6.41943379e-02,1.28823458e-01
34,2024-08-16 11:00:00,0.10162561,0,4.50634895e-03,6.55695116e-02,1.08962572e-01
35,2024-08-16 12:00:00,0.09390650,0,2.85711720e-03,8.35973605e-02,7.13275520e-02
36,2024-08-16 13:00:00,0.13040171,0,3.22408773e-03,8.03712544e-02,9.21352091e-02
37,2024-08-16 14:00:00,0.12520353,0,2.62581843e-03,1.04105546e-01,7.07286420e-02
38,2024-08-16 15:00:00,0.11402422,0,2.77583617e-03,1.54927864e-01,2.89363242e-02
39,2024-08-16 16:00:00,0.09914296,0,1.39263357e-04,9.81092181e-02,1.10824918e-02
40,2024-08-16 17:00:00,0.11102348,0,4.01866231e-03,1.25403473e-01,7.58306788e-02
41,2024-08-16 18:00:00,0.11893731,0,-4.33235938e-04,1.19795807e-01,2.55628754e-02
42,2024-08-16 19:00:00,0.13275349,0,3.86647109e-03,7.84508680e-02,1.02845359e-01
43,2024-08-16 20:00:00,0.11213513,0,2.49219239e-04,1.10311208e-01,9.31931625e-03
44,2024-08-16 21:00:00,0.10198683,0,7.27229040e-04,9.95973369e-02,3.06261261e-02
45,2024-08-16 23:00:00,0.14654401,0,8.48472959e-04,1.47552844e-01,4.04288503e-02
46,2024-08-17 00:00:00,0.11778989,0,-1.78529340e-03,1.08792266e-01,-4.70274067e-02
47,2024-08-17 01:00:00,0.09990298,0,-3.34586103e-04,1.04484889e-01,3.26196515e-03
48,2024-08-17 02:00:00,0.09615085,0,1.28908177e-04,9.38753050e-02,1.59254191e-02
49,2024-08-17 03:00:00,0.09853711,0,-1.08400489e-03,1.03639028e-01,-2.33597558e-02
50,2024-08-17 04:00:00,0.13611061,0,-2.76920040e-03,1.17842494e-01,-6.24740343e-02
51,2024-08-17 05:00:00,0.12892532,0,-1.48267788e-03,1.02386081e-01,-6.42687594e-02
52,2024-08-17 06:00:00,0.10267387,0,-2.02649152e-03,9.84678244e-02,-3.78427855e-02
53,2024-08-17 07:00:00,0.12942410,0,2.49528306e-03,9.34487121e-02,7.26547454e-02
54,2024-08-17 08:00:00,0.13822503,0,3.60586786e-03,8.17382216e-02,1.09326105e-01
55,2024-08-17 09:00:00,0.08760859,0,1.78483769e-03,9.67913527e-02,3.41138218e-02
56,2024-08-17 10:00:00,0.11727925,0,1.34047546e-04,1.10970464e-01,3.45384713e-02
57,2024-08-17 11:00:00,0.11343483,0,-2.10269002e-04,1.12332091e-01,1.73278914e-02
58,2024-08-17 12:00:00,0.10304263,0,1.49880933e-03,1.21602051e-01,1.28015853e-02
59,2024-08-17 13:00:00,0.11139173,0,1.15885009e-03,9.41743748e-02,4.12898888e-02
60,2024-08-17 14:00:00,0.08160498,0,-3.58358530e-04,8.02839503e-02,-1.38650711e-02
61,2024-08-17 15:00:00,0.09895680,0,-1.15170327e-03,9.51090726e-02,-3.36869075e-02
62,2024-08-17 16:00:00,0.09632737,0,-3.63808222e-04,9.65226943e-02,-1.09081789e-02
63,2024-08-17 17:00:00,0.12744080,0,1.70617288e-03,1.19680957e-01,3.71029290e-02
64,2024-08-17 18:00:00,0.13995052,0,4.98494490e-04,1.45708630e-01,-5.05123525e-03
65,2024-08-17 19:00:00,0.12071376,0,-2.59607398e-03,1.22492278e-01,-5.87325529e-02
66,2024-08-17 20:00:00,0.11508451,0,5.62913735e-05,1.09883970e-01,-1.47925342e-02
67,2024-08-17 21:00:00,0.10257236,0,-1.05019936e-03,1.03239801e-01,-2.37421872e-02
68,2024-08-17 22:00:00,0.18506179,0,1.54367225e-03,1.71922437e-01,3.30954169e-02
69,2024-08-17 23:00:00,0.23201561,0,5.05742944e-03,1.75512019e-01,1.17256309e-01
70,2024-08-18 00:00:00,0.14940135,0,-3.72101113e-03,1.52323791e-01,-7.14783062e-02
71,2024-08-18 01:00:00,0.12630300,0,-2.43150978e-03,1.11054052e-01,-7.37149242e-02
72,2024-08-18 02:00:00,0.12348745,0,-2.46235888e-03,9.52532997e-02,-7.36267364e-02
73,2024-08-18 03:00:00,0.14054969,0,-1.70142075e-03,1.20928716e-01,-6.91902697e-02
74,2024-08-18 04:00:00,0.11697883,0,-1.50165323e-04,1.23734298e-01,1.15250107e-02
75,2024-08-18 05:00:00,0.13016476,0,-1.18325773e-03,1.20964953e-01,-4.52228903e-02
76,2024-08-18 06:00:00,0.10843206,0,5.93291532e-04,1.20273910e-01,4.43445778e-03
77,2024-08-18 07:00:00,0.11066832,0,4.68609753e-04,1.11347311e-01,6.09893007e-03
78,2024-08-18 08:00:00,0.10808917,0,1.73288313e-03,8.61108931e-02,5.94940690e-02
79,2024-08-18 09:00:00,0.13913424,0,3.14059741e-03,1.04108948e-01,8.54167240e-02
80,2024-08-18 10:00:00,0.09895384,0,-1.77817500e-04,1.00021722e-01,1.44151394e-02
81,2024-08-18 11:00:00,0.11876481,0,3.74662063e-03,5.74855416e-02,1.06032881e-01
82,2024-08-18 12:00:00,0.14240066,0,6.16840393e-03,1.21597956e-01,1.33605343e-01
83,2024-08-18 13:00:00,0.12342781,0,-1.28790348e-03,1.12286095e-01,-3.65776161e-02
84,2024-08-18 14:00:00,0.10988123,0,-1.02812054e-03,1.17198650e-01,-1.23230890e-02
85,2024-08-18 16:00:00,0.11952203,0,-1.40531642e-03,1.03701790e-01,-4.52822829e-02
86,2024-08-18 17:00:00,0.12677231,0,2.83367161e-03,9.58649992e-02,9.19935046e-02
87,2024-08-18 18:00:00,0.13226104,0,3.17979761e-03,1.21722508e-01,7.89692560e-02
88,2024-08-18 19:00:00,0.12724381,0,-1.77305466e-03,1.31397070e-01,-2.82969217e-02
89,2024-08-18 20:00:00,0.10463266,0,3.83826380e-04,1.00169972e-01,2.08373331e-02
90,2024-08-18 21:00:00,0.12240681,0,-1.77006240e-03,1.38352997e-01,-2.07023026e-02
91,2024-08-18 22:00:00,0.11021988,0,1.89174164e-03,1.00829786e-01,4.80131986e-02
92,2024-08-18 23:00:00,0.10177255,0,1.47239866e-03,1.00678906e-01,2.84249723e-02
93,2024-08-19 02:00:00,0.17356867,0,-5.74872232e-04,1.68390003e-01,4.08630419e-02
94,2024-08-19 03:00:00,0.14057501,0,4.76221567e-04,1.44448549e-01,-3.15766681e-02
95,2024-08-19 05:00:00,0.10223271,0,1.10149747e-04,1.00474975e-01,1.92679455e-02
96,2024-08-19 07:00:00,0.11480757,0,-1.16076643e-03,9.80341809e-02,-3.91741275e-02
97,2024-08-19 08:00:00,0.09642827,0,-1.42600917e-04,9.62364567e-02,1.10161813e-02
98,2024-08-19 09:00:00,0.11840735,0,3.29839217e-03,6.52086895e-02,9.44040077e-02
99,2024-08-19 10:00:00,0.11603765,0,3.43604070e-03,5.99952247e-02,9.98182735e-02
100,2024-08-19 11:00:00,0.09945795,0,3.37864913e-03,6.78996863e-02,8.26280441e-02
101,2024-08-19 13:00:00,0.10728129,0,2.39707174e-03,8.54525343e-02,6.23990233e-02
102,2024-08-19 14:00:00,0.09758001,0,-2.56344136e-04,9.63234194e-02,-7.53152979e-03
103,2024-08-19 15:00:00,0.11786287,0,-5.28321422e-04,1.11739714e-01,-2.13014262e-02
104,2024-08-19 16:00:00,0.08437473,0,8.50352373e-04,7.88949068e-02,2.51001643e-02
105,2024-08-19 17:00:00,0.08230382,0,7.48735639e-06,8.20991571e-02,1.04964996e-02
106,2024-08-19 18:00:00,0.09429848,0,1.14568315e-03,8.95941926e-02,2.96290521e-02
107,2024-08-19 19:00:00,0.10711075,0,-1.98847602e-04,1.07454759e-01,-4.43398725e-03
108,2024-08-19 20:00:00,0.09740010,0,4.05742466e-04,9.04751639e-02,1.90146456e-02
109,2024-08-19 21:00:00,0.09592060,0,4.13314633e-04,9.04889961e-02,2.13846209e-02
110,2024-08-19 22:00:00,0.10147084,0,1.29806151e-03,8.41375899e-02,4.61425893e-02
111,2024-08-19 23:00:00,0.10070670,0,-2.18534057e-03,1.10923989e-01,-3.29378278e-02
112,2024-08-20 00:00:00,0.18327183,0,3.42715798e-03,9.38586461e-02,1.19473790e-01
113,2024-08-20 01:00:00,0.07858763,0,4.09356309e-04,8.32389486e-02,1.18343371e-02
114,2024-08-20 02:00:00,0.10726280,0,1.22335559e-03,8.97584892e-02,5.12120710e-02
115,2024-08-20 03:00:00,0.10810181,0,2.42852396e-03,8.08493044e-02,7.02171166e-02
116,2024-08-20 04:00:00,0.11294297,0,1.89397505e-03,8.56371320e-02,5.82458542e-02
117,2024-08-20 05:00:00,0.08390195,0,1.48539793e-03,8.88655596e-02,3.11854387e-02
118,2024-08-20 06:00:00,0.10913192,0,5.61582282e-04,1.08246696e-01,1.69144098e-02
119,2024-08-20 07:00:00,0.10669840,0,1.98769282e-03,9.22549100e-02,6.23083996e-02
120,2024-08-20 08:00:00,0.09396306,0,2.88227689e-03,9.42261158e-02,7.34460834e-02
121,2024-08-20 09:00:00,0.08882360,0,2.69047531e-03,6.36937496e-02,7.21946861e-02
122,2024-08-20 10:00:00,0.11399782,0,2.92140824e-03,6.61909253e-02,8.46899945e-02
123,2024-08-20 11:00:00,0.08942019,0,2.50887134e-03,8.21089493e-02,5.83774490e-02
124,2024-08-20 12:00:00,0.08690356,0,1.10419767e-03,9.32521181e-02,2.48362807e-02
125,2024-08-20 13:00:00,0.09019103,0,1.02291801e-03,8.38144229e-02,3.18232000e-02
126,2024-08-20 14:00:00,0.10616390,0,-6.37927087e-05,1.05251652e-01,2.27151791e-02
127,2024-08-20 15:00:00,0.11920454,0,-2.45624350e-03,9.62913477e-02,-6.63936110e-02
128,2024-08-20 16:00:00,0.08761216,0,-8.54470395e-05,8.76140031e-02,-7.26554520e-04
129,2024-08-20 17:00:00,0.08682761,0,7.87855914e-04,8.13172208e-02,2.61808636e-02
130,2024-08-20 18:00:00,0.09548899,0,1.26674948e-03,8.74915954e-02,3.62997748e-02
131,2024-08-20 19:00:00,0.08750524,0,1.47367665e-03,9.73459053e-02,2.84080986e-02
132,2024-08-20 20:00:00,0.10421617,0,-6.82544060e-04,1.06434498e-01,-9.43488683e-03
133,2024-08-20 21:00:00,0.08766845,0,-9.26192049e-04,9.60766757e-02,-2.17327904e-02
134,2024-08-20 22:00:00,0.12417752,0,-2.61162644e-03,1.06461039e-01,-7.94637266e-02
135,2024-08-20 23:00:00,0.08623112,0,-1.53118105e-03,1.03457842e-01,-3.00922887e-02
136,2024-08-21 00:00:00,0.14704086,0,1.69809528e-03,1.05465781e-01,7.02008116e-02
137,2024-08-21 01:00:00,0.12001597,0,4.23532401e-03,5.39090144e-02,1.16705373e-01
138,2024-08-21 02:00:00,0.13225147,0,3.17041442e-03,7.74612568e-02,9.98305967e-02
139,2024-08-21 03:00:00,0.09976151,0,3.57566726e-03,7.56321792e-02,8.02130718e-02
140,2024-08-21 04:00:00,0.11750317,0,-9.99763778e-05,1.12802624e-01,3.20217322e-02
141,2024-08-21 05:00:00,0.15911854,0,3.58450386e-03,7.96065177e-02,1.10890414e-01
142,2024-08-21 06:00:00,0.08993789,0,2.98803016e-03,7.25509465e-02,7.61173609e-02
143,2024-08-21 07:00:00,0.08652834,0,2.34530344e-03,1.15579106e-01,3.13030717e-02
144,2024-08-21 08:00:00,0.08139232,0,-2.84234347e-04,8.58625123e-02,8.02092887e-03
145,2024-08-21 09:00:00,0.08442374,0,-6.52586594e-04,7.66545561e-02,-2.07021794e-02
146,2024-08-21 10:00:00,0.07733056,0,-8.98247512e-04,8.08521343e-02,-7.86492513e-03
147,2024-08-21 11:00:00,0.07768360,0,1.00641409e-03,6.43822912e-02,3.13120670e-02
