Complexity,Loss,Equation
1,5.100849538604458e-7,"-0.00012033121681375282"
3,5.092632803856188e-7,"x1 * -0.0014217709272652368"
5,4.932915422631274e-7,"(x1 * x0) * -0.0001681900802959044"
7,4.007948567360788e-7,"x0 * ((x0 * 5.33958035332356e-6) + -0.00010891990323096401)"
9,3.056939613604709e-7,"(x0 * ((x0 * 1.0865824042167229e-5) + -0.0002758669247786771)) - -0.001089865395328174"
11,3.0540681142898434e-7,"(x0 * (((x0 - x1) * 1.0843252725901783e-5) + -0.0002749211534051885)) - -0.001092583019941614"
