Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2,Coeff_Theta3,Coeff_Theta2Omega,Coeff_ThetaOmega2,Coeff_Omega3
11500,2024-09-24 02:05:00,0.052193,7.291188,5.155781,0.002 1 + 0.866 omega + 0.005 theta omega + 1.351 omega^2 + -0.038 theta omega^2 + -3.408 omega^3,0.003 1 + 0.001 theta + -0.265 omega + 0.010 theta omega + 2.653 omega^2 + -0.078 theta omega^2 + -6.592 omega^3,3.4143025941e-03,5.5618683302e-04,-2.6518934525e-01,-7.4537330908e-05,9.9887849874e-03,2.6534101850e+00,1.9338298420e-06,5.6962980609e-05,-7.7613442671e-02,-6.5924117255e+00
11501,2024-09-24 02:10:00,nan,nan,nan,-0.029 1 + 0.008 theta + 1.405 omega + -0.001 theta^2 + -0.076 theta omega + -1.493 omega^2 + 0.003 theta^2 omega + 0.113 theta omega^2 + 1.226 omega^3,-0.060 1 + 0.015 theta + 0.825 omega + -0.001 theta^2 + -0.153 theta omega + -3.072 omega^2 + 0.007 theta^2 omega + 0.232 theta omega^2 + 2.645 omega^3,-5.9818301964e-02,1.5310710485e-02,8.2485130966e-01,-1.0459632489e-03,-1.5339676729e-01,-3.0721755753e+00,1.5732173669e-05,7.0300022240e-03,2.3218251425e-01,2.6450008670e+00
11502,2024-09-24 02:15:00,nan,nan,nan,-0.017 1 + 0.001 theta + 1.269 omega + -0.025 theta omega + -0.641 omega^2 + 0.043 theta omega^2 + 1.161 omega^3,-0.031 1 + 0.002 theta + 0.456 omega + -0.054 theta omega + -0.268 omega^2 + -0.001 theta^2 omega + 0.202 theta omega^2 + -5.085 omega^3,-3.1412846784e-02,1.9713104865e-03,4.5589755441e-01,1.7461891797e-04,-5.3926427630e-02,-2.6801079030e-01,0.0000000000e+00,-7.8188111051e-04,2.0212754704e-01,-5.0854471925e+00
11503,2024-09-24 02:20:00,0.020634,1.220239,0.862963,0.061 1 + -0.006 theta + 0.585 omega + 0.034 theta omega + 0.239 omega^2 + -0.001 theta^2 omega + -0.039 theta omega^2 + 1.783 omega^3,0.089 1 + -0.008 theta + -0.718 omega + 0.055 theta omega + 1.099 omega^2 + -0.001 theta^2 omega + -0.082 theta omega^2 + 1.451 omega^3,8.8766668038e-02,-7.8941120444e-03,-7.1768337606e-01,1.7008349625e-04,5.4557495842e-02,1.0985611352e+00,0.0000000000e+00,-8.4249972403e-04,-8.1549076298e-02,1.4511295314e+00
11504,2024-09-24 02:25:00,0.038927,4.282319,3.028182,0.106 1 + 0.002 theta + -0.501 omega + -0.008 theta omega + 6.548 omega^2 + -8.383 omega^3,0.214 1 + 0.003 theta + -3.027 omega + -0.016 theta omega + 13.196 omega^2 + -0.001 theta omega^2 + -16.844 omega^3,2.1362138881e-01,3.1010900625e-03,-3.0266888434e+00,-3.3716404708e-05,-1.5563490655e-02,1.3196374550e+01,0.0000000000e+00,1.7187969210e-04,-1.1940302774e-03,-1.6843702425e+01
11505,2024-09-24 02:30:00,nan,nan,nan,-0.056 1 + 0.011 theta + 1.456 omega + -0.001 theta^2 + -0.068 theta omega + -1.243 omega^2 + 0.002 theta^2 omega + 0.069 theta omega^2 + 2.072 omega^3,-0.115 1 + 0.022 theta + 0.941 omega + -0.001 theta^2 + -0.139 theta omega + -2.577 omega^2 + 0.005 theta^2 omega + 0.143 theta omega^2 + 4.325 omega^3,-1.1545442925e-01,2.2419078993e-02,9.4063470077e-01,-1.2792141007e-03,-1.3916947517e-01,-2.5771936497e+00,2.0715359852e-05,4.9610617353e-03,1.4329974909e-01,4.3250349787e+00
11506,2024-09-24 02:35:00,0.028090,3.263602,2.307800,-0.026 1 + -0.005 theta + 1.469 omega + -0.009 theta omega + -0.884 omega^2 + 0.026 theta omega^2 + 1.123 omega^3,-0.011 1 + 0.001 theta + 0.305 omega + -0.014 theta omega + -2.517 omega^2 + 0.026 theta omega^2 + 8.242 omega^3,-1.1368285920e-02,7.8364033591e-04,3.0480893109e-01,-1.6843410290e-05,-1.3948307455e-02,-2.5169679933e+00,0.0000000000e+00,2.6191122698e-04,2.5805100590e-02,8.2415973917e+00
11507,2024-09-24 02:40:00,0.017357,1.573100,1.112417,-0.009 1 + 1.160 omega + -0.010 theta omega + -0.411 omega^2 + 0.052 theta omega^2 + -1.012 omega^3,-0.018 1 + -0.001 theta + 0.322 omega + -0.020 theta omega + -0.794 omega^2 + -0.001 theta^2 omega + 0.104 theta omega^2 + -2.193 omega^3,-1.7802945584e-02,-7.4996747081e-04,3.2197919828e-01,1.8927035244e-04,-2.0036320672e-02,-7.9431985056e-01,-2.7140523443e-06,-5.1816099718e-04,1.0389222823e-01,-2.1933269481e+00
11508,2024-09-24 02:45:00,0.010129,0.866551,0.612786,-0.011 1 + -0.001 theta + 1.197 omega + 0.005 theta omega + -0.969 omega^2 + -0.021 theta omega^2 + 1.375 omega^3,-0.037 1 + -0.002 theta + 0.762 omega + 0.018 theta omega + -4.645 omega^2 + -0.049 theta omega^2 + 8.708 omega^3,-3.7108533569e-02,-1.7078007523e-03,7.6199930814e-01,4.7041150570e-06,1.7668232668e-02,-4.6454316190e+00,0.0000000000e+00,-1.0733621226e-05,-4.9260786746e-02,8.7079143896e+00
11509,2024-09-24 02:50:00,0.053834,2.897884,2.049467,0.031 1 + -0.002 theta + 0.452 omega + 0.024 theta omega + 2.771 omega^2 + -0.081 theta omega^2 + -3.826 omega^3,0.019 1 + -0.001 theta + -0.384 omega + 0.014 theta omega + 2.325 omega^2 + -0.061 theta omega^2 + -4.224 omega^3,1.9253353409e-02,-9.0962668576e-04,-3.8383321467e-01,6.0328869902e-06,1.4043066207e-02,2.3252581661e+00,0.0000000000e+00,0.0000000000e+00,-6.0737593677e-02,-4.2244529181e+00
