Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
88380,2025-06-27 23:05:00,0.003761,0.032719,0.023288,0.302100,9.880689,6.989967,5.9104,5129,0,1.00000omega,-0.211221 + -0.04652theta + -0.04625omega + -0.02773theta^2 + 0.04406theta omega + -0.06739omega^2 + -0.00090theta^3 + 0.02705theta^2 omega + -0.01475theta omega^2 + -0.01076omega^3,-0.042771*omega**3 - 0.001954*omega**2*theta - 0.02566*omega**2 + 0.000119*omega*theta**2 + 0.000673*omega*theta - 0.001193*omega - 1.1e-5*theta**2 - 6.5e-5*theta - 0.000678
88381,2025-06-27 23:10:00,nan,nan,nan,nan,nan,nan,1189.4597,3894,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A
88382,2025-06-27 23:15:00,0.005635,0.048512,0.034534,0.048540,1.325311,0.937765,13.1070,9999,0,1.00000omega,0.191681 + -0.09383theta + -0.00043omega + 0.01276theta^2 + 0.00456theta omega + -0.02853omega^2 + -0.00057theta^3 + -0.00141theta^2 omega + -0.00912theta omega^2 + -0.02390omega^3,-0.07427*omega**3 - 0.000945*omega**2*theta - 0.001424*omega**2 - 5.0e-6*omega*theta**2 + 0.000129*omega*theta - 0.000744*omega + 6.0e-6*theta**2 - 0.000192*theta + 0.001862
88383,2025-06-27 23:20:00,0.004593,0.037281,0.026561,0.110734,16.660764,11.781200,7.1287,9310,0,1.00000omega,-0.074951 + -0.00755theta + 0.04879omega + -0.00924theta^2 + 0.01596theta omega + -0.02572omega^2 + 0.00007theta^3 + 0.00190theta^2 omega + -0.01364theta omega^2 + -0.00187omega^3,-0.005967*omega**3 - 0.001451*omega**2*theta - 0.008246*omega**2 + 7.0e-6*omega*theta**2 + 0.000172*omega*theta + 0.001609*omega - 3.0e-6*theta**2 - 8.0e-6*theta - 0.000255
88384,2025-06-27 23:25:00,0.004883,0.036729,0.026200,nan,nan,nan,6.4758,8783,0,1.00000omega,0.012181 + -0.06638theta + 0.04272omega + 0.00708theta^2 + -0.01604theta omega + -0.04250omega^2 + -0.00214theta^3 + -0.00029theta^2 omega + -0.00001theta omega^2 + 0.03221omega^3,0.082964*omega**3 - 0.e-6*omega**2*theta - 0.012467*omega**2 - 0.e-6*omega*theta**2 - 0.000184*omega*theta - 0.00141*omega - 8.0e-6*theta**2 - 0.000166*theta - 0.001481
88385,2025-06-27 23:30:00,0.003066,0.023895,0.017035,0.103535,3.039772,2.150690,5.8993,5220,0,1.00000omega,-0.035731 + -0.65671theta + -0.05009omega + -0.14926theta^2 + -0.00534theta omega + -0.14851omega^2 + 0.02083theta^3 + -0.04372theta^2 omega + -0.04811theta omega^2 + 0.00044omega^3,0.002356*omega**3 - 0.008587*omega**2*theta - 0.046858*omega**2 - 0.00026*omega*theta**2 + 0.000887*omega*theta - 0.002421*omega + 4.0e-6*theta**3 - 9.3e-5*theta**2 - 0.000428*theta + 0.00099
88386,2025-06-27 23:35:00,0.003174,0.025818,0.018393,0.284832,7.592233,5.372296,5.0302,5958,0,1.00000omega,-0.034301 + -0.04231theta + 0.12078omega + 0.05347theta^2 + -0.05560theta omega + -0.26267omega^2 + -0.18066theta^3 + 0.12018theta^2 omega + 0.00264theta omega^2 + -0.02402omega^3,-0.120367*omega**3 + 0.000441*omega**2*theta - 0.109074*omega**2 + 0.000669*omega*theta**2 - 0.005979*omega*theta + 0.017166*omega - 3.4e-5*theta**3 + 0.000417*theta**2 - 0.001767*theta + 0.002451
88387,2025-06-27 23:40:00,0.003845,0.027169,0.019403,0.073999,1.555537,1.101175,5.1548,7145,0,1.00000omega,-0.036601 + -1.42363theta + -0.68349omega + 0.06033theta^2 + -0.03016theta omega + 0.05452omega^2 + -0.03090theta^3 + 0.00005theta^2 omega + 0.01725theta omega^2 + -0.11382omega^3,-0.394059*omega**3 + 0.001991*omega**2*theta + 0.04003*omega**2 - 0.000337*omega*theta - 0.026451*omega - 4.0e-6*theta**3 - 0.000106*theta**2 - 0.002477*theta - 0.01955
88388,2025-06-27 23:45:00,0.004164,0.033940,0.024179,0.086677,8.123525,5.744527,8.5459,9164,0,1.00000omega,0.016651 + -0.02370theta + -0.06070omega + 0.01134theta^2 + 0.00784theta omega + 0.02605omega^2 + -0.00048theta^3 + -0.00005theta^2 omega + -0.00274theta omega^2 + -0.00015omega^3,-0.000591*omega**3 - 0.00036*omega**2*theta + 0.012184*omega**2 + 9.8e-5*omega*theta - 0.002757*omega + 6.0e-6*theta**2 - 0.000108*theta + 0.000546
88389,2025-06-27 23:50:00,0.004133,0.027602,0.019735,0.208072,5.672496,4.013758,3.4841,6976,0,1.00000omega,-0.005801 + -0.07247theta + -0.01550omega + -0.02749theta^2 + 0.05959theta omega + 0.00070omega^2 + -0.09344theta^3 + 0.06652theta^2 omega + 0.00962theta omega^2 + 0.00320omega^3,0.008638*omega**3 + 0.000866*omega**2*theta - 0.004885*omega**2 + 0.0002*omega*theta**2 - 0.001753*omega*theta + 0.002888*omega - 9.0e-6*theta**3 + 0.000156*theta**2 - 0.000944*theta + 0.00204
88390,2025-06-27 23:55:00,0.002649,0.018261,0.013048,0.094573,2.587692,1.830996,1.6593,6372,0,1.00000omega,0.060261 + -1.05675theta + -0.19799omega + 0.16185theta^2 + 0.25901theta omega + 0.11773omega^2 + -0.06138theta^3 + -0.32719theta^2 omega + -0.20183theta omega^2 + -0.05625omega^3,-0.28106*omega**3 - 0.033616*omega**2*theta - 0.119518*omega**2 - 0.001816*omega*theta**2 - 0.014586*omega*theta - 0.034171*omega - 1.1e-5*theta**3 - 9.6e-5*theta**2 - 0.001289*theta - 0.005272
88391,2025-06-28 00:00:00,nan,nan,nan,nan,nan,nan,56220.6133,5,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A
88392,2025-06-28 00:05:00,nan,nan,nan,nan,nan,nan,38146.6914,5,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A
88393,2025-06-28 00:10:00,0.004807,0.037876,0.026998,0.112476,6.416976,4.538184,9.8698,8412,0,1.00000omega,0.006471 + -0.04286theta + -0.04969omega + -0.01946theta^2 + -0.03389theta omega + 0.06240omega^2 + -0.00106theta^3 + -0.00037theta^2 omega + 0.00440theta omega^2 + -0.04978omega^3,-0.169703*omega**3 + 0.0005*omega**2*theta + 0.020827*omega**2 - 1.0e-6*omega*theta**2 - 0.00038*omega*theta - 0.001498*omega - 7.0e-6*theta**2 - 4.2e-5*theta + 4.0e-5
88394,2025-06-28 00:15:00,0.004243,0.033198,0.023665,0.041222,1.191516,0.843033,50.6829,9999,0,1.00000omega,-0.283701 + -0.00626theta + 0.03599omega + -0.00307theta^2 + 0.00092theta omega + 0.00771omega^2 + -0.00010theta^3 + 0.00083theta^2 omega + 0.00296theta omega^2 + -0.02217omega^3,-0.39833*omega**3 + 0.001773*omega**2*theta + 0.036997*omega**2 + 1.7e-5*omega*theta**2 + 0.000604*omega*theta + 0.006692*omega - 6.0e-6*theta**2 - 0.000161*theta - 0.001695
88395,2025-06-28 00:20:00,0.003222,0.023567,0.016819,0.077219,2.913548,2.060913,4.7573,8249,0,1.00000omega,-0.101931 + 0.02874theta + -0.93456omega + -0.10603theta^2 + 0.04920theta omega + 0.15232omega^2 + -0.00095theta^3 + 0.01002theta^2 omega + -0.10864theta omega^2 + -0.01992omega^3,-0.091864*omega**3 - 0.0167*omega**2*theta - 0.082181*omega**2 + 5.1e-5*omega*theta**2 + 0.001516*omega*theta - 0.021982*omega - 5.0e-5*theta**2 - 0.000788*theta - 0.003452
88396,2025-06-28 00:25:00,0.003682,0.028537,0.020346,0.115449,4.608483,3.259712,9.3822,6948,0,1.00000omega,-0.120641 + -0.07447theta + 0.03521omega + -0.01921theta^2 + -0.00883theta omega + 0.09165omega^2 + -0.00324theta^3 + -0.00484theta^2 omega + 0.00234theta omega^2 + 0.02755omega^3,0.146478*omega**3 + 0.000415*omega**2*theta + 0.033408*omega**2 - 2.9e-5*omega*theta**2 + 0.00059*omega*theta - 0.001733*omega - 0.e-6*theta**3 + 1.5e-5*theta**2 - 0.000157*theta + 0.000555
88397,2025-06-28 00:30:00,0.003681,0.018153,0.013097,nan,nan,nan,11.3597,9608,0,1.00000omega,-0.037691 + 0.06090theta + 0.01791omega + 0.00004theta^2 + 0.00234theta omega + -0.01081omega^2 + -0.07237theta^3 + -0.00813theta^2 omega + 0.24212theta omega^2 + 0.12102omega^3,0.788312*omega**3 + 0.052572*omega**2*theta + 0.46672*omega**2 - 5.9e-5*omega*theta**2 - 0.00102*omega*theta - 0.003815*omega - 1.7e-5*theta**3 - 0.00047*theta**2 - 0.00415*theta - 0.012098
88398,2025-06-28 00:35:00,0.003458,0.027048,0.019281,nan,nan,nan,4.6363,6103,0,1.00000omega,0.116121 + -0.94617theta + 0.17258omega + 0.13085theta^2 + 0.05674theta omega + 0.19259omega^2 + -0.00781theta^3 + 0.02746theta^2 omega + 0.04470theta omega^2 + 0.08485omega^3,0.395316*omega**3 + 0.006942*omega**2*theta + 0.103199*omega**2 + 0.000142*omega*theta**2 + 0.001864*omega*theta + 0.010883*omega - 1.0e-6*theta**3 + 4.1e-5*theta**2 - 0.000663*theta - 0.003003
