Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
29260,2024-11-29 19:35:00,0.003119,0.027662,0.019684,nan,nan,nan,3.8081,7778,0,1.00000omega,-0.064241 + 0.01682theta + 0.00987omega + -0.05996theta^2 + -0.02773theta omega + -0.03064omega^2 + -0.20886theta^3 + 0.11440theta^2 omega + 0.47078theta omega^2 + 0.02089omega^3,0.090033*omega**3 + 0.067633*omega**2*theta + 0.240609*omega**2 + 0.000548*omega*theta**2 + 0.003736*omega*theta + 0.006641*omega - 3.3e-5*theta**3 - 0.000398*theta**2 - 0.001561*theta - 0.002199
29261,2024-11-29 19:40:00,0.003812,0.021854,0.015686,nan,nan,nan,24.7083,9999,0,1.00000omega,-0.042541 + 0.04751theta + -0.05771omega + -0.00263theta^2 + -0.00935theta omega + -0.06919omega^2 + -0.00026theta^3 + 0.00127theta^2 omega + 0.00195theta omega^2 + 0.01498omega^3,0.17878*omega**3 + 0.000776*omega**2*theta - 0.032462*omega**2 + 1.7e-5*omega*theta**2 + 0.000289*omega*theta - 0.001259*omega - 7.0e-6*theta**2 - 7.2e-5*theta - 4.1e-5
29262,2024-11-29 19:45:00,0.005172,0.052726,0.037462,0.058197,5.110916,3.614197,46.5492,9999,0,1.00000omega,0.004221 + -0.00358theta + -0.02232omega + -0.00001theta^2 + 0.00285theta omega + 0.01359omega^2 + -0.00008theta^3 + -0.00033theta^2 omega + -0.00328theta omega^2 + -0.00744omega^3,-0.080042*omega**3 - 0.001176*omega**2*theta - 0.018775*omega**2 - 4.0e-6*omega*theta**2 - 0.000124*omega*theta - 0.001507*omega - 2.0e-6*theta**2 - 5.4e-5*theta - 0.000468
29263,2024-11-29 19:50:00,0.006565,0.052929,0.037713,0.051737,1.269669,0.898537,14.3968,9999,0,1.00000omega,0.034201 + 0.00212theta + -0.03292omega + -0.00062theta^2 + -0.03660theta omega + -0.01300omega^2 + -0.01006theta^3 + 0.00402theta^2 omega + 0.04810theta omega^2 + -0.04413omega^3,-0.114345*omega**3 + 0.004154*omega**2*theta - 0.08759*omega**2 + 1.2e-5*omega*theta**2 - 0.000825*omega*theta + 0.010838*omega - 0.e-6*theta**3 + 5.8e-5*theta**2 - 0.001167*theta + 0.007914
29264,2024-11-29 19:55:00,0.005281,0.038363,0.027382,0.047446,1.501562,1.062295,48.0566,9999,1,1.00000omega,-0.044141 + 0.01610theta + -0.12069omega + -0.02288theta^2 + 0.00597theta omega + 0.03686omega^2 + 0.00012theta^3 + 0.00052theta^2 omega + -0.00055theta omega^2 + -0.00972omega^3,-0.109069*omega**3 - 0.000206*omega**2*theta + 0.019131*omega**2 + 6.0e-6*omega*theta**2 + 0.000337*omega*theta - 0.000221*omega - 1.3e-5*theta**2 - 0.000457*theta - 0.003833
29265,2024-11-29 20:00:00,0.003739,0.024056,0.017215,0.059629,4.189323,2.962599,7.1570,9011,0,1.00000omega,0.050001 + -0.15762theta + -0.34943omega + 0.00545theta^2 + 0.09746theta omega + -0.12542omega^2 + -0.01669theta^3 + -0.00225theta^2 omega + 0.02802theta omega^2 + -0.03606omega^3,-0.161544*omega**3 + 0.004184*omega**2*theta - 0.053077*omega**2 - 1.1e-5*omega*theta**2 + 0.00128*omega*theta - 0.013045*omega - 3.0e-6*theta**3 + 1.1e-5*theta**2 - 0.00019*theta + 0.000343
29266,2024-11-29 20:05:00,0.004692,0.034588,0.024682,0.074053,9.743834,6.890130,36.7358,9999,0,1.00000omega,-0.135511 + -0.01420theta + 0.00972omega + -0.00081theta^2 + 0.00500theta omega + 0.00858omega^2 + -0.00003theta^3 + 0.00002theta^2 omega + -0.00268theta omega^2 + 0.00056omega^3,0.00619*omega**3 - 0.000987*omega**2*theta - 0.008244*omega**2 + 0.000108*omega*theta + 0.001748*omega - 1.0e-6*theta**2 - 3.8e-5*theta - 0.000595
29267,2024-11-29 20:10:00,0.004349,0.032652,0.023293,0.059673,4.443194,3.142096,9.3733,9999,0,1.00000omega,0.004641 + -0.05849theta + -0.09144omega + -0.00054theta^2 + 0.00794theta omega + 0.01464omega^2 + -0.00052theta^3 + 0.00174theta^2 omega + -0.00745theta omega^2 + -0.01868omega^3,-0.077932*omega**3 - 0.001036*omega**2*theta - 0.011312*omega**2 + 8.0e-6*omega*theta**2 + 0.00036*omega*theta + 0.000663*omega - 4.0e-6*theta**2 - 0.000135*theta - 0.001438
29268,2024-11-29 20:15:00,0.003500,0.030252,0.021534,nan,nan,nan,3.8816,8322,0,1.00000omega,-0.015501 + -0.04956theta + 0.24160omega + -0.09790theta^2 + 0.51519theta omega + 0.29746omega^2 + -0.10537theta^3 + 0.06237theta^2 omega + 0.07366theta omega^2 + 0.06018omega^3,0.219722*omega**3 + 0.008965*omega**2*theta + 0.043851*omega**2 + 0.000253*omega*theta**2 + 0.002609*omega*theta - 0.020687*omega - 1.4e-5*theta**3 + 0.000248*theta**2 - 0.001458*theta + 0.002878
29269,2024-11-29 20:20:00,0.004572,0.041825,0.029751,0.079945,2.558998,1.810367,17.1014,9999,0,1.00000omega,0.029511 + -0.02286theta + -0.08094omega + 0.00308theta^2 + -0.00263theta omega + 0.00972omega^2 + -0.00085theta^3 + 0.00278theta^2 omega + 0.00393theta omega^2 + -0.01265omega^3,-0.072965*omega**3 + 0.000756*omega**2*theta + 0.01595*omega**2 + 1.8e-5*omega*theta**2 + 0.000513*omega*theta + 0.00097*omega - 7.0e-6*theta**2 - 0.000109*theta - 0.000631
