Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
79332,2025-05-27 12:00:00,nan,nan,nan,nan,nan,nan,52412.9688,1128,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
79333,2025-05-27 12:05:00,nan,nan,nan,nan,nan,nan,48379.7852,968,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
79334,2025-05-27 12:10:00,0.004482,0.005501,0.005017,nan,nan,nan,222.6730,5583,0,1.00000omega,0.101621 + 0.00797theta + 0.02001omega + 0.00432theta^2 + -0.00348theta omega + 0.00005omega^2 + 0.00265theta^3 + 0.00923theta^2 omega + -0.00093theta omega^2 + -0.00104omega^3,-0.007692*omega**3 - 0.000229*omega**2*theta + 0.001675*omega**2 + 7.6e-5*omega*theta**2 - 0.00115*omega*theta + 0.005013*omega + 1.0e-6*theta**3 - 1.3e-5*theta**2 + 8.7e-5*theta + 1.6e-5,1.282990e-04,1.152763e-05
79335,2025-05-27 12:15:00,0.004446,0.025038,0.017981,0.083017,5.195667,3.674360,720.9624,9999,0,1.00000omega,0.005571 + -0.01020theta + 0.02054omega + -0.00096theta^2 + -0.00109theta omega + 0.00354omega^2 + -0.00038theta^3 + -0.00018theta^2 omega + -0.00004theta omega^2 + 0.00103omega^3,0.024004*omega**3 - 3.1e-5*omega**2*theta + 0.003672*omega**2 - 5.0e-6*omega*theta**2 + 0.000133*omega*theta - 0.000215*omega + 1.7e-5*theta**2 - 0.000288*theta + 0.001746,2.217286e-04,4.702748e-06
79336,2025-05-27 12:20:00,nan,nan,nan,nan,nan,nan,26557.6504,1011,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
79337,2025-05-27 12:25:00,0.004564,0.018520,0.013488,0.063448,4.036739,2.854758,134.1272,9999,0,1.00000omega,-0.000071 + -0.14554theta + -0.27949omega + -0.01545theta^2 + -0.02593theta omega + -0.12588omega^2 + -0.00074theta^3 + -0.00039theta^2 omega + -0.01064theta omega^2 + -0.06719omega^3,-0.283617*omega**3 - 0.001497*omega**2*theta - 0.021899*omega**2 - 2.0e-6*omega*theta**2 - 0.000262*omega*theta - 0.004356*omega - 0.e-6*theta**2 - 4.3e-5*theta + 0.001453,3.009234e-04,1.459092e-05
79338,2025-05-27 12:30:00,0.004797,0.015502,0.011474,0.087599,4.742973,3.354360,142.4823,9999,0,1.00000omega,-0.032701 + -0.03044theta + -0.00287omega + 0.05788theta^2 + -0.02390theta omega + -0.15954omega^2 + -0.00653theta^3 + 0.00142theta^2 omega + -0.00165theta omega^2 + -0.03027omega^3,-0.124794*omega**3 - 0.000227*omega**2*theta - 0.057652*omega**2 + 7.0e-6*omega*theta**2 - 0.000381*omega*theta + 0.002127*omega - 0.e-6*theta**3 + 4.4e-5*theta**2 - 0.000477*theta + 0.001438,3.267870e-04,1.026069e-05
79339,2025-05-27 12:35:00,0.005011,0.006661,0.005894,0.109331,5.266464,3.724755,220.9616,8823,0,1.00000omega,-0.074781 + -0.08459theta + 0.09853omega + -0.08863theta^2 + 0.13495theta omega + 0.02630omega^2 + -0.06233theta^3 + 0.00722theta^2 omega + 0.02918theta omega^2 + -0.12310omega^3,-0.716281*omega**3 + 0.00566*omega**2*theta - 0.053238*omega**2 + 4.7e-5*omega*theta**2 + 0.000912*omega*theta - 0.013282*omega - 1.3e-5*theta**3 + 0.000418*theta**2 - 0.004387*theta + 0.015379,3.270572e-05,1.768136e-05
79340,2025-05-27 12:40:00,0.004229,0.004103,0.004166,0.075959,2.014158,1.425237,176.4854,5723,0,1.00000omega,-0.140401 + -0.10968theta + -0.00639omega + -0.41898theta^2 + -0.10016theta omega + -0.10398omega^2 + -1.27436theta^3 + 0.05683theta^2 omega + 0.26927theta omega^2 + -0.16272omega^3,-1.079413*omega**3 + 0.059541*omega**2*theta - 0.193542*omega**2 + 0.000419*omega*theta**2 - 0.003605*omega*theta + 0.006073*omega - 0.000313*theta**3 + 0.002063*theta**2 - 0.004602*theta + 0.003161,1.839996e-04,9.052155e-06
79341,2025-05-27 12:45:00,nan,nan,nan,nan,nan,nan,138378.0312,803,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
79342,2025-05-27 12:50:00,0.004298,0.005584,0.004982,0.151912,12.021630,8.501254,134.2923,8996,0,1.00000omega,-0.012781 + -0.00690theta + 0.00149omega + -0.00503theta^2 + 0.00772theta omega + -0.00427omega^2 + 0.00129theta^3 + 0.00065theta^2 omega + 0.00414theta omega^2 + -0.00360omega^3,-0.017335*omega**3 + 0.000665*omega**2*theta - 0.009424*omega**2 + 3.0e-6*omega*theta**2 + 2.2e-5*omega*theta - 0.000678*omega - 1.0e-5*theta**2 + 0.000137*theta - 0.000608,1.865095e-04,1.287660e-05
79343,2025-05-27 12:55:00,0.005366,0.005511,0.005439,nan,nan,nan,83.9310,9999,0,1.00000omega,0.424201 + -0.78361theta + 1.16713omega + 0.05128theta^2 + 0.01578theta omega + 0.00007omega^2 + -0.00730theta^3 + -0.00116theta^2 omega + -0.00416theta omega^2 + 0.00226omega^3,0.004521*omega**3 - 0.000277*omega**2*theta - 0.000199*omega**2 - 3.0e-6*omega*theta**2 + 0.000132*omega*theta + 0.039009*omega - 0.e-6*theta**3 + 1.3e-5*theta**2 - 0.000849*theta + 0.001154,2.097579e-04,1.599299e-05
