Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
21340,2024-11-02 03:30:00,0.004801,0.005210,0.005010,nan,nan,nan,222.6068,6707,0,1.00000omega,-0.004971 + -0.07260theta + 0.08789omega + -0.00296theta^2 + -0.00681theta omega + 0.16849omega^2 + -0.01936theta^3 + -0.00166theta^2 omega + 0.00133theta omega^2 + 0.04649omega^3,0.297462*omega**3 + 0.000284*omega**2*theta + 0.07486*omega**2 - 1.2e-5*omega*theta**2 + 0.000141*omega*theta + 0.002742*omega - 5.0e-6*theta**3 + 0.000142*theta**2 - 0.00154*theta + 0.005836,7.100774e-05,1.647595e-05
21341,2024-11-02 03:35:00,0.006276,0.026069,0.018960,0.076214,6.473571,4.577823,347.3855,9999,1,1.00000omega,-0.011031 + 0.00153theta + 0.00358omega + -0.00016theta^2 + -0.00039theta omega + -0.00366omega^2 + 0.00002theta^3 + 0.00010theta^2 omega + -0.00008theta omega^2 + -0.00116omega^3,-0.006641*omega**3 - 1.5e-5*omega**2*theta - 0.001884*omega**2 + 1.0e-6*omega*theta**2 + 1.8e-5*omega*theta + 0.000235*omega + 3.0e-6*theta + 4.0e-6,5.081630e-04,1.192122e-05
21342,2024-11-02 03:40:00,0.016879,0.165463,0.117607,0.098139,12.216910,8.638939,3178.0540,9999,0,1.00000omega,0.010811 + 0.00005theta + 0.00010omega + 0.00029theta^2 + -0.00095theta omega + 0.00260omega^2 + 0.00015theta^3 + -0.00016theta^2 omega + -0.00006theta omega^2 + -0.00077omega^3,-0.005172*omega**3 - 1.3e-5*omega**2*theta + 0.00095*omega**2 - 1.0e-6*omega*theta**2 - 6.5e-5*omega*theta - 0.00083*omega + 2.0e-6*theta**2 + 5.5e-5*theta + 0.000433,5.657370e-04,7.856775e-06
21343,2024-11-02 03:45:00,0.004930,0.020374,0.014823,nan,nan,nan,381.0588,9999,0,1.00000omega,0.041991 + -0.00051theta + 0.00184omega + 0.00032theta^2 + -0.00117theta omega + -0.01593omega^2 + 0.00022theta^3 + -0.00010theta^2 omega + 0.00035theta omega^2 + 0.00779omega^3,0.078866*omega**3 + 0.000118*omega**2*theta - 0.006193*omega**2 - 1.0e-6*omega*theta**2 - 8.1e-5*omega*theta - 0.001282*omega + 7.0e-6*theta**2 + 0.000176*theta + 0.001641,2.669343e-04,1.082971e-05
21344,2024-11-02 03:50:00,nan,nan,nan,nan,nan,nan,6507150.5000,5,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
21345,2024-11-02 03:55:00,0.005382,0.021624,0.015757,0.123769,3.588705,2.539106,57.4620,9999,0,1.00000omega,-0.000691 + -0.00842theta + -0.03126omega + 0.32066theta^2 + -0.44196theta omega + -0.35062omega^2 + -0.24376theta^3 + 0.10826theta^2 omega + 0.12011theta omega^2 + -0.20442omega^3,-0.280266*omega**3 + 0.005489*omega**2*theta - 0.007195*omega**2 + 0.000165*omega*theta**2 + 0.000922*omega*theta - 0.014788*omega - 1.2e-5*theta**3 - 0.000382*theta**2 - 0.003787*theta - 0.011796,4.179542e-04,2.449930e-05
21346,2024-11-02 04:00:00,nan,nan,nan,nan,nan,nan,11798.2705,972,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
21347,2024-11-02 04:05:00,0.005539,0.016005,0.011976,0.151567,9.705997,6.864013,103.5102,9051,0,1.00000omega,-0.098351 + -0.18397theta + 0.02037omega + 0.01211theta^2 + 0.17698theta omega + 0.02907omega^2 + -0.00211theta^3 + 0.00084theta^2 omega + -0.29766theta omega^2 + -0.03301omega^3,-0.075078*omega**3 - 0.022567*omega**2*theta + 0.004223*omega**2 + 2.0e-6*omega*theta**2 + 0.001625*omega*theta + 0.000951*omega + 4.0e-6*theta**2 - 0.000203*theta - 0.000431,4.845311e-04,1.559816e-05
21348,2024-11-02 04:10:00,0.005851,0.014959,0.011358,0.103181,2.914807,2.062371,179.3326,9999,0,1.00000omega,0.017851 + -0.02006theta + -0.00767omega + -0.00140theta^2 + -0.01272theta omega + 0.10939omega^2 + -0.00964theta^3 + 0.00057theta^2 omega + -0.00176theta omega^2 + -0.00050omega^3,-0.001758*omega**3 - 0.000206*omega**2*theta + 0.033286*omega**2 + 2.0e-6*omega*theta**2 - 5.5e-5*omega*theta - 0.002279*omega - 1.0e-6*theta**3 - 7.7e-5*theta**2 - 0.001581*theta - 0.010963,2.329608e-04,1.078565e-05
21349,2024-11-02 04:15:00,0.006886,0.036163,0.026031,nan,nan,nan,252.5278,9999,0,1.00000omega,-0.009961 + -0.01152theta + -0.00933omega + 0.00045theta^2 + -0.00333theta omega + 0.01248omega^2 + -0.00215theta^3 + 0.00638theta^2 omega + -0.03968theta omega^2 + 0.00945omega^3,0.032619*omega**3 - 0.004566*omega**2*theta + 0.084718*omega**2 + 2.4e-5*omega*theta**2 - 0.0009*omega*theta + 0.007957*omega + 1.5e-5*theta**2 - 0.000275*theta + 0.001752,8.147472e-04,1.369284e-05
